"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","GO:0031012","extracellular matrix","27/96","496/19944",0.0544354838709677,11.3089717741935,16.1692993486013,2.60102585558998e-21,2.63142264248122e-19,2.14957222439529e-19,"7057/2267/4969/3915/3911/3959/3339/3698/1291/3491/375790/1755/2243/1311/2266/7060/6277/2331/2335/2244/7078/3909/977/4148/2162/4811/10417",27,"Downres_DEq_MS_B1_vs_CM"
"GO:0030312","GO:0030312","external encapsulating structure","27/96","497/19944",0.0543259557344064,11.2862173038229,16.1502804270813,2.7410652525846e-21,2.63142264248122e-19,2.14957222439529e-19,"7057/2267/4969/3915/3911/3959/3339/3698/1291/3491/375790/1755/2243/1311/2266/7060/6277/2331/2335/2244/7078/3909/977/4148/2162/4811/10417",27,"Downres_DEq_MS_B1_vs_CM"
"GO:0005604","GO:0005604","basement membrane","11/96","100/19944",0.11,22.8525,15.2355804667383,1.77614360497647e-12,1.13673190718494e-10,9.28580340847349e-11,"3915/3911/3339/1291/375790/7060/2335/7078/3909/977/4811",11,"Downres_DEq_MS_B1_vs_CM"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","15/96","319/19944",0.0470219435736677,9.76880877742947,10.9800316961592,3.36516089675002e-11,1.61527723044001e-09,1.31949729898882e-09,"7057/3915/2719/3698/1291/4241/3491/5768/2243/11098/2266/11167/2335/81619/4148",15,"Downres_DEq_MS_B1_vs_CM"
"GO:0030055","GO:0030055","cell-substrate junction","14/96","433/19944",0.0323325635103926,6.71709006928407,8.36472569231753,1.98523160594142e-08,7.62328936681506e-07,6.22735809021625e-07,"2318/3339/7106/1969/54751/960/3909/977/8829/1601/390/29780/1264/4082",14,"Downres_DEq_MS_B1_vs_CM"
"GO:0031093","GO:0031093","platelet alpha granule lumen","7/96","67/19944",0.104477611940299,21.705223880597,11.8063158834538,3.29508718234618e-08,1.05442789835078e-06,8.61347351174703e-07,"7057/5768/2243/2266/2335/2244/2162",7,"Downres_DEq_MS_B1_vs_CM"
"GO:0005925","GO:0005925","focal adhesion","13/96","423/19944",0.0307328605200946,6.38475177304964,7.78497686712509,1.19727013080889e-07,3.28394093021867e-06,2.68260525549661e-06,"2318/3339/7106/1969/54751/960/977/8829/1601/390/29780/1264/4082",13,"Downres_DEq_MS_B1_vs_CM"
"GO:0031091","GO:0031091","platelet alpha granule","7/96","91/19944",0.0769230769230769,15.9807692307692,9.96125882113003,2.79222546193869e-07,6.70134110865286e-06,5.47423149774822e-06,"7057/5768/2243/2266/2335/2244/2162",7,"Downres_DEq_MS_B1_vs_CM"
"GO:0034774","GO:0034774","secretory granule lumen","11/96","327/19944",0.0336391437308868,6.98853211009174,7.59364776578831,4.96501104723868e-07,1.03699662229673e-05,8.47107986415644e-06,"7057/3959/23406/5768/2243/2266/2335/2244/7078/2162/10562",11,"Downres_DEq_MS_B1_vs_CM"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","11/96","332/19944",0.0331325301204819,6.88328313253012,7.51796560309186,5.76753272860975e-07,1.03699662229673e-05,8.47107986415644e-06,"7057/3959/23406/5768/2243/2266/2335/2244/7078/2162/10562",11,"Downres_DEq_MS_B1_vs_CM"
"GO:0031983","GO:0031983","vesicle lumen","11/96","333/19944",0.033033033033033,6.86261261261261,7.50301699936574,5.94112648190837e-07,1.03699662229673e-05,8.47107986415644e-06,"7057/3959/23406/5768/2243/2266/2335/2244/7078/2162/10562",11,"Downres_DEq_MS_B1_vs_CM"
"GO:0072562","GO:0072562","blood microparticle","7/96","145/19944",0.0482758620689655,10.0293103448276,7.58908538563903,6.44912949898585e-06,0.000103186071983774,8.4291253977973e-05,"3959/3698/2243/2266/2335/2244/2162",7,"Downres_DEq_MS_B1_vs_CM"
"GO:0043256","GO:0043256","laminin complex","3/96","10/19944",0.3,62.325,13.4900268921114,1.26557086394157e-05,0.000186915081443678,0.000152688306661776,"3915/3911/3909",3,"Downres_DEq_MS_B1_vs_CM"
"GO:0043202","GO:0043202","lysosomal lumen","5/96","99/19944",0.0505050505050505,10.4924242424242,6.5847860857846,0.000116396511947208,0.00159629502099028,0.00130399099850632,"4969/3339/2719/375790/2331",5,"Downres_DEq_MS_B1_vs_CM"
"GO:0005796","GO:0005796","Golgi lumen","5/96","109/19944",0.0458715596330275,9.52981651376147,6.21025339860421,0.000183066538897103,0.00234325169788292,0.00191416942425743,"4969/3339/2719/375790/2331",5,"Downres_DEq_MS_B1_vs_CM"
"GO:0016528","GO:0016528","sarcoplasm","4/96","99/19944",0.0404040404040404,8.39393939393939,5.1290911570038,0.00133799863678005,0.0160559836413606,0.0131159076894887,"7057/2318/1291/7060",4,"Downres_DEq_MS_B1_vs_CM"
"GO:0005775","GO:0005775","vacuolar lumen","5/96","179/19944",0.0279329608938547,5.80307262569832,4.48920817569966,0.00174188725626527,0.0196730796001724,0.016070662611983,"4969/3339/2719/375790/2331",5,"Downres_DEq_MS_B1_vs_CM"
"GO:0031089","GO:0031089","platelet dense granule lumen","2/96","14/19944",0.142857142857143,29.6785714285714,7.46518144507168,0.00200938442067976,0.0214334338205841,0.0175086712679114,"3959/7078",2,"Downres_DEq_MS_B1_vs_CM"
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","3/96","57/19944",0.0526315789473684,10.9342105263158,5.22346435994343,0.00261988889126374,0.0252785750358918,0.020649713159802,"3915/3679/4811",3,"Downres_DEq_MS_B1_vs_CM"
"GO:0043034","GO:0043034","costamere","2/96","16/19944",0.125,25.96875,6.94860173717725,0.00263318489957207,0.0252785750358918,0.020649713159802,"3880/2318",2,"Downres_DEq_MS_B1_vs_CM"
"GO:0098637","GO:0098637","protein complex involved in cell-matrix adhesion","2/96","17/19944",0.117647058823529,24.4411764705882,6.72442865497415,0.00297494536420308,0.0271995004727139,0.0222188901887849,"3915/4811",2,"Downres_DEq_MS_B1_vs_CM"
"GO:0016324","GO:0016324","apical plasma membrane","7/96","425/19944",0.0164705882352941,3.42176470588235,3.50970095709421,0.00445168163616918,0.0378702020349675,0.0309356365307574,"54825/2335/960/771/10149/10158/4072",7,"Downres_DEq_MS_B1_vs_CM"
"GO:0042827","GO:0042827","platelet dense granule","2/96","21/19944",0.0952380952380952,19.7857142857143,5.99007800838073,0.00453653461877215,0.0378702020349675,0.0309356365307574,"3959/7078",2,"Downres_DEq_MS_B1_vs_CM"
"GO:0031258","GO:0031258","lamellipodium membrane","2/96","24/19944",0.0833333333333333,17.3125,5.56101368734437,0.00590667203390005,0.0472533762712004,0.0386006198706626,"1969/960",2,"Downres_DEq_MS_B1_vs_CM"
"GO:0016529","GO:0016529","sarcoplasmic reticulum","3/96","78/19944",0.0384615384615385,7.99038461538462,4.30195281733579,0.00633449041676042,0.04864888640072,0.0397405925093601,"7057/1291/7060",3,"Downres_DEq_MS_B1_vs_CM"
