"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","GO:0031012","extracellular matrix","52/364","496/19944",0.104838709677419,5.74423963133641,14.5884642398251,9.74575440545445e-25,2.08384163402954e-22,1.43790993553655e-22,"301/27329/7057/4240/3491/5054/7060/9518/653145/4969/11093/3915/2331/1303/3698/4811/10417/23767/51129/5649/1291/3912/1755/1293/4148/7059/1311/1490/3909/1306/7042/4324/1292/7148/3918/6277/5118/4052/10631/7078/22795/2162/3914/1282/5270/6590/80144/9423/4239/6278/633/4192",52,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0030312","GO:0030312","external encapsulating structure","52/364","497/19944",0.104627766599598,5.73268180511641,14.5679615417227,1.07138387353704e-24,2.08384163402954e-22,1.43790993553655e-22,"301/27329/7057/4240/3491/5054/7060/9518/653145/4969/11093/3915/2331/1303/3698/4811/10417/23767/51129/5649/1291/3912/1755/1293/4148/7059/1311/1490/3909/1306/7042/4324/1292/7148/3918/6277/5118/4052/10631/7078/22795/2162/3914/1282/5270/6590/80144/9423/4239/6278/633/4192",52,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0005765","GO:0005765","lysosomal membrane","39/364","462/19944",0.0844155844155844,4.6252319109462,10.7492856813769,1.63049427916441e-15,1.58565568648739e-13,1.0941474768077e-13,"8876/6520/9114/4758/2629/2040/55361/1601/537/10312/1291/527/967/221955/1186/8140/114790/26001/1201/54978/79888/112770/255738/55315/83985/11182/28962/29965/90809/57192/566/245972/64747/283537/1088/81618/55858/21/6272",39,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0098852","GO:0098852","lytic vacuole membrane","39/364","462/19944",0.0844155844155844,4.6252319109462,10.7492856813769,1.63049427916441e-15,1.58565568648739e-13,1.0941474768077e-13,"8876/6520/9114/4758/2629/2040/55361/1601/537/10312/1291/527/967/221955/1186/8140/114790/26001/1201/54978/79888/112770/255738/55315/83985/11182/28962/29965/90809/57192/566/245972/64747/283537/1088/81618/55858/21/6272",39,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0030055","GO:0030055","cell-substrate junction","29/364","433/19944",0.0669745958429561,3.66961906453823,7.65760695741514,1.95664151179324e-09,1.52226709617514e-07,1.05040754843637e-07,"301/7431/3675/3655/102/3673/1969/2318/6522/54751/9902/1601/30845/2934/23767/8829/8754/960/527/83706/928/3909/23396/10544/29780/91624/157285/6278/7106",29,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0005604","GO:0005604","basement membrane","14/364","100/19944",0.14,7.67076923076923,9.11802755714378,3.79289698896016e-09,2.45906154784251e-07,1.69682233716639e-07,"7060/3915/4811/1291/3912/3909/1306/3918/7078/22795/3914/1282/80144/9423",14,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0030667","GO:0030667","secretory granule membrane","24/364","325/19944",0.0738461538461539,4.04612003381234,7.54900742501804,7.75093817907996e-09,4.30730707380301e-07,2.97216426415848e-07,"8876/4240/102/2040/6809/10312/5874/1755/960/527/967/1604/928/3710/79888/10257/7097/81619/566/51365/5066/683/1088/21",24,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0042555","GO:0042555","MCM complex","6/364","11/19944",0.545454545454545,29.8861138861139,13.0658816807073,1.51724229717574e-08,6.55785837334847e-07,4.52510860561186e-07,"4171/4174/4172/4173/4176/4175",6,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0071162","GO:0071162","CMG complex","6/364","11/19944",0.545454545454545,29.8861138861139,13.0658816807073,1.51724229717574e-08,6.55785837334847e-07,4.52510860561186e-07,"4171/4174/4172/4173/4176/4175",6,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0005925","GO:0005925","focal adhesion","27/364","423/19944",0.0638297872340425,3.49731119943886,7.07833985078243,1.98073260978722e-08,7.70504985207228e-07,5.3167033210078e-07,"301/7431/3675/3655/102/3673/1969/2318/6522/54751/9902/1601/30845/2934/23767/8829/8754/960/527/928/23396/10544/29780/91624/157285/6278/7106",27,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","23/364","319/19944",0.0721003134796238,3.95046332977367,7.24303064784761,2.4992633330915e-08,8.83830396884176e-07,6.0986808606539e-07,"4241/7057/4240/3491/102/11098/11093/3915/1303/3698/5768/1291/3912/1293/4148/1306/336/1292/255738/174/4052/81619/1282",23,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0031261","GO:0031261","DNA replication preinitiation complex","6/364","13/19944",0.461538461538462,25.2882502113271,11.9438118270489,5.46360701122114e-08,1.77111927280419e-06,1.22212262093105e-06,"4171/4174/4172/4173/4176/4175",6,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0043256","GO:0043256","laminin complex","5/364","10/19944",0.5,27.3956043956044,11.3834518920554,4.60554936257583e-07,1.37812207849384e-05,9.50943390653309e-06,"3915/3912/3909/3918/3914",5,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0030670","GO:0030670","phagocytic vesicle membrane","10/364","82/19944",0.121951219512195,6.68185473063522,7.0295116649762,2.41461157014067e-06,6.70917071989086e-05,4.62951842395391e-05,"306/9114/10312/1755/527/11151/7097/90809/57192/245972",10,"Downres_DEq_MS_BDM_vs_BM2"
"GO:0030027","GO:0030027","lamellipodium","15/364","209/19944",0.0717703349282297,3.93238340606762,5.81051897325544,7.34403788870096e-06,0.000190455382580312,0.000131419625376754,"27329/6624/1969/6809/2934/10381/960/29780/11151/10642/5311/1809/7016/5420/154796",15,"Downres_DEq_MS_BDM_vs_BM2"
