"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005765","GO:0005765","lysosomal membrane","72/989","462/19944",0.155844155844156,3.14272582826678,10.643937577378,3.56253579846291e-18,1.02779157785655e-15,7.31257348105545e-16,"3134/2028/1889/684/6520/4012/7098/2040/972/290/10410/950/215/2629/567/23385/64121/1291/10581/151636/5025/64837/8876/4067/83547/3136/2896/10312/968/23503/8673/57707/55361/83667/967/527/4758/10548/10670/255738/221955/91056/64114/537/1186/84888/11342/90809/54664/5663/56674/11145/23545/9842/28962/11182/23207/83930/56928/59345/245972/25798/81618/79888/7030/126321/566/1318/64747/29965/51374/8140",72,"Downres_DEq_MS_BD_vs_CM"
"GO:0098852","GO:0098852","lytic vacuole membrane","72/989","462/19944",0.155844155844156,3.14272582826678,10.643937577378,3.56253579846291e-18,1.02779157785655e-15,7.31257348105545e-16,"3134/2028/1889/684/6520/4012/7098/2040/972/290/10410/950/215/2629/567/23385/64121/1291/10581/151636/5025/64837/8876/4067/83547/3136/2896/10312/968/23503/8673/57707/55361/83667/967/527/4758/10548/10670/255738/221955/91056/64114/537/1186/84888/11342/90809/54664/5663/56674/11145/23545/9842/28962/11182/23207/83930/56928/59345/245972/25798/81618/79888/7030/126321/566/1318/64747/29965/51374/8140",72,"Downres_DEq_MS_BD_vs_CM"
"GO:0045335","GO:0045335","phagocytic vesicle","33/989","148/19944",0.222972972972973,4.49643374415872,9.75211769830663,2.20750782731717e-13,2.93976040329739e-11,2.09159273426249e-11,"6890/3134/3105/7431/3106/6891/3107/306/6892/4353/567/4057/2934/6813/83547/3136/10312/1755/23673/3133/8673/81622/527/9830/90809/26056/51762/23545/55647/25921/245972/10228/7097",33,"Downres_DEq_MS_BD_vs_CM"
"GO:0031012","GO:0031012","extracellular matrix","66/989","496/19944",0.133064516129032,2.68335562151407,8.67182959093278,2.31669391397634e-13,2.93976040329739e-11,2.09159273426249e-11,"7057/2266/301/2335/2243/2267/2244/3959/3491/43/4969/375790/27329/3339/3915/3965/3958/3911/5054/23767/4240/653145/6277/7045/1291/348/51129/633/3371/1755/3698/977/2331/9518/2162/10631/7078/10417/1311/4811/7060/54507/4192/4324/4147/12/4148/1306/3549/89797/9423/80144/64856/1303/4958/11093/1490/4052/59277/4317/79875/4318/1893/11117/3909/6590",66,"Downres_DEq_MS_BD_vs_CM"
"GO:0030312","GO:0030312","external encapsulating structure","66/989","497/19944",0.132796780684105,2.67795651563578,8.65294782769541,2.54745268916585e-13,2.93976040329739e-11,2.09159273426249e-11,"7057/2266/301/2335/2243/2267/2244/3959/3491/43/4969/375790/27329/3339/3915/3965/3958/3911/5054/23767/4240/653145/6277/7045/1291/348/51129/633/3371/1755/3698/977/2331/9518/2162/10631/7078/10417/1311/4811/7060/54507/4192/4324/4147/12/4148/1306/3549/89797/9423/80144/64856/1303/4958/11093/1490/4052/59277/4317/79875/4318/1893/11117/3909/6590",66,"Downres_DEq_MS_BD_vs_CM"
"GO:0030055","GO:0030055","cell-substrate junction","60/989","433/19944",0.138568129330254,2.79434051705014,8.62264574054131,5.07427306151197e-13,4.87975926082068e-11,3.47187104208714e-11,"301/7431/3655/3675/102/2037/3678/8826/3339/4311/51056/950/3716/30845/23767/567/3673/2318/23385/6237/9260/6522/11078/10672/2934/960/5819/3371/83706/7106/6386/977/1969/28964/8754/29780/6714/527/11135/391/54751/6868/9019/8829/390/10544/9902/23545/89870/858/8936/3717/23092/23396/6143/10298/8394/867/9181/3909",60,"Downres_DEq_MS_BD_vs_CM"
"GO:0030667","GO:0030667","secretory granule membrane","50/989","325/19944",0.153846153846154,3.10243447149413,8.72885363986993,8.97562386716375e-13,7.39847853050497e-11,5.26389971156972e-11,"102/3106/684/3107/8826/4311/2040/634/290/3958/4240/23385/960/8876/6813/3136/961/140885/10312/968/6809/51365/54495/1755/8673/1604/6793/967/3710/527/391/9522/965/6844/81619/22875/64114/8560/5663/5874/84418/858/94103/25798/7097/79888/566/683/3684/23218",50,"Downres_DEq_MS_BD_vs_CM"
"GO:0005925","GO:0005925","focal adhesion","58/989","423/19944",0.137115839243499,2.76505389066971,8.38124659623233,1.95566137054278e-12,1.41052076350398e-10,1.0035630717259e-10,"301/7431/3655/3675/102/2037/3678/8826/3339/4311/51056/950/3716/30845/23767/567/3673/2318/23385/6237/9260/6522/11078/10672/2934/960/5819/3371/7106/6386/977/1969/28964/8754/29780/6714/527/11135/391/54751/6868/9019/8829/390/10544/9902/23545/89870/858/8936/3717/23092/23396/6143/10298/8394/867/9181",58,"Downres_DEq_MS_BD_vs_CM"
"GO:0005770","GO:0005770","late endosome","47/989","326/19944",0.144171779141104,2.907342733256,7.93125055921075,4.45199797898833e-11,2.70199608986224e-09,1.92242720978979e-09,"684/8878/972/10410/950/567/653145/26509/284996/348/10581/83547/56829/2896/10312/968/5641/23503/8673/10791/967/6714/255738/91056/84888/11342/90809/9907/57498/54664/6505/89853/85377/54887/5874/79720/23555/9842/83930/126321/7319/1318/79589/4851/29965/54602/8218",47,"Downres_DEq_MS_BD_vs_CM"
"GO:0030670","GO:0030670","phagocytic vesicle membrane","22/989","82/19944",0.268292682926829,5.41034304175195,9.14111776901831,4.68283551102642e-11,2.70199608986224e-09,1.92242720978979e-09,"6890/3134/3105/3106/6891/3107/306/6892/567/83547/3136/10312/1755/3133/8673/527/90809/51762/23545/55647/245972/7097",22,"Downres_DEq_MS_BD_vs_CM"
