"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","GO:0031012","extracellular matrix","19/43","496/19944",0.0383064516129032,17.7670667666917,17.577312809779,1.07997049845687e-19,7.68285875710052e-18,4.5453716811121e-18,"7057/7060/2335/2266/2267/2243/2244/3959/348/3339/301/4811/3911/3915/1755/2162/7078/1893/1291",19,"Downres_DEq_MS_BM1_vs_DM"
"GO:0030312","GO:0030312","external encapsulating structure","19/43","497/19944",0.0382293762575453,17.7313181414066,17.5579604777414,1.12158522001467e-19,7.68285875710052e-18,4.5453716811121e-18,"7057/7060/2335/2266/2267/2243/2244/3959/348/3339/301/4811/3911/3915/1755/2162/7078/1893/1291",19,"Downres_DEq_MS_BM1_vs_DM"
"GO:0034774","GO:0034774","secretory granule lumen","12/43","327/19944",0.036697247706422,17.0206955408577,13.5778488567198,3.00352659412508e-12,1.01851608824766e-10,6.02579629620205e-11,"7057/2335/2266/2243/2244/3959/4057/4353/2162/7078/83706/1893",12,"Downres_DEq_MS_BM1_vs_DM"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","12/43","332/19944",0.036144578313253,16.76435976464,13.464073061786,3.58847303022819e-12,1.01851608824766e-10,6.02579629620205e-11,"7057/2335/2266/2243/2244/3959/4057/4353/2162/7078/83706/1893",12,"Downres_DEq_MS_BM1_vs_DM"
"GO:0031983","GO:0031983","vesicle lumen","12/43","333/19944",0.036036036036036,16.7140163419233,13.4416155546845,3.71721200090386e-12,1.01851608824766e-10,6.02579629620205e-11,"7057/2335/2266/2243/2244/3959/4057/4353/2162/7078/83706/1893",12,"Downres_DEq_MS_BM1_vs_DM"
"GO:0005604","GO:0005604","basement membrane","8/43","100/19944",0.08,37.1051162790698,16.8246547629845,3.76938901806115e-11,8.60677159123962e-10,5.09198165597734e-10,"7060/2335/3339/4811/3911/3915/7078/1291",8,"Downres_DEq_MS_BM1_vs_DM"
"GO:0031093","GO:0031093","platelet alpha granule lumen","7/43","67/19944",0.104477611940299,48.4581742450538,18.0869372386028,1.02447195608673e-10,2.00503797119832e-09,1.18623068599516e-09,"7057/2335/2266/2243/2244/2162/83706",7,"Downres_DEq_MS_BM1_vs_DM"
"GO:0072562","GO:0072562","blood microparticle","8/43","145/19944",0.0551724137931034,25.5897353648757,13.8136437264142,7.51654375763902e-10,1.28720811849568e-08,7.6154456491869e-09,"2335/2266/2243/2244/3959/348/2162/3043",8,"Downres_DEq_MS_BM1_vs_DM"
"GO:0031091","GO:0031091","platelet alpha granule","7/43","91/19944",0.0769230769230769,35.6779964221825,15.4118099498837,9.17942210897185e-10,1.39731203214349e-08,8.26684798117933e-09,"7057/2335/2266/2243/2244/2162/83706",7,"Downres_DEq_MS_BM1_vs_DM"
"GO:0071682","GO:0071682","endocytic vesicle lumen","4/43","23/19944",0.173913043478261,80.6632962588473,17.7688223450959,1.60958228802999e-07,2.20512773460109e-06,1.30460880187694e-06,"348/4057/4353/3043",4,"Downres_DEq_MS_BM1_vs_DM"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","8/43","319/19944",0.0250783699059561,11.6316978931253,8.89785161011811,3.49662831236428e-07,4.35489162539914e-06,2.57646296700526e-06,"7057/2335/2266/2243/348/116519/3915/1291",8,"Downres_DEq_MS_BM1_vs_DM"
"GO:0031089","GO:0031089","platelet dense granule lumen","3/43","14/19944",0.214285714285714,99.3887043189369,17.1177875665481,3.34226764313863e-06,3.81575555924993e-05,2.2574965659796e-05,"3959/7078/1893",3,"Downres_DEq_MS_BM1_vs_DM"
"GO:0030139","GO:0030139","endocytic vesicle","7/43","361/19944",0.0193905817174515,8.99362236681054,7.12442204998591,1.10458652308256e-05,0.000116406425894085,6.88689573096009e-05,"348/4057/4353/1755/3043/11151/154796",7,"Downres_DEq_MS_BM1_vs_DM"
"GO:0042827","GO:0042827","platelet dense granule","3/43","21/19944",0.142857142857143,66.2591362126246,13.9080301507314,1.20842122647247e-05,0.00011825264859052,6.99612289010378e-05,"3959/7078/1893",3,"Downres_DEq_MS_BM1_vs_DM"
"GO:0044217","GO:0044217","other organism part","3/43","36/19944",0.0833333333333333,38.6511627906977,10.5101242457954,6.34266772612379e-05,0.000579296985652639,0.000342726606955461,"727/732/5648",3,"Downres_DEq_MS_BM1_vs_DM"
"GO:0009897","GO:0009897","external side of plasma membrane","6/43","393/19944",0.0152671755725191,7.08112906089118,5.65962987658231,0.00018544695242407,0.0015878895301311,0.00093943521951667,"7057/2266/2243/2244/3689/154796",6,"Downres_DEq_MS_BM1_vs_DM"
"GO:0043256","GO:0043256","laminin complex","2/43","10/19944",0.2,92.7627906976744,13.4915363711914,0.000202099100561508,0.00162868098687803,0.000963568467073444,"3911/3915",2,"Downres_DEq_MS_BM1_vs_DM"
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","3/43","57/19944",0.0526315789473684,24.4112607099143,8.22753265853314,0.000251856570665526,0.00191690834339873,0.00113409099071611,"4811/3915/3689",3,"Downres_DEq_MS_BM1_vs_DM"
"GO:0045335","GO:0045335","phagocytic vesicle","4/43","148/19944",0.027027027027027,12.5355122564425,6.54743269360006,0.000286931006671395,0.00206892357442006,0.00122402700906911,"4057/4353/1755/11151",4,"Downres_DEq_MS_BM1_vs_DM"
"GO:0042627","GO:0042627","chylomicron","2/43","13/19944",0.153846153846154,71.3559928443649,11.7950626012317,0.00034886838892301,0.00238974846412262,0.00141383504984588,"348/116519",2,"Downres_DEq_MS_BM1_vs_DM"
"GO:0005769","GO:0005769","early endosome","6/43","448/19944",0.0133928571428571,6.21179401993355,5.18615526514821,0.000374490470446101,0.00244310449767218,0.00144540181575688,"348/301/116519/4057/11151/8829",6,"Downres_DEq_MS_BM1_vs_DM"
"GO:0098637","GO:0098637","protein complex involved in cell-matrix adhesion","2/43","17/19944",0.117647058823529,54.5663474692202,10.2704046974999,0.000604960821771097,0.00376725602648365,0.00222880302757772,"4811/3915",2,"Downres_DEq_MS_BM1_vs_DM"
"GO:0016529","GO:0016529","sarcoplasmic reticulum","3/43","78/19944",0.0384615384615385,17.8389982110912,6.92628502211812,0.000634526902857342,0.00377957329093286,0.00223609022974898,"7057/7060/1291",3,"Downres_DEq_MS_BM1_vs_DM"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","2/43","21/19944",0.0952380952380952,44.1727574750831,9.20098008495415,0.000929031091820124,0.00509109038317428,0.00301201659242735,"348/116519",2,"Downres_DEq_MS_BM1_vs_DM"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","2/43","21/19944",0.0952380952380952,44.1727574750831,9.20098008495415,0.000929031091820124,0.00509109038317428,0.00301201659242735,"348/116519",2,"Downres_DEq_MS_BM1_vs_DM"
"GO:0016528","GO:0016528","sarcoplasm","3/43","99/19944",0.0303030303030303,14.0549682875264,6.05284969270274,0.00126772785813786,0.00667995063711105,0.00395202611646217,"7057/7060/1291",3,"Downres_DEq_MS_BM1_vs_DM"
"GO:0043083","GO:0043083","synaptic cleft","2/43","25/19944",0.08,37.1051162790698,8.3964751908354,0.00131994584060746,0.0066975029690082,0.00396241051566371,"348/3911",2,"Downres_DEq_MS_BM1_vs_DM"
"GO:0046930","GO:0046930","pore complex","2/43","26/19944",0.0769230769230769,35.6779964221825,8.22450615567077,0.00142798746714956,0.00698693867855319,0.0041336479312224,"727/732",2,"Downres_DEq_MS_BM1_vs_DM"
"GO:0034364","GO:0034364","high-density lipoprotein particle","2/43","27/19944",0.0740740740740741,34.3565891472868,8.06201457095528,0.00154011946570405,0.00727573678625706,0.00430450812556122,"348/116519",2,"Downres_DEq_MS_BM1_vs_DM"
"GO:0001891","GO:0001891","phagocytic cup","2/43","30/19944",0.0666666666666667,30.9209302325581,7.62339617687655,0.00190088486246192,0.00868070753857609,0.00513572401437079,"301/11151",2,"Downres_DEq_MS_BM1_vs_DM"
"GO:0005884","GO:0005884","actin filament","3/43","120/19944",0.025,11.5953488372093,5.41130808917258,0.00219970260723355,0.0097212663609999,0.00575134467765649,"301/11151/154796",3,"Downres_DEq_MS_BM1_vs_DM"
