"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0072562","GO:0072562","blood microparticle","7/42","145/19944",0.0482758620689655,22.9241379310345,12.1718454082826,2.02416459967463e-08,2.16585612165186e-06,1.49148970502341e-06,"2638/3043/3493/1/5005/197/10878",7,"Downres_DEq_MS_CM_vs_B1"
"GO:0031012","GO:0031012","extracellular matrix","9/42","496/19944",0.0181451612903226,8.61635944700461,7.89082344345072,7.27271072740969e-07,2.63777968006953e-05,1.81647395577833e-05,"7059/283/1293/197/5118/4958/5649/2822/7148",9,"Downres_DEq_MS_CM_vs_B1"
"GO:0030312","GO:0030312","external encapsulating structure","9/42","497/19944",0.0181086519114688,8.59902270767462,7.88099693179646,7.39564396281178e-07,2.63777968006953e-05,1.81647395577833e-05,"7059/283/1293/197/5118/4958/5649/2822/7148",9,"Downres_DEq_MS_CM_vs_B1"
"GO:0106068","GO:0106068","SUMO ligase complex","2/42","13/19944",0.153846153846154,73.0549450549451,11.9382990002714,0.000332764278821571,0.00810572361696495,0.00558190509776239,"56160/197370",2,"Downres_DEq_MS_CM_vs_B1"
"GO:0031093","GO:0031093","platelet alpha granule lumen","3/42","67/19944",0.0447761194029851,21.2622601279318,7.63170189570431,0.000378772131633876,0.00810572361696495,0.00558190509776239,"1/5005/197",3,"Downres_DEq_MS_CM_vs_B1"
"GO:0034774","GO:0034774","secretory granule lumen","5/42","327/19944",0.0152905198776758,7.2608125819135,5.24396533920815,0.000594314378458397,0.00862993328183494,0.00594289552118491,"230/1/5005/197/6694",5,"Downres_DEq_MS_CM_vs_B1"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","5/42","332/19944",0.0150602409638554,7.15146299483649,5.19227928191548,0.000636523329472102,0.00862993328183494,0.00594289552118491,"230/1/5005/197/6694",5,"Downres_DEq_MS_CM_vs_B1"
"GO:0031983","GO:0031983","vesicle lumen","5/42","333/19944",0.015015015015015,7.12998712998713,5.18207075537547,0.00064522865658579,0.00862993328183494,0.00594289552118491,"230/1/5005/197/6694",5,"Downres_DEq_MS_CM_vs_B1"
"GO:0000164","GO:0000164","protein phosphatase type 1 complex","2/42","20/19944",0.1,47.4857142857143,9.55471569089117,0.000803036337055852,0.00954720978499735,0.00657456650221165,"648791/5507",2,"Downres_DEq_MS_CM_vs_B1"
"GO:0031091","GO:0031091","platelet alpha granule","3/42","91/19944",0.032967032967033,15.6546310832025,6.43656328576032,0.000927446215854062,0.00992367450963846,0.00683381422208256,"1/5005/197",3,"Downres_DEq_MS_CM_vs_B1"
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","3/42","125/19944",0.024,11.3965714285714,5.35643461876553,0.00230841242440382,0.0224545572192008,0.0154630497328485,"230/3043/1",3,"Downres_DEq_MS_CM_vs_B1"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","4/42","319/19944",0.0125391849529781,5.95432154052844,4.09775724689892,0.00445546538815131,0.0397278997110158,0.0273581208044379,"5955/1293/197/6694",4,"Downres_DEq_MS_CM_vs_B1"
"GO:1904724","GO:1904724","tertiary granule lumen","2/42","55/19944",0.0363636363636364,17.2675324675325,5.54968178818801,0.00599048284005838,0.0429415766284353,0.029571179183379,"230/3043",2,"Downres_DEq_MS_CM_vs_B1"
"GO:0005775","GO:0005775","vacuolar lumen","3/42","179/19944",0.0167597765363128,7.9584996009577,4.29600958529276,0.00631265843476045,0.0429415766284353,0.029571179183379,"2638/5005/4958",3,"Downres_DEq_MS_CM_vs_B1"
"GO:0008287","GO:0008287","protein serine/threonine phosphatase complex","2/42","57/19944",0.0350877192982456,16.6616541353383,5.43953717069723,0.00642117033696229,0.0429415766284353,0.029571179183379,"648791/5507",2,"Downres_DEq_MS_CM_vs_B1"
"GO:1903293","GO:1903293","phosphatase complex","2/42","57/19944",0.0350877192982456,16.6616541353383,5.43953717069723,0.00642117033696229,0.0429415766284353,0.029571179183379,"648791/5507",2,"Downres_DEq_MS_CM_vs_B1"
"GO:0101002","GO:0101002","ficolin-1-rich granule","3/42","186/19944",0.0161290322580645,7.65898617511521,4.19145322226357,0.0070154525422238,0.0441560836481145,0.0304075342387409,"230/3043/1",3,"Downres_DEq_MS_CM_vs_B1"
