"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0072562","GO:0072562","blood microparticle","18/144","145/19944",0.124137931034483,17.1931034482759,16.6892322794753,1.83750345563087e-17,3.95063242960638e-15,3.05605837883872e-15,"3273/718/3827/3240/1/7018/3697/10878/731/3493/3043/735/197/3250/3310/590/3514/3040",18,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0044217","GO:0044217","other organism part","6/144","36/19944",0.166666666666667,23.0833333333333,11.3095664794094,2.07926999175661e-07,1.32602473939501e-05,1.02576209950753e-05,"718/4153/731/735/5648/732",6,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0034358","GO:0034358","plasma lipoprotein particle","6/144","37/19944",0.162162162162162,22.4594594594595,11.1419351840852,2.46702277096747e-07,1.32602473939501e-05,1.02576209950753e-05,"116519/346/3250/344/6288/4018",6,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:1990777","GO:1990777","lipoprotein particle","6/144","37/19944",0.162162162162162,22.4594594594595,11.1419351840852,2.46702277096747e-07,1.32602473939501e-05,1.02576209950753e-05,"116519/346/3250/344/6288/4018",6,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0032994","GO:0032994","protein-lipid complex","6/144","40/19944",0.15,20.775,10.6762860632196,4.00135031082231e-07,1.72058063365359e-05,1.33097547181037e-05,"116519/346/3250/344/6288/4018",6,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0034364","GO:0034364","high-density lipoprotein particle","5/144","27/19944",0.185185185185185,25.6481481481481,10.9294450671021,1.29996457010685e-06,4.65820637621623e-05,3.60341056275233e-05,"116519/346/3250/344/6288",5,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0030139","GO:0030139","endocytic vesicle","13/144","361/19944",0.03601108033241,4.98753462603878,6.5202215351865,2.24757025666186e-06,6.90325150260428e-05,5.34009173763268e-05,"3240/7018/9332/3122/3043/283/1536/9788/11151/3123/6288/1535/3040",13,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0071682","GO:0071682","endocytic vesicle lumen","4/144","23/19944",0.173913043478261,24.0869565217391,9.44754416639353,2.07433804826977e-05,0.0005574783504725,0.00043124396266661,"3240/3043/6288/3040",4,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0034774","GO:0034774","secretory granule lumen","11/144","327/19944",0.0336391437308868,4.65902140672783,5.6893994457664,2.6209402065594e-05,0.000604984247649666,0.000467992710544172,"3273/718/6694/3827/3240/1/7018/728358/197/3310/10562",11,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","11/144","332/19944",0.0331325301204819,4.58885542168675,5.62351629724349,3.01141531594877e-05,0.000604984247649666,0.000467992710544172,"3273/718/6694/3827/3240/1/7018/728358/197/3310/10562",11,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0031983","GO:0031983","vesicle lumen","11/144","333/19944",0.033033033033033,4.57507507507507,5.61049666678493,3.09526824378899e-05,0.000604984247649666,0.000467992710544172,"3273/718/6694/3827/3240/1/7018/728358/197/3310/10562",11,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0031838","GO:0031838","haptoglobin-hemoglobin complex","3/144","11/19944",0.272727272727273,37.7727272727273,10.4035065642857,5.82969484318424e-05,0.00104448699273718,0.000807975250195711,"3240/3043/3040",3,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","10/144","319/19944",0.0313479623824451,4.34169278996865,5.13098713799236,0.000110347514827751,0.00182497812984357,0.00141173338807973,"116519/718/80781/6694/3827/7018/197/590/57544/55757",10,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0070820","GO:0070820","tertiary granule","7/144","164/19944",0.0426829268292683,5.91158536585366,5.38609950700242,0.00019132451439937,0.00293819789970461,0.00227287768985718,"3240/3043/3689/1536/2207/10562/1535",7,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0106139","GO:0106139","symbiont cell surface","3/144","20/19944",0.15,20.775,7.54548428636891,0.000384028101435529,0.00550440278724258,0.00425799579135534,"718/4153/5648",3,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","3/144","21/19944",0.142857142857143,19.7857142857143,7.34520444296751,0.000445669699160078,0.00563641090114216,0.00436011222707692,"116519/346/344",3,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","3/144","21/19944",0.142857142857143,19.7857142857143,7.34520444296751,0.000445669699160078,0.00563641090114216,0.00436011222707692,"116519/346/344",3,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0030666","GO:0030666","endocytic vesicle membrane","7/144","208/19944",0.0336538461538462,4.66105769230769,4.52639622063,0.000798751413409537,0.00954064188239169,0.00738027621746824,"7018/9332/3122/1536/11151/3123/1535",7,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0046930","GO:0046930","pore complex","3/144","26/19944",0.115384615384615,15.9807692307692,6.5184121909005,0.000848521094225623,0.00960168606623731,0.00742749766690573,"731/735/732",3,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0005796","GO:0005796","Golgi lumen","5/144","109/19944",0.0458715596330275,6.35321100917431,4.77920219308655,0.00117132516459027,0.0125917455193454,0.00974049347396117,"5046/728358/2817/6385/10082",5,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0031093","GO:0031093","platelet alpha granule lumen","4/144","67/19944",0.0597014925373134,8.26865671641791,5.08229695002238,0.00140422089387798,0.0143765472468459,0.0111211479314647,"3273/3827/1/197",4,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0070821","GO:0070821","tertiary granule membrane","4/144","73/19944",0.0547945205479452,7.58904109589041,4.80969658483404,0.00192865623906692,0.0188482314272449,0.0145802720465346,"3689/1536/2207/1535",4,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0071745","GO:0071745","IgA immunoglobulin complex","2/144","10/19944",0.2,27.7,7.20207981398674,0.00224289211985956,0.0209661654682524,0.0162186249399455,"3493/3514",2,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0005770","GO:0005770","late endosome","8/144","326/19944",0.0245398773006135,3.39877300613497,3.72404125510384,0.00257771889095191,0.0230920650647776,0.0178631396829124,"116519/6653/7018/4153/3122/4891/7274/3123",8,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0005641","GO:0005641","nuclear envelope lumen","2/144","11/19944",0.181818181818182,25.1818181818182,6.84136649221262,0.00272835771351016,0.0234638763361874,0.0181507586835623,"6653/590",2,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0005833","GO:0005833","hemoglobin complex","2/144","12/19944",0.166666666666667,23.0833333333333,6.525648952694,0.00325856563606737,0.0269458312213264,0.0208442660120909,"3043/3040",2,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0016324","GO:0016324","apical plasma membrane","9/144","425/19944",0.0211764705882353,2.93294117647059,3.43501166524819,0.00377916437446329,0.0284159833420943,0.0219815195498208,"5244/55107/7018/8647/4891/5348/1579/10864/1535",9,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0042627","GO:0042627","chylomicron","2/144","13/19944",0.153846153846154,21.3076923076923,6.24613838164162,0.00383285356707319,0.0284159833420943,0.0219815195498208,"116519/344",2,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0071735","GO:0071735","IgG immunoglobulin complex","2/144","13/19944",0.153846153846154,21.3076923076923,6.24613838164162,0.00383285356707319,0.0284159833420943,0.0219815195498208,"3493/3514",2,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0031091","GO:0031091","platelet alpha granule","4/144","91/19944",0.043956043956044,6.08791208791209,4.14850023576077,0.00428622016606087,0.0307179111901029,0.0237622030258813,"3273/3827/1/197",4,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0001772","GO:0001772","immunological synapse","3/144","48/19944",0.0625,8.65625,4.52895216996611,0.00502786508137443,0.0348706771772742,0.026974624205676,"3122/11151/3123",3,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0042581","GO:0042581","specific granule","5/144","160/19944",0.03125,4.328125,3.60451190830307,0.00614370564532604,0.0412780223045343,0.0319311017092603,"3240/3689/1536/10562/1535",5,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0042613","GO:0042613","MHC class II protein complex","2/144","17/19944",0.117647058823529,16.2941176470588,5.37987050775995,0.0065578066240349,0.0427251037626516,0.0330505086633976,"3122/3123",2,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0043020","GO:0043020","NADPH oxidase complex","2/144","18/19944",0.111111111111111,15.3888888888889,5.20831621730936,0.00734280651736173,0.0451626034698196,0.0349360653524186,"1536/1535",2,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:1904724","GO:1904724","tertiary granule lumen","3/144","55/19944",0.0545454545454545,7.55454545454545,4.15108232025008,0.00735205172764505,0.0451626034698196,0.0349360653524186,"3240/3043/10562",3,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0009897","GO:0009897","external side of plasma membrane","8/144","393/19944",0.0203562340966921,2.81933842239186,3.10648438043555,0.00781952169754218,0.0466999212492102,0.0361252756787036,"563/4153/9332/3689/2207/3123/23308/8764",8,"Downres_DEq_MS_CTRL.myr_vs_HDV"
