"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","7/43","58/19944",0.120689655172414,55.9775461106656,19.4902609259796,3.59285316767869e-11,3.0179966608501e-09,2.00443387249443e-09,"6124/6137/6143/6132/6141/6129/6155",7,"Downres_DEq_MS_DM_vs_BM1"
"GO:0015934","GO:0015934","large ribosomal subunit","8/43","114/19944",0.0701754385964912,32.5483476132191,15.702171214908,1.09059595446982e-10,3.7748174677231e-09,2.50708428307424e-09,"6124/6137/55052/6143/6132/6141/6129/6155",8,"Downres_DEq_MS_DM_vs_BM1"
"GO:0022626","GO:0022626","cytosolic ribosome","8/43","118/19944",0.0677966101694915,31.4450137958218,15.4181281298043,1.44059005296026e-10,3.7748174677231e-09,2.50708428307424e-09,"6124/6137/6143/6194/6132/6141/6129/6155",8,"Downres_DEq_MS_DM_vs_BM1"
"GO:0044391","GO:0044391","ribosomal subunit","9/43","185/19944",0.0486486486486487,22.5639220615965,13.6969275840082,1.79753212748719e-10,3.7748174677231e-09,2.50708428307424e-09,"6124/6137/55052/6143/6194/6132/6141/6129/6155",9,"Downres_DEq_MS_DM_vs_BM1"
"GO:0005840","GO:0005840","ribosome","9/43","243/19944",0.037037037037037,17.1782945736434,11.7946148213015,2.00627411191441e-09,3.37054050801622e-08,2.23857953539924e-08,"6124/6137/55052/6143/6194/6132/6141/6129/6155",9,"Downres_DEq_MS_DM_vs_BM1"
"GO:0005925","GO:0005925","focal adhesion","8/43","423/19944",0.0189125295508274,8.77189510143493,7.50996833321448,2.89990322385812e-06,4.05986451340137e-05,2.6964012432365e-05,"6124/6143/2273/6132/6141/6129/5754/6155",8,"Downres_DEq_MS_DM_vs_BM1"
"GO:0030055","GO:0030055","cell-substrate junction","8/43","433/19944",0.0184757505773672,8.56931091895376,7.40205914739285,3.44654233827967e-06,4.1358508059356e-05,2.74686832975673e-05,"6124/6143/2273/6132/6141/6129/5754/6155",8,"Downres_DEq_MS_DM_vs_BM1"
"GO:0005791","GO:0005791","rough endoplasmic reticulum","3/43","59/19944",0.0508474576271186,23.5837603468664,8.07516652884669,0.000278983971853962,0.0029293317044666,0.00194554611950789,"6124/6141/6155",3,"Downres_DEq_MS_DM_vs_BM1"
"GO:0098637","GO:0098637","protein complex involved in cell-matrix adhesion","2/43","17/19944",0.117647058823529,54.5663474692202,10.2704046974999,0.000604960821771097,0.00494597862231282,0.00328492314514511,"3912/7148",2,"Downres_DEq_MS_DM_vs_BM1"
"GO:0031012","GO:0031012","extracellular matrix","6/43","496/19944",0.0120967741935484,5.61065266316579,4.83345627743906,0.000640891438760558,0.00494597862231282,0.00328492314514511,"3912/7148/1293/1292/5118/22795",6,"Downres_DEq_MS_DM_vs_BM1"
"GO:0030312","GO:0030312","external encapsulating structure","6/43","497/19944",0.0120724346076459,5.59936362360208,4.82660386010553,0.000647687676731441,0.00494597862231282,0.00328492314514511,"3912/7148/1293/1292/5118/22795",6,"Downres_DEq_MS_DM_vs_BM1"
"GO:0005581","GO:0005581","collagen trimer","3/43","86/19944",0.0348837209302326,16.1795565170362,6.55741362144473,0.000843417294735772,0.0059039210631504,0.00392115058078912,"1293/1292/10584",3,"Downres_DEq_MS_DM_vs_BM1"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","4/43","319/19944",0.0125391849529781,5.81584894656266,4.03046716846293,0.0048515830424186,0.0313486904279355,0.0208205588055211,"3912/2326/1293/1292",4,"Downres_DEq_MS_DM_vs_BM1"
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","2/43","57/19944",0.0350877192982456,16.2741738066095,5.36787682573509,0.00672211247190359,0.0403326748314216,0.0267873654895406,"3912/7148",2,"Downres_DEq_MS_DM_vs_BM1"
