"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0000313","GO:0000313","organellar ribosome","6/120","86/19944",0.0697674418604651,11.5953488372093,7.66102633785798,1.3285259812295e-05,0.00138166702047868,0.00107680526899654,"65008/54460/84545/51650/124995/51263",6,"Downres_DEq_MS_DM_vs_BT"
"GO:0005761","GO:0005761","mitochondrial ribosome","6/120","86/19944",0.0697674418604651,11.5953488372093,7.66102633785798,1.3285259812295e-05,0.00138166702047868,0.00107680526899654,"65008/54460/84545/51650/124995/51263",6,"Downres_DEq_MS_DM_vs_BT"
"GO:0000315","GO:0000315","organellar large ribosomal subunit","4/120","54/19944",0.0740740740740741,12.3111111111111,6.47552493519109,0.000312467133871338,0.0162482909613096,0.0126631417411016,"65008/84545/124995/51263",4,"Downres_DEq_MS_DM_vs_BT"
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit","4/120","54/19944",0.0740740740740741,12.3111111111111,6.47552493519109,0.000312467133871338,0.0162482909613096,0.0126631417411016,"65008/84545/124995/51263",4,"Downres_DEq_MS_DM_vs_BT"
"GO:0005811","GO:0005811","lipid droplet","5/120","107/19944",0.0467289719626168,7.76635514018692,5.4600787161156,0.000472760025921873,0.0196668170783499,0.0153273776825197,"123/80270/2597/79888/729359",5,"Downres_DEq_MS_DM_vs_BT"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","6/120","176/19944",0.0340909090909091,5.66590909090909,4.83728263989348,0.000690286440167436,0.0206857619143058,0.0161214946093274,"65008/54460/84545/51650/124995/51263",6,"Downres_DEq_MS_DM_vs_BT"
"GO:0031012","GO:0031012","extracellular matrix","10/120","496/19944",0.0201612903225806,3.3508064516129,4.12487186710076,0.000835477642886692,0.0206857619143058,0.0161214946093274,"5352/7045/3912/27329/83729/1293/5118/197/7148/5919",10,"Downres_DEq_MS_DM_vs_BT"
"GO:0030312","GO:0030312","external encapsulating structure","10/120","497/19944",0.0201207243460765,3.34406438631791,4.11729179713444,0.000848369554431092,0.0206857619143058,0.0161214946093274,"5352/7045/3912/27329/83729/1293/5118/197/7148/5919",10,"Downres_DEq_MS_DM_vs_BT"
"GO:0044391","GO:0044391","ribosomal subunit","6/120","185/19944",0.0324324324324324,5.39027027027027,4.66750576971296,0.000895057005907463,0.0206857619143058,0.0161214946093274,"65008/54460/84545/51650/124995/51263",6,"Downres_DEq_MS_DM_vs_BT"
"GO:0042555","GO:0042555","MCM complex","2/120","11/19944",0.181818181818182,30.2181818181818,7.54142505709204,0.00190575605685904,0.0360361145296982,0.0280848261010806,"4174/4171",2,"Downres_DEq_MS_DM_vs_BT"
"GO:0071162","GO:0071162","CMG complex","2/120","11/19944",0.181818181818182,30.2181818181818,7.54142505709204,0.00190575605685904,0.0360361145296982,0.0280848261010806,"4174/4171",2,"Downres_DEq_MS_DM_vs_BT"
"GO:0031674","GO:0031674","I band","5/120","150/19944",0.0333333333333333,5.54,4.34235097218301,0.00214435417041472,0.0362404268505789,0.0282440573633054,"226/10398/493/27295/27063",5,"Downres_DEq_MS_DM_vs_BT"
"GO:0030017","GO:0030017","sarcomere","6/120","222/19944",0.027027027027027,4.49189189189189,4.07053996190477,0.00226502667816118,0.0362404268505789,0.0282440573633054,"226/2023/10398/493/27295/27063",6,"Downres_DEq_MS_DM_vs_BT"
