"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0042627","GO:0042627","chylomicron","4/76","13/19944",0.307692307692308,80.7449392712551,17.7883320756173,1.35616814418599e-07,2.29192416367433e-05,1.72732995206848e-05,"345/344/336/341",4,"Upres_DEq_MS_B2_vs_BT"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","4/76","21/19944",0.19047619047619,49.984962406015,13.8905686145451,1.10925368516916e-06,6.24879575978624e-05,4.70946301422694e-05,"345/344/336/341",4,"Upres_DEq_MS_B2_vs_BT"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","4/76","21/19944",0.19047619047619,49.984962406015,13.8905686145451,1.10925368516916e-06,6.24879575978624e-05,4.70946301422694e-05,"345/344/336/341",4,"Upres_DEq_MS_B2_vs_BT"
"GO:0030684","GO:0030684","preribosome","6/76","104/19944",0.0576923076923077,15.1396761133603,8.94149755999549,2.82763443480677e-06,0.000108052350530909,8.14346584505761e-05,"10412/117246/9790/56342/65095/8602",6,"Upres_DEq_MS_B2_vs_BT"
"GO:0034364","GO:0034364","high-density lipoprotein particle","4/76","27/19944",0.148148148148148,38.8771929824561,12.1807119236959,3.19681510446477e-06,0.000108052350530909,8.14346584505761e-05,"345/344/336/341",4,"Upres_DEq_MS_B2_vs_BT"
"GO:0034358","GO:0034358","plasma lipoprotein particle","4/76","37/19944",0.108108108108108,28.3698435277383,10.3061209159122,1.16881193822329e-05,0.000282184596513909,0.000212671044398523,"345/344/336/341",4,"Upres_DEq_MS_B2_vs_BT"
"GO:1990777","GO:1990777","lipoprotein particle","4/76","37/19944",0.108108108108108,28.3698435277383,10.3061209159122,1.16881193822329e-05,0.000282184596513909,0.000212671044398523,"345/344/336/341",4,"Upres_DEq_MS_B2_vs_BT"
"GO:0032994","GO:0032994","protein-lipid complex","4/76","40/19944",0.1,26.2421052631579,9.88349058143167,1.60341029928096e-05,0.000338720425723102,0.000255279797648679,"345/344/336/341",4,"Upres_DEq_MS_B2_vs_BT"
"GO:0030687","GO:0030687","preribosome, large subunit precursor","3/76","16/19944",0.1875,49.2039473684211,11.9298697687615,2.87351893140642e-05,0.000539582999341872,0.000406661743508979,"10412/117246/56342",3,"Upres_DEq_MS_B2_vs_BT"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","4/76","58/19944",0.0689655172413793,18.0980036297641,8.06511657741685,7.06733712180339e-05,0.00114764437975696,0.000864932855500419,"6129/6137/6143/6141",4,"Upres_DEq_MS_B2_vs_BT"
