"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005765","GO:0005765","lysosomal membrane","56/637","462/19944",0.121212121212121,3.79506208077637,11.0408685465548,7.5299896408018e-18,1.87120242573925e-15,1.45844009885003e-15,"2028/1889/3134/290/215/684/2040/4012/6520/950/151636/7098/10312/567/972/10410/55361/23385/5025/2629/83547/3136/4067/1291/23503/64121/10581/64837/4758/2896/83667/537/968/10670/527/967/51510/255738/11342/8140/54664/11145/91056/23545/23207/566/245972/59345/1088/84888/26001/8763/6272/25798/81618/126321",56,"Upres_DEq_MS_BM2_vs_BD"
"GO:0098852","GO:0098852","lytic vacuole membrane","56/637","462/19944",0.121212121212121,3.79506208077637,11.0408685465548,7.5299896408018e-18,1.87120242573925e-15,1.45844009885003e-15,"2028/1889/3134/290/215/684/2040/4012/6520/950/151636/7098/10312/567/972/10410/55361/23385/5025/2629/83547/3136/4067/1291/23503/64121/10581/64837/4758/2896/83667/537/968/10670/527/967/51510/255738/11342/8140/54664/11145/91056/23545/23207/566/245972/59345/1088/84888/26001/8763/6272/25798/81618/126321",56,"Upres_DEq_MS_BM2_vs_BD"
"GO:0045335","GO:0045335","phagocytic vesicle","27/637","148/19944",0.182432432432432,5.711824854682,10.4505425141237,1.85491806665957e-13,3.07298093043269e-11,2.39512227554639e-11,"6891/6890/3105/7431/3134/3107/3106/6892/10312/567/306/83547/3136/81622/2934/3133/9830/1755/527/11151/4353/55647/3732/7097/23545/245972/26056",27,"Upres_DEq_MS_BM2_vs_BD"
"GO:0031012","GO:0031012","extracellular matrix","50/637","496/19944",0.100806451612903,3.15617562161341,8.83273211970572,6.8336526418652e-13,7.33065394671866e-11,5.71360934531921e-11,"301/7057/9518/653145/3959/43/7060/27329/4240/11093/4811/4969/710/3491/3958/51129/3965/1291/5649/12/4148/2331/3912/6277/1755/3371/4192/1293/1303/1311/1292/10417/7148/7059/6590/1490/1306/2162/7078/80144/5118/9423/10631/3549/22795/4147/633/4958/6278/4317",50,"Upres_DEq_MS_BM2_vs_BD"
"GO:0030312","GO:0030312","external encapsulating structure","50/637","497/19944",0.100603621730382,3.14982516764638,8.81581752999062,7.37490336692018e-13,7.33065394671866e-11,5.71360934531921e-11,"301/7057/9518/653145/3959/43/7060/27329/4240/11093/4811/4969/710/3491/3958/51129/3965/1291/5649/12/4148/2331/3912/6277/1755/3371/4192/1293/1303/1311/1292/10417/7148/7059/6590/1490/1306/2162/7078/80144/5118/9423/10631/3549/22795/4147/633/4958/6278/4317",50,"Upres_DEq_MS_BM2_vs_BD"
"GO:0030670","GO:0030670","phagocytic vesicle membrane","20/637","82/19944",0.24390243902439,7.63640540644025,10.9379493601526,8.85834664023434e-13,7.33766380032744e-11,5.71907291860743e-11,"6891/6890/3105/3134/3107/3106/6892/10312/567/306/83547/3136/3133/1755/527/11151/55647/7097/23545/245972",20,"Upres_DEq_MS_BM2_vs_BD"
"GO:0030667","GO:0030667","secretory granule membrane","32/637","325/19944",0.0984615384615385,3.08275812099988,6.8762181432925,1.84676448884555e-08,1.25257569545222e-06,9.76274183895834e-07,"290/3107/684/3106/2040/634/4240/102/10312/23385/3958/140885/3136/961/6809/54495/1604/1755/968/527/51365/22875/967/3710/9522/7097/3684/566/965/1088/683/25798",32,"Upres_DEq_MS_BM2_vs_BD"
"GO:0030139","GO:0030139","endocytic vesicle","34/637","361/19944",0.0941828254847645,2.94879477467527,6.78715328990838,2.01621842326314e-08,1.25257569545222e-06,9.76274183895834e-07,"6891/6890/3105/7431/3134/30844/3107/3106/6892/950/10312/567/972/10938/306/83547/30845/3136/4067/81622/2934/3133/9830/1755/527/11151/4353/55647/3732/7097/23545/245972/26056/4193",34,"Upres_DEq_MS_BM2_vs_BD"
"GO:0030666","GO:0030666","endocytic vesicle membrane","24/637","208/19944",0.115384615384615,3.61260717304673,6.87992615233998,5.84118867034013e-08,3.2256341879545e-06,2.51410225811131e-06,"6891/6890/3105/3134/3107/3106/6892/950/10312/567/972/306/83547/3136/4067/3133/1755/527/11151/55647/7097/23545/245972/4193",24,"Upres_DEq_MS_BM2_vs_BD"
"GO:0005775","GO:0005775","vacuolar lumen","21/637","179/19944",0.11731843575419,3.67315366198048,6.52543687581938,2.95489284553871e-07,1.46858174423274e-05,1.14463217595605e-05,"950/4969/972/2512/5641/3988/2629/12/2331/4758/2896/10437/4353/5580/3373/566/633/1515/4958/4069/6278",21,"Upres_DEq_MS_BM2_vs_BD"
"GO:0042555","GO:0042555","MCM complex","6/637","11/19944",0.545454545454545,17.0777793634936,9.68821205869795,4.17851208392692e-07,1.7306004214264e-05,1.34885302358342e-05,"4174/4172/4171/4173/4176/4175",6,"Upres_DEq_MS_BM2_vs_BD"
"GO:0071162","GO:0071162","CMG complex","6/637","11/19944",0.545454545454545,17.0777793634936,9.68821205869795,4.17851208392692e-07,1.7306004214264e-05,1.34885302358342e-05,"4174/4172/4171/4173/4176/4175",6,"Upres_DEq_MS_BM2_vs_BD"
"GO:0042611","GO:0042611","MHC protein complex","8/637","25/19944",0.32,10.0189638932496,8.19597168393963,6.92873591644069e-07,2.64890903882386e-05,2.06459499372484e-05,"3105/3134/3107/3106/567/972/3136/3133",8,"Upres_DEq_MS_BM2_vs_BD"
"GO:0098553","GO:0098553","lumenal side of endoplasmic reticulum membrane","9/637","35/19944",0.257142857142857,8.05095312850415,7.58341265685063,1.09705535918017e-06,3.86667230591244e-05,3.01373590718157e-05,"3105/3134/3107/3106/6892/972/3136/3133/84888",9,"Upres_DEq_MS_BM2_vs_BD"
"GO:0005769","GO:0005769","early endosome","35/637","448/19944",0.078125,2.44603610675039,5.62280404526465,1.16700371405808e-06,3.86667230591244e-05,3.01373590718157e-05,"5371/1889/301/3105/3134/4241/30844/3107/3106/27329/4012/151636/7098/567/10410/55361/10938/23385/58533/30845/3136/23503/3133/148022/55300/8829/11151/255738/55647/3996/245972/26056/22943/9392/6272",35,"Upres_DEq_MS_BM2_vs_BD"
"GO:0031261","GO:0031261","DNA replication preinitiation complex","6/637","13/19944",0.461538461538462,14.4504286921869,8.81151978040221,1.46920305247581e-06,4.56371198175297e-05,3.55701791652037e-05,"4174/4172/4171/4173/4176/4175",6,"Upres_DEq_MS_BM2_vs_BD"
"GO:0005770","GO:0005770","late endosome","28/637","326/19944",0.0858895705521472,2.68913908177712,5.58540163466729,2.26587923069595e-06,5.97635660091607e-05,4.65805195200067e-05,"653145/684/284996/56829/950/10312/567/972/10410/5641/83547/23503/10581/2896/968/967/51510/10791/255738/11342/26509/54664/91056/4851/84888/9907/4077/126321",28,"Upres_DEq_MS_BM2_vs_BD"
