"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","GO:0031012","extracellular matrix","32/127","496/19944",0.0645161290322581,10.1315722631445,16.4864471991358,2.13279730064731e-23,2.90406908986115e-21,2.26880397645403e-21,"7057/2335/2243/2266/2244/2267/3339/3915/375790/4969/3491/3911/3959/1291/23767/977/5054/3698/6277/1755/64856/3371/43/1311/7060/633/2331/3909/4324/4811/4148/2162",32,"Upres_DEq_MS_CM_vs_BM2"
"GO:0030312","GO:0030312","external encapsulating structure","32/127","497/19944",0.0643863179074447,10.1111868058746,16.4666399173751,2.26880397645403e-23,2.90406908986115e-21,2.26880397645403e-21,"7057/2335/2243/2266/2244/2267/3339/3915/375790/4969/3491/3911/3959/1291/23767/977/5054/3698/6277/1755/64856/3371/43/1311/7060/633/2331/3909/4324/4811/4148/2162",32,"Upres_DEq_MS_CM_vs_BM2"
"GO:0005604","GO:0005604","basement membrane","13/127","100/19944",0.13,20.4151181102362,15.5812960042395,6.73249902015671e-14,5.74506583053373e-12,4.48833268010447e-12,"2335/3339/3915/375790/3911/1291/977/64856/3371/43/7060/3909/4811",13,"Upres_DEq_MS_CM_vs_BM2"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","19/127","319/19944",0.0595611285266458,9.35344210500333,12.0402117875449,1.72801444466785e-13,1.10592924458742e-11,8.64007222333924e-12,"7057/2335/2243/2266/3915/3491/11167/4241/338/1291/2719/64374/3698/64856/3371/5768/81619/4148/340348",19,"Upres_DEq_MS_CM_vs_BM2"
"GO:0030055","GO:0030055","cell-substrate junction","20/127","433/19944",0.046189376443418,7.25355058100416,10.5319551512564,4.18598040141886e-12,2.14322196552646e-10,1.67439216056754e-10,"3339/3673/4162/960/23767/2318/977/9590/1969/6386/3371/4082/1264/7106/390/29780/3909/1601/8829/83692",20,"Upres_DEq_MS_CM_vs_BM2"
"GO:0005925","GO:0005925","focal adhesion","19/127","423/19944",0.0449172576832151,7.05377785223656,10.0745065494612,2.45070418569491e-11,1.0456337858965e-09,8.16901395231637e-10,"3339/3673/4162/960/23767/2318/977/9590/1969/6386/3371/4082/1264/7106/390/29780/1601/8829/83692",19,"Upres_DEq_MS_CM_vs_BM2"
"GO:0031093","GO:0031093","platelet alpha granule lumen","8/127","67/19944",0.119402985074627,18.7509695616406,11.6509734393077,1.03045399766599e-08,3.76851747717847e-07,2.94415427904568e-07,"7057/2335/2243/2266/2244/5054/5768/2162",8,"Upres_DEq_MS_CM_vs_BM2"
"GO:0034774","GO:0034774","secretory granule lumen","14/127","327/19944",0.0428134556574924,6.72339810734667,8.35390796358165,2.24930365878548e-08,7.11709163213033e-07,5.56022783760182e-07,"7057/2335/2243/2266/2244/3959/23406/4057/5054/6386/5768/10562/3934/2162",14,"Upres_DEq_MS_CM_vs_BM2"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","14/127","332/19944",0.0421686746987952,6.6221421117541,8.26966789932665,2.72011968577942e-08,7.11709163213033e-07,5.56022783760182e-07,"7057/2335/2243/2266/2244/3959/23406/4057/5054/6386/5768/10562/3934/2162",14,"Upres_DEq_MS_CM_vs_BM2"
"GO:0031983","GO:0031983","vesicle lumen","14/127","333/19944",0.042042042042042,6.60225579910619,8.25302825882312,2.82437403525241e-08,7.11709163213033e-07,5.56022783760182e-07,"7057/2335/2243/2266/2244/3959/23406/4057/5054/6386/5768/10562/3934/2162",14,"Upres_DEq_MS_CM_vs_BM2"
"GO:0072562","GO:0072562","blood microparticle","10/127","145/19944",0.0689655172413793,10.8303013847407,9.51058774352962,3.058125310681e-08,7.11709163213033e-07,5.56022783760182e-07,"2335/2243/2266/2244/3959/3698/6386/6513/2162/3512",10,"Upres_DEq_MS_CM_vs_BM2"
"GO:0031091","GO:0031091","platelet alpha granule","8/127","91/19944",0.0879120879120879,13.8056589080211,9.80139078553426,1.18200499906226e-07,2.52161066466615e-06,1.97000833177043e-06,"7057/2335/2243/2266/2244/5054/5768/2162",8,"Upres_DEq_MS_CM_vs_BM2"
"GO:0043202","GO:0043202","lysosomal lumen","7/127","99/19944",0.0707070707070707,11.1037938439513,8.06779162012539,3.29276092051608e-06,6.48420612040091e-05,5.06578603156321e-05,"3339/375790/4969/338/2719/633/2331",7,"Upres_DEq_MS_CM_vs_BM2"
"GO:0005775","GO:0005775","vacuolar lumen","8/127","179/19944",0.0446927374301676,7.01851933312805,6.4750915992849,1.94548130077928e-05,0.000355745152142496,0.000277925900111325,"3339/375790/4969/338/2719/6386/633/2331",8,"Upres_DEq_MS_CM_vs_BM2"
"GO:0043256","GO:0043256","laminin complex","3/127","10/19944",0.3,47.111811023622,11.6759735570258,2.92883190756873e-05,0.000497131776288074,0.000388384200225058,"3915/3911/3909",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0098636","GO:0098636","protein complex involved in cell adhesion","5/127","57/19944",0.087719298245614,13.7753833402404,7.7322321006657,3.10707360180047e-05,0.000497131776288074,0.000388384200225058,"3915/3673/3679/3371/4811",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0005938","GO:0005938","cell cortex","10/127","324/19944",0.0308641975308642,4.84689413823272,5.58870761552074,4.35106828082372e-05,0.000655219694053454,0.000511890385979261,"2244/3880/1627/23406/9590/4082/10398/6513/80306/91663",10,"Upres_DEq_MS_CM_vs_BM2"
"GO:0005796","GO:0005796","Golgi lumen","6/127","109/19944",0.055045871559633,8.64436899516001,6.40644260013353,7.01754574220957e-05,0.000998050950003139,0.000779727304689952,"3339/375790/4969/2719/633/2331",6,"Upres_DEq_MS_CM_vs_BM2"
"GO:0030863","GO:0030863","cortical cytoskeleton","6/127","111/19944",0.0540540540540541,8.48861459885082,6.33354578048409,7.76572495853349e-05,0.00104632925757083,0.000817444732477209,"3880/1627/23406/6513/80306/91663",6,"Upres_DEq_MS_CM_vs_BM2"
"GO:0030864","GO:0030864","cortical actin cytoskeleton","5/127","80/19944",0.0625,9.81496062992126,6.32426657422269,0.000158731353278319,0.00195826091576445,0.00152989134044098,"3880/23406/6513/80306/91663",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0098637","GO:0098637","protein complex involved in cell-matrix adhesion","3/127","17/19944",0.176470588235294,27.7128300138953,8.82066952754542,0.000160638590746303,0.00195826091576445,0.00152989134044098,"3915/3371/4811",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0031674","GO:0031674","I band","6/127","150/19944",0.04,6.28157480314961,5.19781038012308,0.000400842195652883,0.00466434554941537,0.00364401996048076,"3880/2318/10398/6513/29780/27063",6,"Upres_DEq_MS_CM_vs_BM2"
"GO:0035580","GO:0035580","specific granule lumen","4/127","62/19944",0.0645161290322581,10.1315722631445,5.76487003281482,0.000657498478279203,0.00731824393215113,0.00571737807199307,"4057/5768/10562/3934",4,"Upres_DEq_MS_CM_vs_BM2"
"GO:0030427","GO:0030427","site of polarized growth","6/127","176/19944",0.0340909090909091,5.35361488904796,4.6441167365428,0.000928698014833882,0.00969089031154862,0.00757100805589736,"1627/23406/4131/23767/4133/10381",6,"Upres_DEq_MS_CM_vs_BM2"
"GO:0030016","GO:0030016","myofibril","7/127","243/19944",0.0288065843621399,4.52376786235054,4.42429872080946,0.00094637600698717,0.00969089031154862,0.00757100805589736,"3880/1291/2318/10398/6513/29780/27063",7,"Upres_DEq_MS_CM_vs_BM2"
"GO:0043292","GO:0043292","contractile muscle fiber","7/127","253/19944",0.0276679841897233,4.34496280850269,4.28643081370868,0.00119543553099192,0.011770442151305,0.00919565793070705,"3880/1291/2318/10398/6513/29780/27063",7,"Upres_DEq_MS_CM_vs_BM2"
"GO:0030018","GO:0030018","Z disc","5/127","134/19944",0.0373134328358209,5.85967798801269,4.51851579579221,0.00167797875510942,0.0159097244928893,0.0124294722600698,"3880/2318/10398/6513/29780",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0097197","GO:0097197","tetraspanin-enriched microdomain","2/127","10/19944",0.2,31.407874015748,7.69957902437114,0.00175089427915251,0.0160081762665372,0.0125063877082322,"81619/340348",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0042383","GO:0042383","sarcolemma","5/127","139/19944",0.0359712230215827,5.64889820427123,4.40299471152154,0.00197059240364641,0.0173955743218442,0.0135902924389408,"3880/1291/2318/633/6513",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0150034","GO:0150034","distal axon","7/127","280/19944",0.025,3.9259842519685,3.94723713263825,0.00212937088415489,0.0181706315447884,0.0141958058943659,"1627/3673/4131/23767/4133/10381/5621",7,"Upres_DEq_MS_CM_vs_BM2"
"GO:0099535","GO:0099535","synapse-associated extracellular matrix","2/127","12/19944",0.166666666666667,26.1732283464567,6.98284254806466,0.00254664989440984,0.0210303991280296,0.0164299993187731,"3911/3371",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0030017","GO:0030017","sarcomere","6/127","222/19944",0.027027027027027,4.24430729942541,3.89135761384397,0.00300686911669203,0.0240549529335362,0.0187929319793252,"3880/2318/10398/6513/29780/27063",6,"Upres_DEq_MS_CM_vs_BM2"
"GO:0042581","GO:0042581","specific granule","5/127","160/19944",0.03125,4.90748031496063,3.97262790485077,0.00361804341029052,0.0271246362496267,0.0211911220700209,"4057/5768/81619/10562/3934",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0016528","GO:0016528","sarcoplasm","4/127","99/19944",0.0404040404040404,6.34502505368647,4.26795607704402,0.00370374675223572,0.0271246362496267,0.0211911220700209,"7057/1291/2318/7060",4,"Upres_DEq_MS_CM_vs_BM2"
"GO:0009897","GO:0009897","external side of plasma membrane","8/127","393/19944",0.0203562340966921,3.1967301797199,3.52100510189711,0.00370844636225365,0.0271246362496267,0.0211911220700209,"7057/2243/2266/2244/3673/4162/78989/5621",8,"Upres_DEq_MS_CM_vs_BM2"
"GO:0070820","GO:0070820","tertiary granule","5/127","164/19944",0.0304878048780488,4.78778567313232,3.89917141350152,0.00401838935853633,0.0285752132162583,0.0223243853252018,"4057/5768/81619/10562/258010",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0001674","GO:0001674","female germ cell nucleus","2/127","16/19944",0.125,19.6299212598425,5.96784182472897,0.00455379118478423,0.0306781721922306,0.0239673220251802,"4082/6513",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0043034","GO:0043034","costamere","2/127","16/19944",0.125,19.6299212598425,5.96784182472897,0.00455379118478423,0.0306781721922306,0.0239673220251802,"3880/2318",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0030426","GO:0030426","growth cone","5/127","171/19944",0.0292397660818713,4.59179444674679,3.77616877790417,0.00479376046025437,0.0314667353288492,0.0245833869756634,"1627/4131/23767/4133/10381",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:1904724","GO:1904724","tertiary granule lumen","3/127","55/19944",0.0545454545454545,8.56578382247674,4.49787052035902,0.00519728487762814,0.0332626232168201,0.0259864243881407,"4057/5768/10562",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0016459","GO:0016459","myosin complex","3/127","57/19944",0.0526315789473684,8.26523000414422,4.39724141034711,0.0057434086601517,0.035861283341435,0.0280166276104961,"22998/10398/84176",3,"Upres_DEq_MS_CM_vs_BM2"
"GO:0005614","GO:0005614","interstitial matrix","2/127","19/19944",0.105263157894737,16.5304600082884,5.42175770678292,0.00640873540408005,0.0381543317080115,0.029808071646884,"64856/3371",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0097440","GO:0097440","apical dendrite","2/127","19/19944",0.105263157894737,16.5304600082884,5.42175770678292,0.00640873540408005,0.0381543317080115,0.029808071646884,"4131/4133",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0031252","GO:0031252","cell leading edge","8/127","438/19944",0.0182648401826484,2.86829899687197,3.16502741633528,0.00702599302936397,0.0408785048981177,0.0319363319516544,"960/1969/10381/6277/29780/51330/8844/91663",8,"Upres_DEq_MS_CM_vs_BM2"
"GO:0001726","GO:0001726","ruffle","5/127","189/19944",0.0264550264550265,4.15448068991376,3.48817615316178,0.00726678575392964,0.0413399367334664,0.0322968255730206,"1969/6277/51330/8844/91663",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0140047","GO:0140047","specialized extracellular matrix","2/127","22/19944",0.0909090909090909,14.2763063707946,4.98769959958054,0.00855028717037693,0.0475842068612281,0.0371751616103345,"3911/3371",2,"Upres_DEq_MS_CM_vs_BM2"
"GO:0005912","GO:0005912","adherens junction","5/127","198/19944",0.0252525252525253,3.96564065855404,3.35729656714356,0.00878813257621377,0.0478672753087388,0.0373963088349522,"6386/54825/3909/83692/340348",5,"Upres_DEq_MS_CM_vs_BM2"
"GO:0071682","GO:0071682","endocytic vesicle lumen","2/127","23/19944",0.0869565217391304,13.6555973981513,4.86148725147635,0.00932585265199114,0.0497378808106194,0.0388577193832964,"338/4057",2,"Upres_DEq_MS_CM_vs_BM2"
