"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","GO:0031012","extracellular matrix","23/72","496/19944",0.0463709677419355,12.8447580645161,16.0794157087475,9.58199947069406e-20,8.56946391464761e-18,6.38291864372029e-18,"2267/7057/3959/3915/3911/3698/3339/375790/1311/4969/1755/2243/4148/2266/2244/2335/9518/653145/7078/1511/6277/2162/4811",23,"Upres_DEq_MS_C_vs_B1"
"GO:0030312","GO:0030312","external encapsulating structure","23/72","497/19944",0.0462776659959759,12.8189134808853,16.0609098465689,1.00227648124533e-19,8.56946391464761e-18,6.38291864372029e-18,"2267/7057/3959/3915/3911/3698/3339/375790/1311/4969/1755/2243/4148/2266/2244/2335/9518/653145/7078/1511/6277/2162/4811",23,"Upres_DEq_MS_C_vs_B1"
"GO:0034774","GO:0034774","secretory granule lumen","14/72","327/19944",0.0428134556574924,11.8593272171254,11.9179402429762,9.75925251498751e-12,4.25664915335157e-10,3.17054199787959e-10,"7057/3959/4353/4057/2243/2266/23406/2244/2335/7078/10562/1511/5768/2162",14,"Upres_DEq_MS_C_vs_B1"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","14/72","332/19944",0.0421686746987952,11.6807228915663,11.8127075106933,1.19559027627699e-11,4.25664915335157e-10,3.17054199787959e-10,"7057/3959/4353/4057/2243/2266/23406/2244/2335/7078/10562/1511/5768/2162",14,"Upres_DEq_MS_C_vs_B1"
"GO:0031983","GO:0031983","vesicle lumen","14/72","333/19944",0.042042042042042,11.6456456456456,11.7919317399255,1.24463425536596e-11,4.25664915335157e-10,3.17054199787959e-10,"7057/3959/4353/4057/2243/2266/23406/2244/2335/7078/10562/1511/5768/2162",14,"Upres_DEq_MS_C_vs_B1"
"GO:0031093","GO:0031093","platelet alpha granule lumen","7/72","67/19944",0.104477611940299,28.9402985074627,13.7890303593462,4.33852332003507e-09,1.23647914620999e-07,9.20984774954812e-08,"7057/2243/2266/2244/2335/5768/2162",7,"Upres_DEq_MS_C_vs_B1"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","11/72","319/19944",0.0344827586206897,9.55172413793103,9.26797589019621,1.87211303018087e-08,4.57330468801327e-07,3.40640115265993e-07,"7057/3915/3698/2243/4148/2266/11098/2335/81619/64222/5768",11,"Upres_DEq_MS_C_vs_B1"
"GO:0031091","GO:0031091","platelet alpha granule","7/72","91/19944",0.0769230769230769,21.3076923076923,11.6871576681796,3.77040759841663e-08,8.05924624161554e-07,6.00288578168963e-07,"7057/2243/2266/2244/2335/5768/2162",7,"Upres_DEq_MS_C_vs_B1"
"GO:0072562","GO:0072562","blood microparticle","8/72","145/19944",0.0551724137931034,15.2827586206897,10.3899910522797,5.19568940049076e-08,9.87180986093244e-07,7.35296394689335e-07,"3959/3698/2243/2266/2244/2335/6513/2162",8,"Upres_DEq_MS_C_vs_B1"
"GO:0005604","GO:0005604","basement membrane","7/72","100/19944",0.07,19.39,11.0970571752139,7.26752633243218e-08,1.2427470028459e-06,9.25653353920309e-07,"3915/3911/3339/375790/2335/7078/4811",7,"Upres_DEq_MS_C_vs_B1"
"GO:0005775","GO:0005775","vacuolar lumen","5/72","179/19944",0.0279329608938547,7.73743016759776,5.45020812172985,0.000473878247509942,0.00736665275674546,0.00548701128695723,"3339/375790/4969/4353/1511",5,"Upres_DEq_MS_C_vs_B1"
"GO:0043256","GO:0043256","laminin complex","2/72","10/19944",0.2,55.4,10.3572003260631,0.000567633436752984,0.00808877647373002,0.00602488121465887,"3915/3911",2,"Upres_DEq_MS_C_vs_B1"
"GO:1904724","GO:1904724","tertiary granule lumen","3/72","55/19944",0.0545454545454545,15.1090909090909,6.30688055772627,0.00103447080563699,0.0136072698279943,0.0101353010106944,"4057/10562/5768",3,"Upres_DEq_MS_C_vs_B1"
"GO:0031089","GO:0031089","platelet dense granule lumen","2/72","14/19944",0.142857142857143,39.5714285714286,8.68994036758238,0.00113719988477911,0.0138900843069449,0.0103459538389679,"3959/7078",2,"Upres_DEq_MS_C_vs_B1"
"GO:0035580","GO:0035580","specific granule lumen","3/72","62/19944",0.0483870967741935,13.4032258064516,5.88763887111619,0.00146459851123004,0.0166964230280225,0.0124362399900937,"4057/10562/5768",3,"Upres_DEq_MS_C_vs_B1"
"GO:0098637","GO:0098637","protein complex involved in cell-matrix adhesion","2/72","17/19944",0.117647058823529,32.5882352941177,7.84277161243579,0.00168768755375039,0.0180371607307073,0.0134348811844604,"3915/4811",2,"Upres_DEq_MS_C_vs_B1"
"GO:0045335","GO:0045335","phagocytic vesicle","4/72","148/19944",0.027027027027027,7.48648648648649,4.76751816406436,0.00202578820047544,0.020377046016547,0.0151777320283299,"4353/7431/1755/4057",4,"Upres_DEq_MS_C_vs_B1"
"GO:0042827","GO:0042827","platelet dense granule","2/72","21/19944",0.0952380952380952,26.3809523809524,7.00456061344892,0.00258178308143709,0.0230178360204276,0.0171447101167851,"3959/7078",2,"Upres_DEq_MS_C_vs_B1"
"GO:0042581","GO:0042581","specific granule","4/72","160/19944",0.025,6.925,4.52930949698807,0.00268719227117275,0.0230178360204276,0.0171447101167851,"4057/81619/10562/5768",4,"Upres_DEq_MS_C_vs_B1"
"GO:0070820","GO:0070820","tertiary granule","4/72","164/19944",0.024390243902439,6.75609756097561,4.45530694956152,0.00293704614668954,0.0230178360204276,0.0171447101167851,"4057/81619/10562/5768",4,"Upres_DEq_MS_C_vs_B1"
"GO:0009897","GO:0009897","external side of plasma membrane","6/72","393/19944",0.0152671755725191,4.22900763358779,3.89154057213531,0.00294667386511998,0.0230178360204276,0.0171447101167851,"7057/5621/2243/2266/2244/78989",6,"Upres_DEq_MS_C_vs_B1"
"GO:0030864","GO:0030864","cortical actin cytoskeleton","3/72","80/19944",0.0375,10.3875,5.06410024241311,0.00303761839827674,0.0230178360204276,0.0171447101167851,"3880/23406/6513",3,"Upres_DEq_MS_C_vs_B1"
"GO:0071682","GO:0071682","endocytic vesicle lumen","2/72","23/19944",0.0869565217391304,24.0869565217391,6.66830934880462,0.00309596624836161,0.0230178360204276,0.0171447101167851,"4353/4057",2,"Upres_DEq_MS_C_vs_B1"
"GO:0044233","GO:0044233","mitochondria-associated endoplasmic reticulum membrane contact site","2/72","25/19944",0.08,22.16,6.37224705842372,0.00365403958859712,0.0260350320687545,0.0193920522026426,"9451/2182",2,"Upres_DEq_MS_C_vs_B1"
"GO:0043202","GO:0043202","lysosomal lumen","3/72","99/19944",0.0303030303030303,8.39393939393939,4.43924010912524,0.00552292639715069,0.0377768165565107,0.0281378565917993,"3339/375790/4969",3,"Upres_DEq_MS_C_vs_B1"
"GO:0005796","GO:0005796","Golgi lumen","3/72","109/19944",0.0275229357798165,7.62385321100918,4.1739625659288,0.00720516611838892,0.0473878233170964,0.0352965627661968,"3339/375790/4969",3,"Upres_DEq_MS_C_vs_B1"
"GO:0030863","GO:0030863","cortical cytoskeleton","3/72","111/19944",0.027027027027027,7.48648648648649,4.12493875445316,0.00757406217801752,0.0479690604607776,0.0357294940951314,"3880/23406/6513",3,"Upres_DEq_MS_C_vs_B1"
