"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","GO:0031012","extracellular matrix","15/48","496/19944",0.030241935483871,12.5655241935484,12.8115496484447,3.59284347886815e-13,2.64463339567886e-11,1.59631901689854e-11,"2267/7060/7057/3915/3959/375790/3339/2266/2243/1755/1291/2335/3911/2244/4811",15,"Upres_DEq_MS_DM_vs_B2"
"GO:0030312","GO:0030312","external encapsulating structure","15/48","497/19944",0.0301810865191147,12.5402414486922,12.7967521879064,3.69878796598441e-13,2.64463339567886e-11,1.59631901689854e-11,"2267/7060/7057/3915/3959/375790/3339/2266/2243/1755/1291/2335/3911/2244/4811",15,"Upres_DEq_MS_DM_vs_B2"
"GO:0005604","GO:0005604","basement membrane","8/48","100/19944",0.08,33.24,15.8749878339156,9.60942246757648e-11,4.58049137621146e-09,2.76481628891674e-09,"7060/3915/375790/3339/1291/2335/3911/4811",8,"Upres_DEq_MS_DM_vs_B2"
"GO:0031093","GO:0031093","platelet alpha granule lumen","6/48","67/19944",0.0895522388059701,37.2089552238806,14.5817938297371,1.25576970730918e-08,4.48937670363032e-07,2.70981884208823e-07,"7057/2266/2243/2335/2244/83706",6,"Upres_DEq_MS_DM_vs_B2"
"GO:0034774","GO:0034774","secretory granule lumen","9/48","327/19944",0.0275229357798165,11.4357798165138,9.3457780925245,7.33332591395823e-08,1.53059469506778e-06,9.23877548734325e-07,"7057/3959/4353/4057/2266/2243/2335/2244/83706",9,"Upres_DEq_MS_DM_vs_B2"
"GO:0031091","GO:0031091","platelet alpha granule","6/48","91/19944",0.0659340659340659,27.3956043956044,12.3957329911317,8.0314788706584e-08,1.53059469506778e-06,9.23877548734325e-07,"7057/2266/2243/2335/2244/83706",6,"Upres_DEq_MS_DM_vs_B2"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","9/48","332/19944",0.0271084337349398,11.2635542168675,9.26272685616386,8.34616438721174e-08,1.53059469506778e-06,9.23877548734325e-07,"7057/3959/4353/4057/2266/2243/2335/2244/83706",9,"Upres_DEq_MS_DM_vs_B2"
"GO:0031983","GO:0031983","vesicle lumen","9/48","333/19944",0.027027027027027,11.2297297297297,9.2463298847281,8.56276752485472e-08,1.53059469506778e-06,9.23877548734325e-07,"7057/3959/4353/4057/2266/2243/2335/2244/83706",9,"Upres_DEq_MS_DM_vs_B2"
"GO:0072562","GO:0072562","blood microparticle","6/48","145/19944",0.0413793103448276,17.1931034482759,9.61225848144052,1.27032779209444e-06,2.01840971410561e-05,1.21832606961104e-05,"3959/2266/2243/2335/2244/3043",6,"Upres_DEq_MS_DM_vs_B2"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","7/48","319/19944",0.0219435736677116,9.11755485893417,7.17874816539017,1.05189182278253e-05,0.000150420530657902,9.07948731243868e-05,"7057/3915/116519/2266/2243/1291/2335",7,"Upres_DEq_MS_DM_vs_B2"
"GO:0071682","GO:0071682","endocytic vesicle lumen","3/48","23/19944",0.130434782608696,54.195652173913,12.5376881990435,2.23996387763014e-05,0.000291195304091919,0.000175767500445619,"4353/4057/3043",3,"Upres_DEq_MS_DM_vs_B2"
"GO:0044217","GO:0044217","other organism part","3/48","36/19944",0.0833333333333333,34.625,9.91819641387935,8.83436608501981e-05,0.00105276195846486,0.000635454402606688,"727/5648/732",3,"Upres_DEq_MS_DM_vs_B2"
"GO:0043256","GO:0043256","laminin complex","2/48","10/19944",0.2,83.1,12.7549543127798,0.000252118553850041,0.00277330409235045,0.00167398553973307,"3915/3911",2,"Upres_DEq_MS_DM_vs_B2"
"GO:0098637","GO:0098637","protein complex involved in cell-matrix adhesion","2/48","17/19944",0.117647058823529,48.8823529411765,9.70089850835779,0.000753807793039319,0.00769960817175876,0.0046475367691146,"3915/4811",2,"Upres_DEq_MS_DM_vs_B2"
"GO:0016529","GO:0016529","sarcoplasmic reticulum","3/48","78/19944",0.0384615384615385,15.9807692307692,6.51117213671211,0.000876900865504038,0.00835978825113849,0.00504602603307587,"7060/7057/1291",3,"Upres_DEq_MS_DM_vs_B2"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","2/48","21/19944",0.0952380952380952,39.5714285714286,8.6862231294998,0.00115684295043739,0.00973109070073809,0.0058737536802394,"116519/55937",2,"Upres_DEq_MS_DM_vs_B2"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","2/48","21/19944",0.0952380952380952,39.5714285714286,8.6862231294998,0.00115684295043739,0.00973109070073809,0.0058737536802394,"116519/55937",2,"Upres_DEq_MS_DM_vs_B2"
"GO:0030139","GO:0030139","endocytic vesicle","5/48","361/19944",0.0138504155124654,5.75484764542936,4.47799466708697,0.00170870710539884,0.0127032139662617,0.00766774784860846,"4353/4057/1755/4193/3043",5,"Upres_DEq_MS_DM_vs_B2"
"GO:0016528","GO:0016528","sarcoplasm","3/48","99/19944",0.0303030303030303,12.5909090909091,5.67861627073899,0.00174515886169154,0.0127032139662617,0.00766774784860846,"7060/7057/1291",3,"Upres_DEq_MS_DM_vs_B2"
"GO:0046930","GO:0046930","pore complex","2/48","26/19944",0.0769230769230769,31.9615384615385,7.75924240068146,0.00177667328199464,0.0127032139662617,0.00766774784860846,"727/732",2,"Upres_DEq_MS_DM_vs_B2"
