"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","GO:0031012","extracellular matrix","43/308","496/19944",0.0866935483870968,5.61368873062422,13.0315401776205,3.21995342082433e-20,6.50420749398662e-18,4.53994781454737e-18,"7057/7060/301/2267/2244/2243/2266/2335/3915/27329/348/375790/4240/3959/4811/1755/5054/4059/3698/3339/10216/23767/3491/4324/2162/3911/3909/1291/10417/7078/43/653145/6277/1893/1490/977/7042/9518/3918/3914/5270/1303/4052",43,"Upres_DEq_MS_DM_vs_BDM"
"GO:0030312","GO:0030312","external encapsulating structure","43/308","497/19944",0.0865191146881288,5.60239358227286,13.0130690381966,3.47818582566129e-20,6.50420749398662e-18,4.53994781454737e-18,"7057/7060/301/2267/2244/2243/2266/2335/3915/27329/348/375790/4240/3959/4811/1755/5054/4059/3698/3339/10216/23767/3491/4324/2162/3911/3909/1291/10417/7078/43/653145/6277/1893/1490/977/7042/9518/3918/3914/5270/1303/4052",43,"Upres_DEq_MS_DM_vs_BDM"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","27/308","319/19944",0.0846394984326019,5.48068232707731,10.1036607201884,8.37543116269025e-13,1.04413708494872e-10,7.28809448542871e-11,"7057/2243/2266/4241/338/2335/3915/348/4240/11098/2153/102/3698/3491/64374/11167/174/1291/255738/3990/81619/54982/64222/720/56975/1303/4052",27,"Upres_DEq_MS_DM_vs_BDM"
"GO:0030055","GO:0030055","cell-substrate junction","30/308","433/19944",0.069284064665127,4.48636813532887,9.18589587909465,7.34156634142794e-12,6.86436452923512e-10,4.79133803335297e-10,"7431/301/2195/2318/3675/3655/8754/102/3339/23385/23767/1969/6386/30845/1601/8829/3909/83706/54751/960/9019/3689/10544/5880/6714/977/7106/527/28964/83692",30,"Upres_DEq_MS_DM_vs_BDM"
"GO:0005925","GO:0005925","focal adhesion","28/308","423/19944",0.066193853427896,4.2862669245648,8.55590748498008,1.10007266761767e-10,8.22854355378018e-09,5.74353729619331e-09,"7431/301/2195/2318/3675/3655/8754/102/3339/23385/23767/1969/6386/30845/1601/8829/54751/960/9019/3689/10544/5880/6714/977/7106/527/28964/83692",28,"Upres_DEq_MS_DM_vs_BDM"
"GO:0005604","GO:0005604","basement membrane","14/308","100/19944",0.14,9.06545454545455,10.1264758182896,4.3851770242181e-10,2.73342701176261e-08,1.90793667018612e-08,"7060/2335/3915/375790/4811/3339/3911/3909/1291/7078/43/977/3918/3914",14,"Upres_DEq_MS_DM_vs_BDM"
"GO:0042555","GO:0042555","MCM complex","6/308","11/19944",0.545454545454545,35.3199527744982,14.2593845703678,5.59445450532045e-09,2.61540748123731e-07,1.82555883857825e-07,"4176/4174/4171/4172/4175/4173",6,"Upres_DEq_MS_DM_vs_BDM"
"GO:0071162","GO:0071162","CMG complex","6/308","11/19944",0.545454545454545,35.3199527744982,14.2593845703678,5.59445450532045e-09,2.61540748123731e-07,1.82555883857825e-07,"4176/4174/4171/4172/4175/4173",6,"Upres_DEq_MS_DM_vs_BDM"
"GO:0072562","GO:0072562","blood microparticle","15/308","145/19944",0.103448275862069,6.69861173309449,8.62532627584095,7.5582770893368e-09,3.14088403490218e-07,2.19234236041582e-07,"2244/2243/2266/2335/7037/348/3959/3698/2162/6386/2040/6513/3512/720/3040",15,"Upres_DEq_MS_DM_vs_BDM"
"GO:0034774","GO:0034774","secretory granule lumen","22/308","327/19944",0.0672782874617737,4.3564875491481,7.66455088707921,8.76281103872178e-09,3.27729132848195e-07,2.28755488168737e-07,"7057/2244/2243/2266/2335/3959/2153/4353/23406/5054/4057/2162/6386/2950/83706/7078/3934/1893/6286/7042/566/6283",22,"Upres_DEq_MS_DM_vs_BDM"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","22/308","332/19944",0.0662650602409639,4.29087779690189,7.57293006650671,1.15422241796108e-08,3.79864704502186e-07,2.6514620522528e-07,"7057/2244/2243/2266/2335/3959/2153/4353/23406/5054/4057/2162/6386/2950/83706/7078/3934/1893/6286/7042/566/6283",22,"Upres_DEq_MS_DM_vs_BDM"
"GO:0031983","GO:0031983","vesicle lumen","22/308","333/19944",0.0660660660660661,4.27799227799228,7.55482248535814,1.21881723369685e-08,3.79864704502186e-07,2.6514620522528e-07,"7057/2244/2243/2266/2335/3959/2153/4353/23406/5054/4057/2162/6386/2950/83706/7078/3934/1893/6286/7042/566/6283",22,"Upres_DEq_MS_DM_vs_BDM"
"GO:0031261","GO:0031261","DNA replication preinitiation complex","6/308","13/19944",0.461538461538462,29.8861138861139,13.0478916574545,2.02440219917981e-08,5.82404940379424e-07,4.06519631900076e-07,"4176/4174/4171/4172/4175/4173",6,"Upres_DEq_MS_DM_vs_BDM"
"GO:0031093","GO:0031093","platelet alpha granule lumen","10/308","67/19944",0.149253731343284,9.66466369451444,8.89729078436549,7.5973521107022e-08,2.0295783495733e-06,1.41664911537906e-06,"7057/2244/2243/2266/2335/2153/5054/2162/83706/7042",10,"Upres_DEq_MS_DM_vs_BDM"
"GO:0031091","GO:0031091","platelet alpha granule","11/308","91/19944",0.120879120879121,7.82731554160126,8.17526221795545,1.57478289831089e-07,3.92645869312183e-06,2.74067479846387e-06,"7057/2244/2243/2266/2335/2153/5054/2162/83706/7042/5270",11,"Upres_DEq_MS_DM_vs_BDM"
"GO:0043256","GO:0043256","laminin complex","5/308","10/19944",0.5,32.3766233766234,12.4294831226978,2.01133632862398e-07,4.70149866815856e-06,3.28165400986018e-06,"3915/3911/3909/3918/3914",5,"Upres_DEq_MS_DM_vs_BDM"
"GO:0030667","GO:0030667","secretory granule membrane","19/308","325/19944",0.0584615384615385,3.78557442557443,6.34106353372016,8.04358852556042e-07,1.76958947562329e-05,1.23517644231516e-05,"4240/8876/1755/102/23385/5874/2040/960/10312/3689/6809/1604/967/81619/527/566/116843/84418/23218",19,"Upres_DEq_MS_DM_vs_BDM"
"GO:0005765","GO:0005765","lysosomal membrane","23/308","462/19944",0.0497835497835498,3.22364648338674,6.05639306445483,9.33392955319297e-07,1.7845946710719e-05,1.24565009407777e-05,"8876/6520/23385/2629/1601/2040/1291/64837/10312/1186/255738/1201/537/967/58986/83930/527/8140/566/112770/55315/245972/57192",23,"Upres_DEq_MS_DM_vs_BDM"
"GO:0098852","GO:0098852","lytic vacuole membrane","23/308","462/19944",0.0497835497835498,3.22364648338674,6.05639306445483,9.33392955319297e-07,1.7845946710719e-05,1.24565009407777e-05,"8876/6520/23385/2629/1601/2040/1291/64837/10312/1186/255738/1201/537/967/58986/83930/527/8140/566/112770/55315/245972/57192",23,"Upres_DEq_MS_DM_vs_BDM"
