"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031012","GO:0031012","extracellular matrix","26/99","496/19944",0.0524193548387097,10.5601173020528,15.2283860066239,9.76951607789407e-20,8.93635671540141e-18,6.54143474025148e-18,"2267/7057/7060/80781/348/3698/4969/3339/4059/3915/3273/3911/1291/2266/7042/2243/1755/2244/7078/2335/2162/5046/4811/3909/4148/1311",26,"Upres_DEq_MS_D_vs_B1"
"GO:0030312","GO:0030312","external encapsulating structure","26/99","497/19944",0.0523138832997988,10.5388695811231,15.2102407633477,1.02716743855189e-19,8.93635671540141e-18,6.54143474025148e-18,"2267/7057/7060/80781/348/3698/4969/3339/4059/3915/3273/3911/1291/2266/7042/2243/1755/2244/7078/2335/2162/5046/4811/3909/4148/1311",26,"Upres_DEq_MS_D_vs_B1"
"GO:0034774","GO:0034774","secretory granule lumen","17/99","327/19944",0.0519877675840979,10.473172087851,12.1994512892696,4.83653214142907e-13,2.25664424437918e-11,1.65186904760968e-11,"7057/718/4057/10562/3273/4353/2266/7042/2243/5768/2244/7078/2335/2162/83706/6286/728358",17,"Upres_DEq_MS_D_vs_B1"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","17/99","332/19944",0.0512048192771084,10.315443592552,12.0892380749277,6.17783707478893e-13,2.25664424437918e-11,1.65186904760968e-11,"7057/718/4057/10562/3273/4353/2266/7042/2243/5768/2244/7078/2335/2162/83706/6286/728358",17,"Upres_DEq_MS_D_vs_B1"
"GO:0031983","GO:0031983","vesicle lumen","17/99","333/19944",0.0510510510510511,10.2844662844663,12.0674770259881,6.48460989764132e-13,2.25664424437918e-11,1.65186904760968e-11,"7057/718/4057/10562/3273/4353/2266/7042/2243/5768/2244/7078/2335/2162/83706/6286/728358",17,"Upres_DEq_MS_D_vs_B1"
"GO:0031093","GO:0031093","platelet alpha granule lumen","10/99","67/19944",0.149253731343284,30.067842605156,16.833021290837,1.11917261521874e-12,3.24560058413435e-11,2.37578748142926e-11,"7057/3273/2266/7042/2243/5768/2244/2335/2162/83706",10,"Upres_DEq_MS_D_vs_B1"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","16/99","319/19944",0.0501567398119122,10.1043032202907,11.5777592003182,4.3054264494096e-12,1.07020600313896e-10,7.83393384027912e-11,"7057/80781/348/718/116519/3698/3915/11167/2719/1291/2266/2243/5768/2335/3990/4148",16,"Upres_DEq_MS_D_vs_B1"
"GO:0031091","GO:0031091","platelet alpha granule","10/99","91/19944",0.10989010989011,22.1378621378621,14.2743380038631,2.63046076806311e-11,5.72125217053727e-10,4.18797043336364e-10,"7057/3273/2266/7042/2243/5768/2244/2335/2162/83706",10,"Upres_DEq_MS_D_vs_B1"
"GO:0005604","GO:0005604","basement membrane","10/99","100/19944",0.1,20.1454545454545,13.5562123384494,6.83004352176262e-11,1.32047508087411e-09,9.66590954541845e-10,"7060/80781/3339/3915/3911/1291/7078/2335/4811/3909",10,"Upres_DEq_MS_D_vs_B1"
"GO:0072562","GO:0072562","blood microparticle","10/99","145/19944",0.0689655172413793,13.8934169278997,11.0057004986256,2.7078939565841e-09,4.71173548445633e-08,3.4490017762808e-08,"348/718/3698/3273/2266/2243/2244/2335/2162/3040",10,"Upres_DEq_MS_D_vs_B1"
"GO:0034364","GO:0034364","high-density lipoprotein particle","5/99","27/19944",0.185185185185185,37.3063973063973,13.3333833757926,2.01482349319103e-07,3.187084434684e-06,2.33295351843172e-06,"348/116519/3990/55937/3931",5,"Upres_DEq_MS_D_vs_B1"
"GO:0034358","GO:0034358","plasma lipoprotein particle","5/99","37/19944",0.135135135135135,27.2235872235872,11.2765784166907,1.04597843413333e-06,1.40000190414769e-05,1.02480478162051e-05,"348/116519/3990/55937/3931",5,"Upres_DEq_MS_D_vs_B1"
"GO:1990777","GO:1990777","lipoprotein particle","5/99","37/19944",0.135135135135135,27.2235872235872,11.2765784166907,1.04597843413333e-06,1.40000190414769e-05,1.02480478162051e-05,"348/116519/3990/55937/3931",5,"Upres_DEq_MS_D_vs_B1"
"GO:0005796","GO:0005796","Golgi lumen","7/99","109/19944",0.0642201834862385,12.9374478732277,8.82665038705735,1.18073147865486e-06,1.46748055204247e-05,1.07419931516721e-05,"4969/3339/2719/10082/5046/1672/728358",7,"Upres_DEq_MS_D_vs_B1"
"GO:0032994","GO:0032994","protein-lipid complex","5/99","40/19944",0.125,25.1818181818182,10.8127473630753,1.56046308568036e-06,1.81013717938922e-05,1.32502479556017e-05,"348/116519/3990/55937/3931",5,"Upres_DEq_MS_D_vs_B1"
