"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","26/360","175/18662",0.148571428571429,7.70177777777778,12.4923820647456,5.7628181409274e-16,3.89566506326692e-13,3.28177327814918e-13,"4240/3491/2331/4969/7057/1303/3912/10631/5118/1291/7045/80144/7059/4811/22795/1311/1293/3918/3914/4148/7148/3909/1292/4052/4239/633",26,"Downres_DEq_MS_BDM_vs_B2"
"GO:0005539","GO:0005539","glycosaminoglycan binding","27/360","240/18662",0.1125,5.831875,10.5662858088987,1.71583664660472e-13,5.79952786552397e-11,4.88561908322713e-11,"27329/3491/338/8828/7060/7057/3698/8829/10631/5118/11167/3098/960/55959/1755/7059/1490/7049/1311/3918/7148/26279/5270/566/2247/633/3512",27,"Downres_DEq_MS_BDM_vs_B2"
"GO:0005518","GO:0005518","collagen binding","14/360","72/18662",0.194444444444444,10.0797839506173,10.8260866665354,8.34735821852108e-11,1.56346952277067e-08,1.31709282438327e-08,"3675/3673/7057/9902/5118/8754/1291/7045/960/4811/22795/1311/7148/1292",14,"Downres_DEq_MS_BDM_vs_B2"
"GO:0008201","GO:0008201","heparin binding","20/360","170/18662",0.117647058823529,6.09869281045752,9.36614326966678,1.13103887706272e-10,1.56346952277067e-08,1.31709282438327e-08,"27329/3491/338/8828/7060/7057/8829/10631/5118/11167/7059/1490/7049/1311/3918/7148/26279/5270/566/2247",20,"Downres_DEq_MS_BDM_vs_B2"
"GO:0005178","GO:0005178","integrin binding","19/360","152/18662",0.125,6.47986111111111,9.51387776333791,1.15641236891322e-10,1.56346952277067e-08,1.31709282438327e-08,"27329/3675/4240/3491/7060/3673/7057/3912/8754/7045/11093/79987/977/1490/83706/1311/7148/2247/7106",19,"Downres_DEq_MS_BDM_vs_B2"
"GO:1901681","GO:1901681","sulfur compound binding","23/360","266/18662",0.0864661654135338,4.48230994152047,8.02261538200144,2.20390717918708e-09,2.48306875521744e-07,2.09177856831616e-07,"27329/3491/2950/338/8828/7060/7057/8829/10631/5118/11167/1755/7059/1490/7049/1311/3918/7148/26279/5270/24140/566/2247",23,"Downres_DEq_MS_BDM_vs_B2"
"GO:0050840","GO:0050840","extracellular matrix binding","11/360","66/18662",0.166666666666667,8.63981481481481,8.7199593817008,4.91712588892485e-08,4.74853871559028e-06,4.00024827956142e-06,"3675/3491/3673/7057/8754/7045/59277/4811/7148/4052/633",11,"Downres_DEq_MS_BDM_vs_B2"
"GO:0055102","GO:0055102","lipase inhibitor activity","6/360","20/18662",0.3,15.5516666666667,9.13168485690075,1.5244221530016e-06,0.000128813671928635,0.000108514787470246,"27329/306/301/51129/336/653145",6,"Downres_DEq_MS_BDM_vs_B2"
"GO:0017116","GO:0017116","single-stranded DNA helicase activity","6/360","23/18662",0.260869565217391,13.5231884057971,8.42824127316618,3.78049662030727e-06,0.000283957301703079,0.000239210370945758,"4175/4171/4174/4172/4173/4176",6,"Downres_DEq_MS_BDM_vs_B2"
"GO:0043236","GO:0043236","laminin binding","6/360","28/18662",0.214285714285714,11.1083333333333,7.50714762591368,1.30046684818668e-05,0.000807360451681744,0.000680133921457215,"3675/3673/7057/8754/59277/4811",6,"Downres_DEq_MS_BDM_vs_B2"
