"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0003725","GO:0003725","double-stranded RNA binding","16/623","77/18662",0.207792207792208,6.22442725813512,8.53705377485478,4.05516398369444e-09,2.84378471200721e-06,2.52061043470658e-06,"23586/55601/64135/8638/7098/5610/4938/4939/4940/7431/103/6520/79132/91351/79693/9188",16,"Downres_DEq_MS_BD_vs_B1"
"GO:0005178","GO:0005178","integrin binding","22/623","152/18662",0.144736842105263,4.33560023654642,7.67357657009002,7.07409132340103e-09,2.84378471200721e-06,2.52061043470658e-06,"9636/3678/27329/3675/4240/3371/102/7060/3491/11093/7057/3912/6868/1311/6376/8751/7148/7106/7045/79987/3684/83706",22,"Downres_DEq_MS_BD_vs_B1"
"GO:0120545","GO:0120545","nucleic acid conformation isomerase activity","21/623","161/18662",0.130434782608696,3.90718124084025,6.8848216517002,9.84637777625749e-08,2.20664977312364e-05,1.95588098508079e-05,"23586/55601/64135/57169/85441/2332/79132/89797/57062/91351/55661/2071/79039/9188/4171/4174/4173/4175/79009/4172/317781",21,"Downres_DEq_MS_BD_vs_B1"
"GO:0004386","GO:0004386","helicase activity","20/623","148/18662",0.135135135135135,4.0479805648345,6.91828058799258,1.09783570802171e-07,2.20664977312364e-05,1.95588098508079e-05,"23586/55601/64135/57169/85441/79132/89797/57062/91351/55661/2071/79039/9188/4171/4174/4173/4175/79009/4172/317781",20,"Downres_DEq_MS_BD_vs_B1"
"GO:0042605","GO:0042605","peptide antigen binding","11/623","45/18662",0.244444444444444,7.32234706616729,7.89105355413778,1.89856199441927e-07,2.54825278741021e-05,2.25866344210096e-05,"6891/6890/3105/3106/3134/567/3107/6892/3133/3136/8140",11,"Downres_DEq_MS_BD_vs_B1"
"GO:0043236","GO:0043236","laminin binding","9/623","28/18662",0.321428571428571,9.62841091492777,8.49106254926376,1.90168118463448e-07,2.54825278741021e-05,2.25866344210096e-05,"43/3675/3958/57211/7057/1520/59277/4811/79147",9,"Downres_DEq_MS_BD_vs_B1"
"GO:0005518","GO:0005518","collagen binding","13/623","72/18662",0.180555555555556,5.4085518102372,6.96510636368604,6.54935767736378e-07,7.52240510371497e-05,6.66754157530117e-05,"43/3675/57211/9902/7057/1520/1311/1291/7148/4811/5118/7045/4318",13,"Downres_DEq_MS_BD_vs_B1"
"GO:0050840","GO:0050840","extracellular matrix binding","12/623","66/18662",0.181818181818182,5.44637385086823,6.72470790225981,1.63141013594652e-06,0.000149931892991495,0.00013289328561828,"43/3675/3958/57211/3491/7057/1520/59277/7148/4811/79147/7045",12,"Downres_DEq_MS_BD_vs_B1"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","20/623","175/18662",0.114285714285714,3.42343499197432,5.98580312417485,1.67834208572569e-06,0.000149931892991495,0.00013289328561828,"2331/4240/3371/4969/3491/7057/3912/1311/7059/1291/1293/7148/10631/4811/5118/7045/1303/4147/79875/1306",20,"Downres_DEq_MS_BD_vs_B1"
"GO:0005539","GO:0005539","glycosaminoglycan binding","23/623","240/18662",0.0958333333333333,2.87069288389513,5.42057024184219,6.02943157191966e-06,0.00048476629838234,0.000429676334125222,"27329/4353/7060/3491/7057/4057/1755/89797/1311/7048/7059/7097/4192/7148/55959/3098/10631/5118/566/7049/3512/8828/9388",23,"Downres_DEq_MS_BD_vs_B1"
