"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005539","GO:0005539","glycosaminoglycan binding","32/339","240/18662",0.133333333333333,7.34001966568338,13.4461159380172,9.94381372585658e-19,6.39387222572578e-16,5.43246244602059e-16,"7057/7060/348/4057/338/2335/5792/375790/27329/64093/3698/3098/8829/4353/3491/1755/55959/633/1311/9388/10631/566/7048/5802/3512/1490/4192/4023/26279/7049/6288/2135",32,"Downres_DEq_MS_BD_vs_D"
"GO:0008201","GO:0008201","heparin binding","23/339","170/18662",0.135294117647059,7.4479611313552,11.487458194498,6.31649284944743e-14,2.03075245109735e-11,1.72539988887538e-11,"7057/7060/348/4057/338/2335/5792/27329/64093/8829/4353/3491/1311/9388/10631/566/5802/1490/4192/4023/26279/7049/6288",23,"Downres_DEq_MS_BD_vs_D"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","22/339","175/18662",0.125714285714286,6.92058997050148,10.7033518852109,1.02991490817789e-12,2.20745095319461e-10,1.87552925383974e-10,"7057/2266/2244/2243/2335/4240/375790/3339/1291/4969/4811/10216/3911/3915/3491/633/1311/4148/1303/10631/2331/64856",22,"Downres_DEq_MS_BD_vs_D"
"GO:1901681","GO:1901681","sulfur compound binding","26/339","266/18662",0.0977443609022556,5.38084148424158,9.78826394111874,3.22454444206354e-12,5.18345519061715e-10,4.40404885639731e-10,"7057/7060/348/4057/338/2335/5792/375790/27329/64093/8829/4353/2950/3491/1755/1311/9388/10631/566/5802/1490/4192/4023/26279/7049/6288",26,"Downres_DEq_MS_BD_vs_D"
"GO:0043394","GO:0043394","proteoglycan binding","11/339","37/18662",0.297297297297297,16.3662600653751,12.7259412853624,3.39111692638588e-11,4.36097636733224e-09,3.70524144167215e-09,"7057/348/2335/5792/375790/4811/1311/566/5802/4023/26279",11,"Downres_DEq_MS_BD_vs_D"
"GO:0005178","GO:0005178","integrin binding","17/339","152/18662",0.111842105263158,6.15692439062257,8.68317118993978,2.54746456151221e-09,2.73003285508726e-07,2.31953352179796e-07,"7057/7060/2335/4240/3675/83706/27329/3339/9636/3911/3491/6868/7106/11093/1311/3481/1490",17,"Downres_DEq_MS_BD_vs_D"
"GO:0042605","GO:0042605","peptide antigen binding","10/339","45/18662",0.222222222222222,12.2333661094723,10.2619604271304,6.21937671628992e-09,5.71294175510631e-07,4.85391957256311e-07,"6890/6891/3105/3134/3133/3106/6892/3107/567/3122",10,"Downres_DEq_MS_BD_vs_D"
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","7/339","19/18662",0.368421052631579,20.2816332867567,11.4375165179178,2.56288633689915e-08,1.90232726169093e-06,1.61628525631103e-06,"348/375790/1311/566/5802/4023/26279",7,"Downres_DEq_MS_BD_vs_D"
"GO:0050840","GO:0050840","extracellular matrix binding","11/339","66/18662",0.166666666666667,9.17502458210423,9.04941033005355,2.66266646270893e-08,1.90232726169093e-06,1.61628525631103e-06,"7057/375790/3675/64093/4811/3958/3491/43/633/59277/64856",11,"Downres_DEq_MS_BD_vs_D"
"GO:0043236","GO:0043236","laminin binding","7/339","28/18662",0.25,13.7625368731563,9.19246520527987,5.2315499528251e-07,3.36388661966654e-05,2.85807834264866e-05,"7057/375790/3675/4811/3958/43/59277",7,"Downres_DEq_MS_BD_vs_D"
"GO:0003823","GO:0003823","antigen binding","15/339","178/18662",0.0842696629213483,4.63905737297405,6.63544324160784,9.34136723883038e-07,5.46045375869812e-05,4.63939674349566e-05,"6890/6891/3105/3134/3133/3106/6892/3107/958/7106/10417/567/3512/100423062/3122",15,"Downres_DEq_MS_BD_vs_D"
"GO:0017116","GO:0017116","single-stranded DNA helicase activity","6/339","23/18662",0.260869565217391,14.3609080415544,8.72082563975296,2.67300204706982e-06,0.000143228359688825,0.00012169193530081,"4174/4176/4173/4171/4172/4175",6,"Downres_DEq_MS_BD_vs_D"
"GO:0005518","GO:0005518","collagen binding","9/339","72/18662",0.125,6.88126843657817,6.80090283770673,6.02625862925905e-06,0.000298068022970274,0.000253249249278174,"7057/2335/3675/3339/1291/4811/43/1311/9902",9,"Downres_DEq_MS_BD_vs_D"
"GO:0003725","GO:0003725","double-stranded RNA binding","9/339","77/18662",0.116883116883117,6.43443282381335,6.49961031627173,1.05484681423068e-05,0.000484476072535947,0.000411628192921596,"7431/64135/23586/4939/6520/8638/4940/79132/7098",9,"Downres_DEq_MS_BD_vs_D"
