"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","18/125","175/18662",0.102857142857143,15.35616,15.6684787026971,1.30307858633103e-16,2.24198340726337e-14,1.8958526356157e-14,"2243/2335/7057/2266/2244/80781/3339/1291/4969/3915/3911/4811/64856/3918/1311/4148/3909/633",18,"Downres_DEq_MS_BM2_vs_D"
"GO:0005539","GO:0005539","glycosaminoglycan binding","20/125","240/18662",0.0833333333333333,12.4413333333333,14.6492910782198,1.49465560484225e-16,2.24198340726337e-14,1.8958526356157e-14,"2335/7057/7060/4057/11167/5792/348/5046/116519/3273/3698/3098/3990/1755/4353/6288/3918/1311/633/3512",20,"Downres_DEq_MS_BM2_vs_D"
"GO:0008201","GO:0008201","heparin binding","15/125","170/18662",0.0882352941176471,13.1731764705882,13.0930001896752,5.03309567928931e-13,5.03309567928931e-11,4.2560563463464e-11,"2335/7057/7060/4057/11167/5792/348/5046/116519/3273/3990/4353/6288/3918/1311",15,"Downres_DEq_MS_BM2_vs_D"
"GO:1901681","GO:1901681","sulfur compound binding","17/125","266/18662",0.0639097744360902,9.54147368421052,11.5216495956291,2.50634147638299e-12,1.87975610728724e-10,1.58954814686395e-10,"2335/7057/7060/4057/11167/5792/348/5046/116519/3273/27232/3990/1755/4353/6288/3918/1311",17,"Downres_DEq_MS_BM2_vs_D"
"GO:0043394","GO:0043394","proteoglycan binding","7/125","37/18662",0.189189189189189,28.2451891891892,13.6221383653513,4.44908471332047e-09,2.66945082799228e-07,2.2573250861268e-07,"2335/7057/5792/348/3273/4811/1311",7,"Downres_DEq_MS_BM2_vs_D"
"GO:0050840","GO:0050840","extracellular matrix binding","6/125","66/18662",0.0909090909090909,13.5723636363636,8.40198439948539,5.23562959049629e-06,0.000261781479524814,0.000221366093212211,"7057/4059/2817/4811/64856/633",6,"Downres_DEq_MS_BM2_vs_D"
"GO:0005178","GO:0005178","integrin binding","8/125","152/18662",0.0526315789473684,7.85768421052631,6.9710597472559,8.46950969951031e-06,0.00032673917485617,0.000276295232071358,"2335/7057/7060/3339/3911/83706/3084/1311",8,"Downres_DEq_MS_BM2_vs_D"
"GO:0005518","GO:0005518","collagen binding","6/125","72/18662",0.0833333333333333,12.4413333333333,7.98740912095243,8.71304466283121e-06,0.00032673917485617,0.000276295232071358,"2335/7057/3339/1291/4811/1311",6,"Downres_DEq_MS_BM2_vs_D"
"GO:0050750","GO:0050750","low-density lipoprotein particle receptor binding","4/125","26/18662",0.153846153846154,22.9686153846154,9.20482945886756,2.55821621733583e-05,0.000799457649318548,0.000676032608722,"348/3339/116519/1601",4,"Downres_DEq_MS_BM2_vs_D"
"GO:0030414","GO:0030414","peptidase inhibitor activity","8/125","178/18662",0.0449438202247191,6.70993258426966,6.28558552311884,2.66485883106183e-05,0.000799457649318548,0.000676032608722,"7057/4057/718/3273/3698/727/2719/197",8,"Downres_DEq_MS_BM2_vs_D"
"GO:0061134","GO:0061134","peptidase regulator activity","9/125","237/18662",0.0379746835443038,5.66946835443038,5.94074073260127,3.14515247769842e-05,0.000857768857554116,0.000725341384808919,"2335/7057/4057/718/3273/3698/727/2719/197",9,"Downres_DEq_MS_BM2_vs_D"
"GO:0043236","GO:0043236","laminin binding","4/125","28/18662",0.142857142857143,21.328,8.83941166457482,3.46752665049479e-05,0.000866881662623696,0.000733047300674775,"7057/4059/2817/4811",4,"Downres_DEq_MS_BM2_vs_D"
"GO:0070325","GO:0070325","lipoprotein particle receptor binding","4/125","31/18662",0.129032258064516,19.264,8.35721163947562,5.24658176357873e-05,0.00121074963774894,0.00102382688665787,"348/3339/116519/1601",4,"Downres_DEq_MS_BM2_vs_D"
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","7/125","170/18662",0.0411764705882353,6.14748235294118,5.53643394443882,0.000148885477027792,0.00319040307916697,0.00269784962133067,"7057/4057/718/3273/3698/727/197",7,"Downres_DEq_MS_BM2_vs_D"
"GO:0005001","GO:0005001","transmembrane receptor protein tyrosine phosphatase activity","3/125","17/18662",0.176470588235294,26.3463529411765,8.58541875573156,0.000186254988662661,0.00349228103742489,0.00295312185971719,"5792/5789/5793",3,"Downres_DEq_MS_BM2_vs_D"
"GO:0019198","GO:0019198","transmembrane receptor protein phosphatase activity","3/125","17/18662",0.176470588235294,26.3463529411765,8.58541875573156,0.000186254988662661,0.00349228103742489,0.00295312185971719,"5792/5789/5793",3,"Downres_DEq_MS_BM2_vs_D"
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","3/125","19/18662",0.157894736842105,23.5730526315789,8.08373248273785,0.000262827513311526,0.00463813258785046,0.00392207001288408,"348/3273/1311",3,"Downres_DEq_MS_BM2_vs_D"
"GO:0061135","GO:0061135","endopeptidase regulator activity","7/125","199/18662",0.0351758793969849,5.25161809045226,4.95144988306143,0.000389416700915072,0.00649027834858453,0.00548827046318902,"7057/4057/718/3273/3698/727/197",7,"Downres_DEq_MS_BM2_vs_D"
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","3/125","22/18662",0.136363636363636,20.3585454545455,7.46042977882334,0.000411618165793981,0.00649923419674707,0.00549584365409138,"3339/4969/633",3,"Downres_DEq_MS_BM2_vs_D"
"GO:0071813","GO:0071813","lipoprotein particle binding","3/125","32/18662",0.09375,13.9965,6.04223637149473,0.00126256085706436,0.018036583672348,0.0152519882983714,"7057/348/3990",3,"Downres_DEq_MS_BM2_vs_D"
"GO:0071814","GO:0071814","protein-lipid complex binding","3/125","32/18662",0.09375,13.9965,6.04223637149473,0.00126256085706436,0.018036583672348,0.0152519882983714,"7057/348/3990",3,"Downres_DEq_MS_BM2_vs_D"
"GO:0005319","GO:0005319","lipid transporter activity","6/125","184/18662",0.0326086956521739,4.86834782608696,4.33021724497217,0.00150672265615377,0.0205462180384605,0.0173741703412946,"348/116519/51499/55937/256987/10864",6,"Downres_DEq_MS_BM2_vs_D"
"GO:0016209","GO:0016209","antioxidant activity","4/125","77/18662",0.051948051948052,7.75563636363636,4.8779021317538,0.00178011861097659,0.0222514826372073,0.0188161660195332,"348/4353/3040/55937",4,"Downres_DEq_MS_BM2_vs_D"
"GO:0042379","GO:0042379","chemokine receptor binding","4/125","77/18662",0.051948051948052,7.75563636363636,4.8779021317538,0.00178011861097659,0.0222514826372073,0.0188161660195332,"718/727/1672/6360",4,"Downres_DEq_MS_BM2_vs_D"
"GO:0004869","GO:0004869","cysteine-type endopeptidase inhibitor activity","3/125","38/18662",0.0789473684210526,11.7865263157895,5.46562287304404,0.00208552709809191,0.0250263251771029,0.0211626118164274,"4057/3273/197",3,"Downres_DEq_MS_BM2_vs_D"
"GO:0048306","GO:0048306","calcium-dependent protein binding","4/125","82/18662",0.0487804878048781,7.28273170731707,4.68204219941135,0.00224247873653986,0.025874754652383,0.0218800556885063,"1755/5648/6286/6283",4,"Downres_DEq_MS_BM2_vs_D"
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity","2/125","12/18662",0.166666666666667,24.8826666666667,6.79574008413441,0.00281125340408775,0.0312361489343083,0.0264137259409414,"79026/3915",2,"Downres_DEq_MS_BM2_vs_D"
"GO:0008375","GO:0008375","acetylglucosaminyltransferase activity","3/125","44/18662",0.0681818181818182,10.1792727272727,5.00576937163443,0.00318002251241685,0.0340716697758948,0.0288114821613707,"11041/2131/5986",3,"Downres_DEq_MS_BM2_vs_D"
