"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0020037","GO:0020037","heme binding","16/144","142/18662",0.112676056338028,14.6025039123631,14.3480936651981,1.60385259499167e-14,6.1427554388181e-12,4.9466190561322e-12,"3273/1576/1559/3043/51302/1536/1548/1557/1558/1579/1535/6916/1555/1549/3040/1581",16,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0046906","GO:0046906","tetrapyrrole binding","16/144","152/18662",0.105263157894737,13.6418128654971,13.8000164615444,4.7401267576587e-14,9.07734274091641e-12,7.30977442102105e-12,"3273/1576/1559/3043/51302/1536/1548/1557/1558/1579/1535/6916/1555/1549/3040/1581",16,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0016712","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","10/144","46/18662",0.217391304347826,28.173309178744,16.2715874097324,1.75437932835192e-12,2.23975760919595e-10,1.80362506388461e-10,"1576/1559/51302/1548/1557/1558/1579/1555/1549/1581",10,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0004497","GO:0004497","monooxygenase activity","13/144","109/18662",0.119266055045872,15.4565494393476,13.34819323416,2.46345926030901e-12,2.35876224174588e-10,1.89945674544879e-10,"1576/6718/1559/51302/1548/1557/2329/1558/1579/6916/1555/1549/1581",13,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0005506","GO:0005506","iron ion binding","14/144","154/18662",0.0909090909090909,11.7815656565657,11.8471560658792,1.46314931128176e-11,1.12077237244183e-09,9.02532101485382e-10,"8424/1576/7018/1559/51302/1548/1557/1558/1579/6916/1555/1549/3040/1581",14,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0016705","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","14/144","183/18662",0.0765027322404372,9.9145415907711,10.6865369139068,1.49573969162216e-10,9.54780503152149e-09,7.68862683588236e-09,"8424/1576/6718/1559/51302/1548/1557/2329/1558/1579/6916/1555/1549/1581",14,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0008392","GO:0008392","arachidonate epoxygenase activity","6/144","15/18662",0.4,51.8388888888889,17.3695615912828,8.98463406473542e-10,4.91587835256238e-08,3.95864327965034e-08,"1559/1548/1558/1579/1555/1549",6,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0008395","GO:0008395","steroid hydroxylase activity","7/144","27/18662",0.259259259259259,33.5992798353909,14.9477853282717,1.09767088218448e-09,5.25509934845822e-08,4.23181011157966e-08,"1576/1559/51302/1557/1558/1555/1581",7,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0008391","GO:0008391","arachidonate monooxygenase activity","6/144","17/18662",0.352941176470588,45.7401960784314,16.273943825025,2.1935952081617e-09,9.33496627473256e-08,7.51723270165354e-08,"1559/1548/1558/1579/1555/1549",6,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0019825","GO:0019825","oxygen binding","5/144","33/18662",0.151515151515152,19.6359427609428,9.44855138029872,5.08797173261102e-06,0.000194869317359002,0.000156923759753161,"1576/3043/1557/1549/3040",5,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","9/144","170/18662",0.0529411764705882,6.86102941176471,6.76952321107536,6.93910297358371e-06,0.000241606948989324,0.000194560494857419,"3273/718/6653/6694/3827/3697/197/26998/4018",9,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0030414","GO:0030414","peptidase inhibitor activity","9/144","178/18662",0.050561797752809,6.55266853932584,6.56395255605775,1.00624233795384e-05,0.000321159012863601,0.000258621934228488,"3273/718/6653/6694/3827/3697/197/26998/4018",9,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0005319","GO:0005319","lipid transporter activity","9/144","184/18662",0.0489130434782609,6.33899456521739,6.41789446731628,1.31305734637798e-05,0.000386846895125204,0.000311518868411941,"116519/5244/6342/10599/8647/7274/346/51499/10864",9,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0061135","GO:0061135","endopeptidase regulator activity","9/144","199/18662",0.0452261306532663,5.86118090452261,6.07951380854763,2.44808169052265e-05,0.00066972520533584,0.000539314237085066,"3273/718/6653/6694/3827/3697/197/26998/4018",9,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0001848","GO:0001848","complement binding","4/144","25/18662",0.16,20.7355555555556,8.70729023171707,3.79146684349136e-05,0.00096808786737146,0.000779578796591557,"10878/731/1401/3689",4,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:1901681","GO:1901681","sulfur compound binding","10/144","266/18662",0.037593984962406,4.87207602339181,5.60886072435579,4.20260098738555e-05,0.00100599761135542,0.000810106637699978,"116519/3273/5046/2944/6342/3827/27232/283/6288/4018",10,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0004857","GO:0004857","enzyme inhibitor activity","13/144","451/18662",0.0288248337028825,3.73561837891106,5.18595267421859,4.80841596984824e-05,0.00108330783320699,0.000872362773477112,"3273/718/6653/6694/3827/3697/5502/7009/197/344/26998/6167/4018",13,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0016725","GO:0016725","oxidoreductase activity, acting on CH or CH2 groups","3/144","12/18662",0.25,32.3993055555556,9.59451244777454,9.40631826411005e-05,0.00191431211914119,0.00154155132859246,"1576/1559/1558",3,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0061134","GO:0061134","peptidase regulator activity","9/144","237/18662",0.0379746835443038,4.9214135021097,5.35753142613298,9.49658753620954e-05,0.00191431211914119,0.00154155132859246,"3273/718/6653/6694/3827/3697/197/26998/4018",9,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0016709","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","4/144","35/18662",0.114285714285714,14.8111111111111,7.21178625837072,0.000147811991713889,0.00283059964132098,0.00227941650379839,"1576/6718/2329/1555",4,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0016229","GO:0016229","steroid dehydrogenase activity","4/144","36/18662",0.111111111111111,14.3996913580247,7.09639708509758,0.000165296880138652,0.00301470024252875,0.00242766846519424,"3290/6718/51171/345275",4,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0004869","GO:0004869","cysteine-type endopeptidase inhibitor activity","4/144","38/18662",0.105263157894737,13.6418128654971,6.87885787749212,0.000204674517153651,0.0035631972759022,0.00286936045579042,"3273/3827/197/26998",4,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0008201","GO:0008201","heparin binding","7/144","170/18662",0.0411764705882353,5.33635620915033,5.00851675482299,0.000355096706696259,0.00591313211585509,0.00476170869848988,"116519/3273/5046/3827/283/6288/4018",7,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0001846","GO:0001846","opsonin binding","3/144","21/18662",0.142857142857143,18.5138888888889,7.08123972251144,0.000540420711680883,0.00855547492644669,0.00688952632526832,"10878/1401/3689",3,"Downres_DEq_MS_CTRL.myr_vs_HDV"
"GO:0005539","GO:0005539","glycosaminoglycan binding","8/144","240/18662",0.0333333333333333,4.31990740740741,4.56472759679744,0.00055845136595605,0.00855547492644669,0.00688952632526832,"116519/3273/5046/3827/3697/283/6288/4018",8,"Downres_DEq_MS_CTRL.myr_vs_HDV"
