"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0030280","GO:0030280","structural constituent of skin epidermis","6/51","62/18662",0.0967741935483871,35.4117647058824,14.2073803508394,1.6818562657033e-08,2.27050595869945e-06,1.69956001586859e-06,"3858/3848/3849/2312/374454/3852",6,"Upres_DEq_MS_B1_vs_BT"
"GO:0022853","GO:0022853","active monoatomic ion transmembrane transporter activity","5/51","118/18662",0.0423728813559322,15.5051512130276,8.27426154998724,1.72826043990299e-05,0.00116657579693452,0.000873226327529932,"1329/9296/9377/4707/4717",5,"Upres_DEq_MS_B1_vs_BT"
"GO:0015453","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","4/51","68/18662",0.0588235294117647,21.5247981545559,8.87594551866208,3.54092397940281e-05,0.00159341579073126,0.00119273228779884,"1329/9377/4707/4717",4,"Upres_DEq_MS_B1_vs_BT"
"GO:0015399","GO:0015399","primary active transmembrane transporter activity","5/51","167/18662",0.029940119760479,10.9557355876482,6.76506714479263,9.10215023102179e-05,0.0030633639316932,0.00229304434653058,"1329/9296/9377/4707/4717",5,"Upres_DEq_MS_B1_vs_BT"
"GO:0003735","GO:0003735","structural constituent of ribosome","5/51","175/18662",0.0285714285714286,10.4549019607843,6.57825225994326,0.000113457923396044,0.0030633639316932,0.00229304434653058,"6129/6143/285855/6137/6132",5,"Upres_DEq_MS_B1_vs_BT"
"GO:0015078","GO:0015078","proton transmembrane transporter activity","5/51","186/18662",0.0268817204301075,9.83660130718954,6.34023632536596,0.000150974556882133,0.003396927529848,0.00254272937906751,"1329/9296/9377/4707/4717",5,"Upres_DEq_MS_B1_vs_BT"
"GO:0140104","GO:0140104","molecular carrier activity","4/51","116/18662",0.0344827586206897,12.6179851250845,6.57055980998573,0.000282694129676286,0.00492942284459788,0.00368986037490368,"4706/3043/10204/83460",4,"Upres_DEq_MS_B1_vs_BT"
"GO:0009055","GO:0009055","electron transfer activity","4/51","117/18662",0.0341880341880342,12.5101390983744,6.53774194078442,0.000292113946346541,0.00492942284459788,0.00368986037490368,"1329/9377/4707/4717",4,"Upres_DEq_MS_B1_vs_BT"
"GO:0004129","GO:0004129","cytochrome-c oxidase activity","2/51","15/18662",0.133333333333333,48.7895424836601,9.69263161247147,0.000751544416637496,0.0112731662495624,0.00843839344996488,"1329/9377",2,"Upres_DEq_MS_B1_vs_BT"
"GO:0033293","GO:0033293","monocarboxylic acid binding","3/51","79/18662",0.0379746835443038,13.8957557706627,6.012708115031,0.00131359167073053,0.0177334875548622,0.0132741895147506,"4706/5660/341",3,"Upres_DEq_MS_B1_vs_BT"
