"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0016705","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","26/339","183/18662",0.14207650273224,7.82133243064623,12.6131784989159,4.11815339447694e-16,2.48324649686959e-13,2.10242568033823e-13,"1559/9415/1558/1576/3992/6718/5053/1579/1109/1548/8424/1555/2330/1571/9420/1595/5264/6319/2329/1562/254295/2326/1557/51302/5066/284541",26,"Upres_DEq_MS_BD_vs_BM1"
"GO:0004497","GO:0004497","monooxygenase activity","20/339","109/18662",0.18348623853211,10.1009444940597,12.9616907965446,7.26619176572316e-15,2.19075681736553e-12,1.85479105598723e-12,"1559/1558/1576/6718/5053/1579/1109/1548/1555/2330/1571/9420/1595/2329/1562/2326/1557/51302/5066/284541",20,"Upres_DEq_MS_BD_vs_BM1"
"GO:0016712","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","13/339","46/18662",0.282608695652174,15.5576503783506,13.4460905141567,1.10656158638738e-12,2.22418878863864e-10,1.88309603297502e-10,"1559/1558/1576/1579/1548/1555/1571/9420/1595/1562/1557/51302/284541",13,"Upres_DEq_MS_BD_vs_BM1"
"GO:0005506","GO:0005506","iron ion binding","20/339","154/18662",0.12987012987013,7.14936980423706,10.4227000769163,6.14362954395553e-12,9.26152153751296e-10,7.84121139162745e-10,"7018/316/1559/1558/1576/5053/1579/1548/8424/1555/1571/9420/1595/5264/6319/1562/1557/51302/1036/284541",20,"Upres_DEq_MS_BD_vs_BM1"
"GO:0008391","GO:0008391","arachidonate monooxygenase activity","8/339","17/18662",0.470588235294118,25.9059517612355,13.9738289924365,2.30211927421498e-10,2.77635584470326e-08,2.35058494314582e-08,"1559/1558/1579/1548/1555/1571/1562/284541",8,"Upres_DEq_MS_BD_vs_BM1"
"GO:0008392","GO:0008392","arachidonate epoxygenase activity","7/339","15/18662",0.466666666666667,25.6900688298918,13.0116526006584,3.48466778105292e-09,3.50209111995819e-07,2.96502434001872e-07,"1559/1558/1579/1548/1555/1571/1562",7,"Upres_DEq_MS_BD_vs_BM1"
"GO:0016709","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","9/339","35/18662",0.257142857142857,14.1557522123894,10.5961296769102,9.02371658382276e-09,7.77328728577875e-07,6.58120683181058e-07,"1576/6718/1109/1555/2330/1571/1595/2329/2326",9,"Upres_DEq_MS_BD_vs_BM1"
"GO:0020037","GO:0020037","heme binding","15/339","142/18662",0.105633802816901,5.81515642527733,7.83435227605707,4.84247887256981e-08,3.6500184501995e-06,3.09026612262679e-06,"3273/1559/1558/1576/1579/1548/1555/1571/9420/1595/1562/1557/51302/3043/284541",15,"Upres_DEq_MS_BD_vs_BM1"
"GO:0046906","GO:0046906","tetrapyrrole binding","15/339","152/18662",0.0986842105263158,5.43258034466698,7.46352884597151,1.20205158880868e-07,8.05374564501813e-06,6.81865521137085e-06,"3273/1559/1558/1576/1579/1548/1555/1571/9420/1595/1562/1557/51302/3043/284541",15,"Upres_DEq_MS_BD_vs_BM1"
"GO:0008395","GO:0008395","steroid hydroxylase activity","7/339","27/18662",0.259259259259259,14.272260461051,9.38709243007842,3.98546349602402e-07,2.40323448810249e-05,2.03468399533858e-05,"1559/1558/1576/1555/9420/1557/51302",7,"Upres_DEq_MS_BD_vs_BM1"
"GO:0019842","GO:0019842","vitamin binding","14/339","150/18662",0.0933333333333333,5.13801376597837,6.9211761820351,6.30728374354901e-07,3.45753827032732e-05,2.92730393839356e-05,"2194/1644/27232/10841/32/55753/7274/5264/1491/6470/2638/1719/173/5066",14,"Upres_DEq_MS_BD_vs_BM1"
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","12/339","122/18662",0.0983606557377049,5.414768605832,6.6542943947741,2.30733819449758e-06,0.000115943744273504,9.81630723097657e-05,"2194/126/80270/6718/3248/1109/125/26227/130/3939/51171/284541",12,"Upres_DEq_MS_BD_vs_BM1"
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","12/339","132/18662",0.0909090909090909,5.00455886296594,6.28019244958415,5.27566601788307e-06,0.000244709739137191,0.000207182025803505,"2194/126/80270/6718/3248/1109/125/26227/130/3939/51171/284541",12,"Upres_DEq_MS_BD_vs_BM1"
"GO:0048029","GO:0048029","monosaccharide binding","8/339","73/18662",0.10958904109589,6.03289287590415,5.86030362661801,5.25409616944541e-05,0.00226301427869685,0.00191596740013611,"229/5313/5264/3795/5211/2645/1203/5066",8,"Upres_DEq_MS_BD_vs_BM1"
"GO:0050661","GO:0050661","NADP binding","7/339","56/18662",0.125,6.88126843657817,5.99525309741706,6.62500350324041e-05,0.00266325140830264,0.00225482575373445,"1806/554235/1428/2330/2329/2326/1719",7,"Upres_DEq_MS_BD_vs_BM1"
"GO:1901474","GO:1901474","azole transmembrane transporter activity","4/339","14/18662",0.285714285714286,15.7286135693215,7.49857552787636,9.27160151834892e-05,0.00339371101839547,0.00287326498022484,"6580/10991/9154/55244",4,"Upres_DEq_MS_BD_vs_BM1"
"GO:0016829","GO:0016829","lyase activity","13/339","204/18662",0.0637254901960784,3.50809763433397,4.89932462262468,9.56767617126416e-05,0.00339371101839547,0.00287326498022484,"2194/48/230/1644/229/10841/130013/26007/1491/6470/2948/1652/5066",13,"Upres_DEq_MS_BD_vs_BM1"
"GO:1901681","GO:1901681","sulfur compound binding","15/339","266/18662",0.056390977443609,3.10433162552399,4.70178011333322,0.000112827483667826,0.00377972070287218,0.0032000777531518,"3273/27232/32/5046/6342/11167/2944/3827/55753/116519/350/2948/283/4018/3918",15,"Upres_DEq_MS_BD_vs_BM1"
"GO:0016741","GO:0016741","transferase activity, transferring one-carbon groups","13/339","214/18662",0.0607476635514019,3.34416783833705,4.69126493060133,0.000154447880008707,0.00490168798132896,0.00414998458749157,"635/27232/10841/57412/80854/3176/23743/2628/25840/6470/10400/79609/51409",13,"Upres_DEq_MS_BD_vs_BM1"
"GO:0140359","GO:0140359","ABC-type transporter activity","6/339","49/18662",0.122448979591837,6.74083438685209,5.47310631620049,0.000248859181165599,0.00750310431214282,0.00635245804554293,"23460/79572/5244/10351/10060/20",6,"Upres_DEq_MS_BD_vs_BM1"
