"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","21/134","175/18662",0.12,16.7122388059701,17.7594478631167,5.35930014019814e-20,1.66138304346142e-17,1.42726624786329e-17,"7057/2335/2243/2266/2244/4969/3339/3911/4148/3915/3491/375790/1291/1311/2331/3371/4811/3909/64856/10631/1303",21,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005539","GO:0005539","glycosaminoglycan binding","17/134","240/18662",0.0708333333333333,9.8648631840796,11.754789429867,1.51520758686768e-12,2.34857175964491e-10,2.01761852356591e-10,"7057/2335/3491/5792/11167/375790/1311/3698/4057/960/1755/7060/5621/8829/10631/2135/3512",17,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005518","GO:0005518","collagen binding","11/134","72/18662",0.152777777777778,21.2771558872305,14.6601757874824,3.59302332442862e-12,3.14425738886418e-10,2.70117867362526e-10,"7057/2335/3339/1291/3673/1311/960/9902/3675/4811/4318",11,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0043394","GO:0043394","proteoglycan binding","9/134","37/18662",0.243243243243243,33.8761597418314,17.0231289091199,4.05710630821185e-12,3.14425738886418e-10,2.70117867362526e-10,"7057/2335/5792/375790/3673/1311/6386/3371/4811",9,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005178","GO:0005178","integrin binding","13/134","152/18662",0.0855263157894737,11.9111351139042,11.4866689023622,7.01258402061462e-11,4.34780209278106e-09,3.73512369940105e-09,"7057/2335/3339/3911/3491/3673/1311/977/7060/3675/3371/7106/11093",13,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0008201","GO:0008201","heparin binding","10/134","170/18662",0.0588235294117647,8.19227392449517,8.01132448512508,4.16458209862907e-07,1.91929681926748e-05,1.648835637605e-05,"7057/2335/3491/5792/11167/1311/4057/7060/8829/10631",10,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0050840","GO:0050840","extracellular matrix binding","7/134","66/18662",0.106060606060606,14.7709181365898,9.53082905649197,4.60126171608058e-07,1.91929681926748e-05,1.648835637605e-05,"7057/3491/375790/3673/3675/4811/64856",7,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:1901681","GO:1901681","sulfur compound binding","12/134","266/18662",0.0451127819548872,6.2827965435978,7.37986789119009,4.95302404972253e-07,1.91929681926748e-05,1.648835637605e-05,"7057/2335/3491/5792/11167/375790/1311/4057/1755/7060/8829/10631",12,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0043236","GO:0043236","laminin binding","5/134","28/18662",0.178571428571429,24.8694029850746,10.7491249534076,1.52408195650317e-06,5.24961562795537e-05,4.50985654965266e-05,"7057/375790/3673/3675/4811",5,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0019838","GO:0019838","growth factor binding","7/134","136/18662",0.0514705882352941,7.16823968393327,6.13967595240927,5.68749940261106e-05,0.00176312481480943,0.00151467089353747,"7057/3491/1291/1969/3483/8829/79651",7,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0002020","GO:0002020","protease binding","7/134","139/18662",0.0503597122302158,7.01352947492752,6.0518306332153,6.53159614452463e-05,0.00184072254982058,0.00158133380341123,"7057/2335/5054/1311/3675/5621/3934",7,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0008375","GO:0008375","acetylglucosaminyltransferase activity","4/134","44/18662",0.0909090909090909,12.6607869742198,6.58556849854797,0.000276132109308979,0.00624729185374123,0.00536694342613423,"11041/2131/2132/2135",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0030414","GO:0030414","peptidase inhibitor activity","7/134","178/18662",0.0393258426966292,5.4768572866007,5.10376719349189,0.000302915381409552,0.00624729185374123,0.00536694342613423,"7057/2719/5054/3698/4057/5621/6692",7,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0048306","GO:0048306","calcium-dependent protein binding","5/134","82/18662",0.0609756097560976,8.49199126319621,5.78211757145813,0.000310313638486571,0.00624729185374123,0.00536694342613423,"1755/306/6277/79720/57048",5,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0061134","GO:0061134","peptidase regulator activity","8/134","237/18662",0.0337552742616034,4.70105170350778,4.87642064836718,0.000317231358624248,0.00624729185374123,0.00536694342613423,"7057/2335/2719/5054/3698/4057/5621/6692",8,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","3/134","19/18662",0.157894736842105,21.9897879025923,7.78453248740891,0.000322440869870515,0.00624729185374123,0.00536694342613423,"375790/3673/1311",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","3/134","22/18662",0.136363636363636,18.9911804613297,7.18048254455306,0.000504435114870066,0.00919852268292473,0.00790229622675707,"4969/3339/2331",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0003779","GO:0003779","actin binding","10/134","445/18662",0.0224719101123595,3.1296327352004,3.86680146776467,0.00141255413448739,0.0224097198649944,0.0192518136700971,"1627/22998/6876/2318/23406/4131/1264/4082/80306/29780",10,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","6/134","170/18662",0.0352941176470588,4.9153643546971,4.36124300218064,0.00143679084416801,0.0224097198649944,0.0192518136700971,"7057/5054/3698/4057/5621/6692",6,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","5/134","115/18662",0.0434782608695652,6.05515898767034,4.62436906988941,0.00144578837838674,0.0224097198649944,0.0192518136700971,"375790/3880/10381/10398/440915",5,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0015020","GO:0015020","glucuronosyltransferase activity","3/134","34/18662",0.0882352941176471,12.2884108867428,5.60266605676084,0.00184066851784083,0.0271717733586027,0.0233428137851493,"11041/2131/2132",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005225","GO:0005225","volume-sensitive anion channel activity","2/134","10/18662",0.2,27.8537313432836,7.22349740210906,0.00221760418861832,0.03124805902144,0.0268446822832745,"80727/84230",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0002162","GO:0002162","dystroglycan binding","2/134","11/18662",0.181818181818182,25.3215739484396,6.86187089493883,0.00269767963457382,0.0363600298572993,0.0312362905055916,"375790/4133",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0001540","GO:0001540","amyloid-beta binding","4/134","84/18662",0.0476190476190476,6.6318407960199,4.39942701995856,0.00314681534198423,0.0377430629799305,0.0324244310150167,"3339/3673/7042/5621",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0001530","GO:0001530","lipopolysaccharide binding","3/134","41/18662",0.0731707317073171,10.1903895158355,5.00991008377108,0.00316129758188371,0.0377430629799305,0.0324244310150167,"4057/1755/3929",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0061135","GO:0061135","endopeptidase regulator activity","6/134","199/18662",0.0301507537688442,4.19905497637441,3.85835951114581,0.00316554721767159,0.0377430629799305,0.0324244310150167,"7057/5054/3698/4057/5621/6692",6,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0032036","GO:0032036","myosin heavy chain binding","2/134","13/18662",0.153846153846154,21.4259471871412,6.26515313949142,0.00378998995113862,0.043514699438999,0.0373827468864745,"22998/10398",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
