"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","17/197","73/9521",0.232876712328767,11.2549196856964,12.7842191268963,7.47978928025606e-14,1.89238668790478e-11,1.62193325445552e-11,"126/2944/125/130/1576/2326/1559/1548/1571/2329/7366/1557/1544/1558/2330/1555/1549",17,"Downres_DEq_MS_B2_vs_BD"
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","14/197","68/9521",0.205882352941176,9.9502836667662,10.7660621395474,7.67685476964837e-11,9.71122128360519e-09,8.32332675025034e-09,"126/1562/125/130/1576/1559/1548/7366/1544/157506/1558/8630/1555/1549",14,"Downres_DEq_MS_B2_vs_BD"
"hsa00120","Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","7/197","17/9521",0.411764705882353,19.9005673335324,11.3369581170909,2.38238373972533e-08,2.0091436205017e-06,1.72200368555586e-06,"1109/570/9420/80270/6718/51302/10998",7,"Downres_DEq_MS_B2_vs_BD"
"hsa00980","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","12/197","79/9521",0.151898734177215,7.34125811218917,8.22635473931289,6.70436902219789e-08,4.24051340654016e-06,3.63447373308622e-06,"126/2944/125/130/1576/1559/1548/1571/7366/1544/1555/1549",12,"Downres_DEq_MS_B2_vs_BD"
"hsa05204","Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","11/197","71/9521",0.154929577464789,7.48773861442768,7.97548438629797,1.95037663275997e-07,9.86890576176546e-06,8.45847550207483e-06,"2944/1562/1576/1559/1548/1571/7366/1557/1544/1558/1549",11,"Downres_DEq_MS_B2_vs_BD"
"hsa00620","Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","8/197","47/9521",0.170212765957447,8.22637433848148,7.21860284975716,4.58777537731246e-06,0.000189902409196492,0.000162762206342739,"134526/5313/126/125/10327/130/32/3939",8,"Downres_DEq_MS_B2_vs_BD"
"hsa00140","Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","9/197","64/9521",0.140625,6.79639911167513,6.76272968625115,5.96445285123609e-06,0.000189902409196492,0.000162762206342739,"1109/9420/1576/6718/1571/7366/1544/6716/8630",9,"Downres_DEq_MS_B2_vs_BD"
"hsa00051","Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","7/197","35/9521",0.2,9.66598984771574,7.46553769739676,6.00481926313017e-06,0.000189902409196492,0.000162762206342739,"230/229/26007/3795/5207/5372/51171",7,"Downres_DEq_MS_B2_vs_BD"
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","9/197","67/9521",0.134328358208955,6.49208273354042,6.55718034022307,8.77738581438183e-06,0.000246742067893178,0.000211478535410837,"230/5313/229/126/125/10327/130/3939/2645",9,"Downres_DEq_MS_B2_vs_BD"
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","7/197","39/9521",0.179487179487179,8.67460627359104,6.98053786492192,1.28050946856432e-05,0.000323968895546773,0.000277668368972894,"10840/27232/6470/10841/635/1491/1719",7,"Downres_DEq_MS_B2_vs_BD"
