"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","19/209","89/9521",0.213483146067416,9.72522982635342,12.3891102054058,3.97606097612766e-14,1.02979979281706e-11,9.29142670210884e-12,"3675/3679/7060/3673/7057/3912/3655/5649/1291/80144/960/7059/1311/1293/3918/3914/7148/3909/1292",19,"Downres_DEq_MS_BDM_vs_B2"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","20/209","154/9521",0.12987012987013,5.91623687317467,9.21431454966948,1.31067847288454e-10,1.69732862238548e-08,1.53142432094931e-08,"3675/3679/7060/3673/7057/3912/3655/5649/1291/80144/7059/29780/83706/1311/1293/3918/3914/7148/3909/1292",20,"Downres_DEq_MS_BDM_vs_B2"
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","20/209","203/9521",0.0985221674876847,4.48817969689113,7.52585158403654,1.76434388976897e-08,1.52321689150054e-06,1.3743310299253e-06,"3675/3679/7060/3673/7057/3912/3655/10398/5649/1291/7059/29780/1311/1293/3918/3914/7148/3909/1292/23396",20,"Downres_DEq_MS_BDM_vs_B2"
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","19/209","233/9521",0.0815450643776824,3.71478735856418,6.28525365068025,8.04544852057851e-07,5.20942791707459e-05,4.70023571465376e-05,"7431/3675/3679/2318/7060/3673/7057/3655/10398/27063/1291/7059/4811/1674/22795/1311/1293/1292/633",19,"Downres_DEq_MS_BDM_vs_B2"
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","7/209","36/9521",0.194444444444444,8.85792131844764,7.07636771246576,1.07948970418972e-05,0.000493606958156743,0.000445359661494806,"4175/4171/4174/4172/4173/4176/2237",7,"Downres_DEq_MS_BDM_vs_B2"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","21/209","333/9521",0.0630630630630631,2.87283934652356,5.21173448220611,1.2794219573084e-05,0.000493606958156743,0.000445359661494806,"3675/3679/7060/3673/7057/3912/3655/5649/1291/537/10312/4854/527/7059/1311/1293/3918/3914/7148/3909/1292",21,"Downres_DEq_MS_BDM_vs_B2"
"hsa04979","Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","8/209","51/9521",0.156862745098039,7.14588610563843,6.59272165011257,1.33407285988309e-05,0.000493606958156743,0.000445359661494806,"27329/338/51129/336/6272/5360/3931/255738",8,"Downres_DEq_MS_BDM_vs_B2"
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","12/209","159/9521",0.0754716981132075,3.43811501309019,4.64449571011462,0.00019190462980888,0.0062129123900625,0.00560563523915414,"7037/7060/3673/7057/9902/10381/537/10312/527/7059/1311/78989",12,"Downres_DEq_MS_BDM_vs_B2"
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","8/209","76/9521",0.105263157894737,4.7952656761521,4.97643265671243,0.00024701905746288,0.00710865954254289,0.00641382815868531,"51129/2182/729359/10873/336/5360/5467/2170",8,"Downres_DEq_MS_BDM_vs_B2"
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","19/209","362/9521",0.0524861878453039,2.39100954294324,4.04231821706948,0.000376044850058377,0.00973956161651196,0.00878757439083785,"3675/3679/1969/7060/3673/7057/3912/3655/5649/1291/7059/1311/1293/3918/3914/7148/3909/1292/2247",19,"Downres_DEq_MS_BDM_vs_B2"
"hsa00564","Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","9/209","103/9521",0.087378640776699,3.98053607098063,4.55621054649797,0.000419851794373521,0.00988560134024927,0.00891933955511212,"1606/79888/8611/84803/3931/259230/26279/51365/1040",9,"Downres_DEq_MS_BDM_vs_B2"
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","10/209","133/9521",0.075187969924812,3.42518976868007,4.21944316098577,0.000675493438898981,0.0145794000562363,0.0131543459154012,"2629/54/537/10312/967/1201/527/6272/26503/84572",10,"Downres_DEq_MS_BDM_vs_B2"
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","6/209","50/9521",0.12,5.4666028708134,4.74388943206522,0.000739470271758471,0.0147325231065726,0.013292502051043,"3606/7060/7057/7059/7042/1311",6,"Downres_DEq_MS_BDM_vs_B2"
"hsa05230","Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","7/209","71/9521",0.0985915492957746,4.49134038681852,4.42359741846933,0.000898534100880777,0.0166228808662944,0.0149980879996641,"80201/2744/2539/5213/3098/8140/6513",7,"Downres_DEq_MS_BDM_vs_B2"
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","6/209","59/9521",0.101694915254237,4.63271429729949,4.19310667010001,0.00178062728387245,0.0307454977681976,0.0277402987382234,"2950/2539/6240/2878/2940/221357",6,"Downres_DEq_MS_BDM_vs_B2"
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","8/209","110/9521",0.0727272727272727,3.31309264897782,3.65545648085275,0.00284572183347759,0.0460651221794185,0.041562516252107,"7037/2331/7057/2014/7042/650/4052/57817",8,"Downres_DEq_MS_BDM_vs_B2"
