"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","16/75","154/9521",0.103896103896104,13.1892640692641,13.5882247437238,3.76203495116795e-14,5.75591347528696e-12,4.71244378093669e-12,"7057/2335/2266/2243/7060/2244/718/83706/1291/3911/3915/29780/3918/3689/1311/3909",16,"Downres_DEq_MS_BM1_vs_D"
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","11/75","89/9521",0.123595505617978,15.6900374531835,12.4062676299809,7.59762051777296e-11,5.81217969609632e-09,4.75850969271044e-09,"7057/2335/7060/3339/1291/3911/6382/3915/3918/1311/3909",11,"Downres_DEq_MS_BM1_vs_D"
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","8/75","50/9521",0.16,20.3114666666667,12.1990911959246,4.16648923181728e-09,2.12490950822681e-07,1.7396919950395e-07,"7057/7060/6382/3040/3689/7042/3043/1311",8,"Downres_DEq_MS_BM1_vs_D"
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","10/75","102/9521",0.0980392156862745,12.4457516339869,10.3554062308098,5.92122393923376e-09,2.26486815675691e-07,1.85427802307583e-07,"2266/727/718/3880/5648/728358/3689/3122/3886/1672",10,"Downres_DEq_MS_BM1_vs_D"
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","9/75","88/9521",0.102272727272727,12.9831818181818,10.0626809474927,2.47720744918636e-08,7.58025479451026e-07,6.20605655690898e-07,"2266/2243/727/2244/718/2162/5648/732/3689",9,"Downres_DEq_MS_BM1_vs_D"
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","8/75","103/9521",0.0776699029126214,9.85993527508091,8.05554547738668,1.32240481313456e-06,3.37213227349314e-05,2.76081004847392e-05,"2335/3911/3915/732/3918/3689/7042/3909",8,"Downres_DEq_MS_BM1_vs_D"
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","10/75","203/9521",0.0492610837438424,6.25353037766831,6.74160105699494,3.85903745515599e-06,8.43475329484095e-05,6.90564597238441e-05,"7057/2335/7060/1291/3911/3915/29780/3918/1311/3909",10,"Downres_DEq_MS_BM1_vs_D"
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","7/75","112/9521",0.0625,7.93416666666667,6.57743686793872,2.65136117621876e-05,0.000507072824951837,0.000415147342065832,"3911/3915/3918/7042/5608/3122/3909",7,"Downres_DEq_MS_BM1_vs_D"
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","8/75","159/9521",0.050314465408805,6.3872536687631,6.10389149186524,3.31331134117284e-05,0.000563262927999383,0.000461150935204173,"7057/7060/718/4353/11151/3689/3122/1311",8,"Downres_DEq_MS_BM1_vs_D"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","9/75","238/9521",0.0378151260504202,4.80050420168067,5.29066977904781,9.77981986403832e-05,0.00149631243919786,0.00122505111981112,"2266/2243/727/2244/718/2162/5648/732/8829",9,"Downres_DEq_MS_BM1_vs_D"
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","8/75","204/9521",0.0392156862745098,4.97830065359477,5.11799399941264,0.000190818973195935,0.00265411844536165,0.00217296246988673,"7057/2335/3339/7078/2719/6382/2817/7042",8,"Downres_DEq_MS_BM1_vs_D"
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","7/75","160/9521",0.04375,5.55391666666667,5.17617657556467,0.000252662764138488,0.00322145024276573,0.00263744464320001,"5792/6382/83692/3689/23308/3122/5802",7,"Downres_DEq_MS_BM1_vs_D"
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","8/75","233/9521",0.0343347639484979,4.35868383404864,4.62499338967636,0.000468666644061081,0.0055158458877958,0.00451589721807843,"7057/2335/7060/3339/1291/6382/4811/1311",8,"Downres_DEq_MS_BM1_vs_D"
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","5/75","93/9521",0.0537634408602151,6.82508960573477,5.02990095103012,0.000803500888836341,0.0087312124399946,0.00714836106198388,"2335/3911/3915/3918/3909",5,"Downres_DEq_MS_BM1_vs_D"
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","7/75","196/9521",0.0357142857142857,4.53380952380952,4.45422229673911,0.000856001219607313,0.0087312124399946,0.00714836106198388,"2266/2243/727/2244/718/4353/3689",7,"Downres_DEq_MS_BM1_vs_D"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","9/75","333/9521",0.027027027027027,3.43099099099099,4.02364918350577,0.00115450966976569,0.0104842858189531,0.00858362581668672,"7057/2335/7060/1291/3911/3915/3918/1311/3909",9,"Downres_DEq_MS_BM1_vs_D"
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","4/75","59/9521",0.0677966101694915,8.60655367231638,5.22212908954738,0.00116492064655034,0.0104842858189531,0.00858362581668672,"6240/2940/2878/221357",4,"Downres_DEq_MS_BM1_vs_D"
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","9/75","362/9521",0.0248618784530387,3.15613259668508,3.7267551163723,0.00205711490031398,0.0174854766526688,0.0143155949203137,"7057/2335/7060/1291/3911/3915/3918/1311/3909",9,"Downres_DEq_MS_BM1_vs_D"
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","4/75","79/9521",0.0506329113924051,6.42767932489451,4.31639185014615,0.00341647366031303,0.0275116036856786,0.022524119976579,"718/3689/7042/3122",4,"Downres_DEq_MS_BM1_vs_D"
"hsa00983","Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","4/75","81/9521",0.0493827160493827,6.26897119341564,4.24333648752221,0.00373869177808357,0.0286009921023393,0.0234160169258918,"6240/4353/2940/221357",4,"Downres_DEq_MS_BM1_vs_D"
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","5/75","142/9521",0.0352112676056338,4.46995305164319,3.71205701726441,0.00514324695709553,0.0374722278302674,0.0306790169370611,"6382/2817/2940/5608/221357",5,"Downres_DEq_MS_BM1_vs_D"
"hsa04382","Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","6/75","217/9521",0.0276497695852535,3.51004608294931,3.33274316389712,0.00712678923367605,0.0495635796705652,0.0405783693209306,"5046/3880/3911/3918/3909/3886",6,"Downres_DEq_MS_BM1_vs_D"
