"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","33/342","183/9521",0.180327868852459,5.02018023200077,10.5993193196278,8.73987018752817e-15,2.63944079663351e-12,2.27236624875732e-12,"6772/23586/64135/6890/4938/5371/6891/4939/3105/5610/10379/6672/4940/684/7098/3106/6773/3107/6892/3678/972/56829/841/3134/567/3133/3665/55080/3459/148022/578/3717/9451",33,"Upres_DEq_MS_B2_vs_BD"
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","28/342","205/9521",0.136585365853659,3.80242476108972,7.82942727534732,9.36622099246573e-10,1.41429936986233e-07,1.21760872902054e-07,"6772/9636/23586/6890/4938/6891/4939/3105/5610/10379/4940/7431/3106/6773/3107/6892/958/841/3134/8737/567/3133/3665/55080/7128/578/5600/10018",28,"Upres_DEq_MS_B2_vs_BD"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","36/342","333/9521",0.108108108108108,3.00964122016754,7.2054978982514,2.61243299841485e-09,2.62984921840428e-07,2.2641085986262e-07,"4599/6772/9636/3105/5610/8638/10379/3675/7098/3106/6773/3107/3678/841/3134/7060/10312/1291/7057/3912/3655/3133/3371/5649/148022/537/527/578/7148/3996/4854/1311/7059/1293/1292/4851",36,"Upres_DEq_MS_B2_vs_BD"
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","23/342","159/9521",0.144654088050314,4.02705138107323,7.42964184857714,1.02890300740747e-08,6.85964075836775e-07,5.90565098402521e-07,"6890/6891/3105/3106/3107/715/3678/3134/7060/10312/7057/3133/4353/9902/83547/1520/537/527/78989/1311/7059/11151/3684",23,"Upres_DEq_MS_B2_vs_BD"
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","24/342","173/9521",0.138728323699422,3.86208295304736,7.33296747916905,1.13570211231254e-08,6.85964075836775e-07,5.90565098402521e-07,"4599/6772/23586/64135/4938/5371/4939/5610/10379/4940/7098/834/6773/103/841/10241/8743/3665/3606/3459/148022/578/7113/3717",24,"Upres_DEq_MS_B2_vs_BD"
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","24/342","189/9521",0.126984126984127,3.53513413162536,6.79482571522568,6.50512074173769e-08,3.27424410667464e-06,2.818885654753e-06,"6772/115361/4938/4939/10379/4940/2633/834/6773/10616/2635/841/8737/2634/55072/3665/8767/3710/3606/5580/7128/148022/114769/5600",24,"Upres_DEq_MS_B2_vs_BD"
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","16/342","89/9521",0.179775280898876,5.00479663578422,7.32668326095311,8.78547880829661e-08,3.7903065715794e-06,3.2631778430816e-06,"3675/3678/7060/1291/7057/3912/3655/3371/5649/80144/961/7148/1311/7059/1293/1292",16,"Upres_DEq_MS_B2_vs_BD"
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","14/342","82/9521",0.170731707317073,4.75303095136215,6.58809603849862,1.09531128023036e-06,4.1348000828696e-05,3.55976166074866e-05,"6890/6891/3105/3106/3107/6892/972/3134/567/3133/5641/1520/55080/10437",14,"Upres_DEq_MS_B2_vs_BD"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","19/342","154/9521",0.123376623376623,3.43470418470418,5.87949661675436,2.44484946176923e-06,8.20382819393674e-05,7.0628984451111e-05,"3675/3678/7060/1291/7057/3912/3655/3371/5649/80144/29780/83706/7148/1311/7059/1293/1292/2200/3684",19,"Upres_DEq_MS_B2_vs_BD"
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","21/342","196/9521",0.107142857142857,2.9827694235589,5.41389303225828,7.09084742714168e-06,0.000214143592299679,0.000184362033105684,"6772/3105/5610/10379/7098/3106/6773/3107/841/3134/3133/3665/3710/3459/148022/578/4775/5600/3717/59345/2247",21,"Upres_DEq_MS_B2_vs_BD"
