"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","25/118","183/9521",0.136612021857924,11.0227377975364,15.3359695967366,1.33328711030066e-19,2.29325382971714e-17,1.90870575790411e-17,"6772/23586/4938/64135/6890/4939/10379/5371/5610/6891/4940/3105/684/6773/7098/6672/3106/3107/6892/3134/3678/3665/972/567/55080",25,"Upres_DEq_MS_B2_vs_D"
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","20/118","205/9521",0.0975609756097561,7.87184787102108,11.1419700545882,5.82811548103892e-13,5.01217931369347e-11,4.17170371274364e-11,"6772/23586/9636/4938/6890/4939/10379/5610/6891/4940/3105/6773/3106/3107/6892/3134/3665/567/55080/958",20,"Upres_DEq_MS_B2_vs_D"
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","15/118","173/9521",0.0867052023121387,6.99593416282943,8.9155228006424,3.01075290518943e-09,1.72616499897527e-07,1.43671015826583e-07,"4599/6772/23586/4938/64135/4939/10379/5371/5610/4940/103/6773/7098/3665/8743",15,"Upres_DEq_MS_B2_vs_D"
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","11/118","82/9521",0.134146341463415,10.823790822654,10.0080461518768,4.41862780558026e-09,1.90000995639951e-07,1.58140363568136e-07,"6890/6891/3105/3106/3107/6892/3134/972/567/55080/10437",11,"Upres_DEq_MS_B2_vs_D"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","19/118","333/9521",0.0570570570570571,4.60373084949356,7.49877341109102,2.2673290920161e-08,7.79961207653539e-07,6.49172118977242e-07,"4599/6772/9636/10379/5610/8638/3105/6773/7098/3106/3107/5649/3134/3678/3912/7148/1293/7059/2308",19,"Upres_DEq_MS_B2_vs_D"
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","12/118","139/9521",0.0863309352517986,6.96573588586758,7.93688281286397,1.32517096327922e-07,3.79882342806711e-06,3.16181142115745e-06,"4599/6772/23586/4938/64135/4939/10379/5610/4940/103/6773/3665",12,"Upres_DEq_MS_B2_vs_D"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","15/118","238/9521",0.0630252100840336,5.08527987466173,7.14977504416867,2.19347732765227e-07,5.38968714794558e-06,4.48590851970991e-06,"4599/6772/23586/9636/4938/64135/4939/10379/5610/4940/103/6773/7098/6137/1675",15,"Upres_DEq_MS_B2_vs_D"
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","13/118","189/9521",0.0687830687830688,5.54986099901354,7.07730522118273,5.5350748958432e-07,1.09980520129152e-05,9.1538254207862e-06,"6772/4938/4939/10379/115361/4940/2633/6773/10616/2635/2634/3665/114769",13,"Upres_DEq_MS_B2_vs_D"
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","12/118","159/9521",0.0754716981132075,6.08954269267669,7.2496871443023,5.75479465792074e-07,1.09980520129152e-05,9.1538254207862e-06,"4599/3434/6772/23586/4938/4939/10379/5610/4940/6773/7098/3665",12,"Upres_DEq_MS_B2_vs_D"
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","8/118","72/9521",0.111111111111111,8.96516007532957,7.59965875484435,2.70914950322846e-06,4.65973714555295e-05,3.87836139409548e-05,"23586/9636/64135/103/57169/3665/64343/79132",8,"Upres_DEq_MS_B2_vs_D"
