"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","35/401","183/9521",0.191256830601093,4.54103811509478,10.14197306594,2.57492439668105e-14,7.82777016591041e-12,6.69480343137074e-12,"4939/23586/6772/4940/6773/5371/64135/6891/4938/3105/6890/6672/3678/5610/3106/7098/10379/56829/3107/6892/841/972/684/3134/567/4615/55080/3133/148022/7186/3459/7097/3665/3717/3455",35,"Upres_DEq_MS_BT_vs_BD"
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","32/401","205/9521",0.15609756097561,3.70624657867526,8.21339664703224,9.93244422510931e-11,1.50973152221662e-08,1.29121774926421e-08,"4939/9636/23586/6772/4940/6773/6891/4938/3105/7431/6890/5610/3106/10379/3107/6892/841/8737/3134/567/4615/958/55080/3133/7186/7128/3066/7097/4794/3665/5925/3455",32,"Upres_DEq_MS_BT_vs_BD"
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","29/401","189/9521",0.153439153439153,3.6431276306588,7.69582020918876,1.1743418039124e-09,1.18999969463123e-07,1.01776289672408e-07,"4939/6772/4940/6773/115361/4938/2633/10616/834/10379/841/8737/4615/3606/837/2634/2635/55072/5580/8767/148022/7186/7128/114769/3710/7158/3665/22900/3455",29,"Upres_DEq_MS_BT_vs_BD"
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","26/401","173/9521",0.15028901734104,3.56833350150635,7.14839196215923,1.35867892485595e-08,1.03259598289052e-06,8.83141301156366e-07,"4939/4599/23586/6772/4940/6773/5371/64135/4938/103/5610/834/7098/10379/841/4615/3606/8743/148022/10241/3459/3838/7113/3665/3717/3455",26,"Upres_DEq_MS_BT_vs_BD"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","38/401","333/9521",0.114114114114114,2.7094276321209,6.65818080957129,1.71544185787039e-08,1.0429886495852e-06,8.92029766092602e-07,"4599/9636/6772/6773/3105/3678/5610/3106/7057/7098/10379/3107/841/8638/3675/5649/3655/5315/3134/7060/3912/3371/3133/1293/148022/10312/3066/5526/4854/1311/7148/527/3996/1856/1292/5925/3455/4851",38,"Upres_DEq_MS_BT_vs_BD"
"hsa03030","Genetic Information Processing","Replication and repair","hsa03030","DNA replication","10/401","36/9521",0.277777777777778,6.59531726239956,7.05262091577231,1.49259036830332e-06,7.56245786607014e-05,6.46789159598104e-05,"4174/4176/4175/4171/5111/4172/2237/5424/4173/57804",10,"Upres_DEq_MS_BT_vs_BD"
"hsa04612","Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","14/401","82/9521",0.170731707317073,4.05370719542607,5.82323835520766,7.06415943246465e-06,0.00027719769846927,0.000237076978953981,"6891/3105/6890/3106/3107/6892/972/10197/5641/3134/567/55080/3133/10437",14,"Upres_DEq_MS_BT_vs_BD"
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","21/401","168/9521",0.125,2.9678927680798,5.39602365358979,7.29467627550711e-06,0.00027719769846927,0.000237076978953981,"6772/6773/5610/10616/197259/834/7098/10379/841/8737/2495/8743/2512/55072/148022/7186/7128/79643/3459/3717/3455",21,"Upres_DEq_MS_BT_vs_BD"
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","20/401","159/9521",0.125786163522013,2.98655876033187,5.29674299205733,1.0954415977878e-05,0.000370015828586103,0.000316460906027588,"6891/3105/6890/3678/3106/7057/3107/3134/715/7060/83547/3133/10312/9902/7097/1311/527/78989/10382/1780",20,"Upres_DEq_MS_BT_vs_BD"
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","14/401","89/9521",0.157303370786517,3.73487629241503,5.43530644891028,1.87402313371217e-05,0.000558732493619592,0.000477863316911493,"3678/7057/3675/5649/3655/7060/3912/3371/1293/80144/961/1311/7148/1292",14,"Upres_DEq_MS_BT_vs_BD"
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","18/401","139/9521",0.129496402877698,3.07465150074454,5.16651960478383,2.02172941770247e-05,0.000558732493619592,0.000477863316911493,"4939/4599/23586/6772/4940/6773/64135/4938/103/5610/10379/841/4615/7128/7097/3665/25898/3455",18,"Upres_DEq_MS_BT_vs_BD"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","25/401","238/9521",0.105042016806723,2.49402753620151,4.89436266304702,2.23341468510208e-05,0.000565798386892526,0.00048390651510545,"4939/4599/9636/23586/6772/4940/6773/64135/4938/103/5610/834/7098/10379/100293534/715/4615/7097/6224/7113/1636/733/720/1675/3455",25,"Upres_DEq_MS_BT_vs_BD"
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","19/401","159/9521",0.119496855345912,2.83723082231528,4.89859131137126,3.7620288986925e-05,0.000879735988617322,0.000752405779738499,"3434/4939/4599/23586/6772/4940/6773/4938/5610/7098/10379/841/10197/8737/148022/7186/3665/5925/3455",19,"Upres_DEq_MS_BT_vs_BD"
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","21/401","196/9521",0.107142857142857,2.54390808692554,4.57950248276514,7.59282736432339e-05,0.00164872822768165,0.0014100965105172,"6772/6773/3105/5610/3106/7098/10379/3107/841/3134/3133/148022/7186/3459/3710/3665/5533/59345/3717/5925/3455",21,"Upres_DEq_MS_BT_vs_BD"
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","22/401","214/9521",0.102803738317757,2.44088377187871,4.47017186858228,9.56556502498676e-05,0.00193862117839732,0.00165803127099771,"25939/6891/3105/6890/3106/3107/6892/841/684/8737/3134/567/4615/55080/3133/7186/85363/3710/60489/7097/5533/59345",22,"Upres_DEq_MS_BT_vs_BD"
"hsa04623","Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","12/401","83/9521",0.144578313253012,3.43274344259832,4.6675460524928,0.000170081753426651,0.00323155331510637,0.00276382849318308,"23586/25939/103/11277/197259/834/841/8737/840/3606/51082/3665",12,"Upres_DEq_MS_BT_vs_BD"
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","11/401","72/9521",0.152777777777778,3.62742449431976,4.69241926766636,0.000191972464866041,0.00343291937172214,0.0029360494626571,"9636/23586/64135/103/79132/841/57169/8737/64343/7186/3665",11,"Upres_DEq_MS_BT_vs_BD"
"hsa04979","Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","9/401","51/9521",0.176470588235294,4.18996626081854,4.78949175075432,0.000240469939223569,0.00406127008466472,0.00347345467767378,"27329/255738/51129/3988/5360/9388/6646/3931/337",9,"Upres_DEq_MS_BT_vs_BD"
"hsa03022","Genetic Information Processing","Transcription","hsa03022","Basal transcription factors","8/401","44/9521",0.181818181818182,4.3169349353888,4.62403477787743,0.000430964128382257,0.00689542605411611,0.00589740386207299,"2963/2962/2959/2071/6879/6880/2961/2968",8,"Upres_DEq_MS_BT_vs_BD"
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","13/401","109/9521",0.119266055045872,2.8317508979844,4.03303456538755,0.000639009093746243,0.00971293822494289,0.00830711821870116,"6772/6773/7098/10379/841/3929/8737/4615/958/148022/7097/3665/3455",13,"Upres_DEq_MS_BT_vs_BD"
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","22/401","251/9521",0.0876494023904383,2.08107221984878,3.63952697431904,0.000900781902855829,0.0130398904032463,0.0111525378448817,"197259/834/841/3831/8737/840/83547/4615/3606/837/10006/8743/9267/8767/7186/23207/64837/5420/7097/63916/10382/1780",22,"Upres_DEq_MS_BT_vs_BD"
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","19/401","205/9521",0.0926829268292683,2.20058390608844,3.64374477420112,0.00102859444306301,0.0142133050314162,0.0121561161452902,"3105/6672/5610/3106/10379/3107/841/5315/3134/3133/2934/7186/2959/3066/3665/7185/2961/5925/2968",19,"Upres_DEq_MS_BT_vs_BD"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","15/401","154/9521",0.0974025974025974,2.31264371538686,3.44350093504218,0.00208920230144609,0.027613804332157,0.0236170694946079,"3678/7057/3675/5649/3655/7060/3912/3371/1293/80144/83706/1311/7148/29780/1292",15,"Upres_DEq_MS_BT_vs_BD"
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","9/401","70/9521",0.128571428571429,3.05268970431065,3.61432068956435,0.00254093092823129,0.0321851250909297,0.0275267517225057,"3105/3106/3107/841/3134/958/1981/3133/1604",9,"Upres_DEq_MS_BT_vs_BD"
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","8/401","62/9521",0.129032258064516,3.06363124446947,3.41820864370844,0.00425171249893672,0.0497674539607488,0.042564269834851,"151636/3066/4854/1856/5664/51107/113878/4851",8,"Upres_DEq_MS_BT_vs_BD"
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","12/401","119/9521",0.100840336134454,2.39426643475345,3.20924128860967,0.00427498942734605,0.0497674539607488,0.042564269834851,"197259/841/8737/840/7186/7128/83786/153090/8809/1435/7185/4217",12,"Upres_DEq_MS_BT_vs_BD"
