"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","9/49","154/9521",0.0584415584415584,11.3555526106547,9.31813609569712,7.09070827162295e-08,1.06360624074344e-05,9.0313231670145e-06,"7057/3915/3911/1311/2243/2266/2244/2335/29780",9,"Upres_DEq_MS_C_vs_B1"
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","7/49","89/9521",0.0786516853932584,15.2825040128411,9.73628171559496,3.06793972539886e-07,2.30095479404914e-05,1.95379319354348e-05,"7057/3915/3911/3339/375790/1311/2335",7,"Upres_DEq_MS_C_vs_B1"
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","5/49","88/9521",0.0568181818181818,11.040120593692,6.80535864460221,8.3280180643667e-05,0.00406400496253075,0.00345083930151734,"727/2243/2266/2244/2162",5,"Upres_DEq_MS_C_vs_B1"
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","5/49","93/9521",0.0537634408602151,10.4465657230634,6.58417411924616,0.000108373465667487,0.00406400496253075,0.00345083930151734,"3915/3911/1643/1026/2335",5,"Upres_DEq_MS_C_vs_B1"
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","7/49","233/9521",0.0300429184549356,5.83752299202943,5.37694468639444,0.000171837569556764,0.0048976886057165,0.00415873909678383,"7057/3339/375790/1311/7431/2335/4811",7,"Upres_DEq_MS_C_vs_B1"
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","7/49","238/9521",0.0294117647058824,5.71488595438175,5.29799037690672,0.00019590754422866,0.0048976886057165,0.00415873909678383,"4599/727/2243/2266/2244/8829/2162",7,"Upres_DEq_MS_C_vs_B1"
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","6/49","196/9521",0.0306122448979592,5.94814660558101,5.0343318944259,0.000471823055747518,0.00959111891791868,0.00814403781802218,"727/4353/2243/2266/2244/1511",6,"Upres_DEq_MS_C_vs_B1"
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","6/49","203/9521",0.0295566502463054,5.74303810194028,4.91291158986189,0.000568305946167653,0.00959111891791868,0.00814403781802218,"7057/3915/3911/1311/2335/29780",6,"Upres_DEq_MS_C_vs_B1"
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","4/49","75/9521",0.0533333333333333,10.3629931972789,5.85486705951565,0.000575467135075121,0.00959111891791868,0.00814403781802218,"7057/1643/50484/1026",4,"Upres_DEq_MS_C_vs_B1"
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","7/49","333/9521",0.021021021021021,4.08451308451308,4.12091740277793,0.0014572081699868,0.021858122549802,0.0185602303756214,"7057/3915/3911/4599/1311/1026/2335",7,"Upres_DEq_MS_C_vs_B1"
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","4/49","103/9521",0.0388349514563107,7.54586883297008,4.80399157870179,0.00188387554079023,0.0256892119198667,0.0218132957354658,"3915/3911/2335/1511",4,"Upres_DEq_MS_C_vs_B1"
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","3/49","50/9521",0.06,11.6583673469388,5.43467324661333,0.00211854202893993,0.0264817753617491,0.0224862794299765,"7057/1311/3606",3,"Upres_DEq_MS_C_vs_B1"
"hsa00480","Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","3/49","59/9521",0.0508474576271186,9.87997232791422,4.92086913824122,0.00340182011328567,0.0392517705379116,0.03332957357956,"50484/221357/9027",3,"Upres_DEq_MS_C_vs_B1"
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","5/49","204/9521",0.0245098039215686,4.76240496198479,3.90695351476287,0.0038139790855521,0.0408640616309153,0.0346986067181807,"7057/3339/1026/2335/7078",5,"Upres_DEq_MS_C_vs_B1"
