"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","11/66","64/10173",0.171875,26.4921875,16.5312998577437,2.03841542659564e-13,5.72794734873373e-11,4.44159992952944e-11,"LAMA5/LAMC1/ITGA7/COL6A1/SERPINE1/TNC/FMOD/COMP/MATN3/LAMA3/BGN",11,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","17/66","280/10173",0.0607142857142857,9.35827922077922,11.4602976425038,1.37803712863999e-12,1.93614216573918e-10,1.5013351875183e-10,"FGG/FGB/LAMA5/LAMC1/ITGA7/COL6A1/SERPINE1/CD44/CD151/TNC/FMOD/COMP/MATN3/MMP15/LAMA3/NID1/BGN",17,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","11/66","108/10173",0.101851851851852,15.6990740740741,12.4096341238227,7.59144845442302e-11,7.11065671897623e-09,5.51378887742303e-09,"FGG/CCN1/LAMC1/FSTL1/GPC3/PRSS23/ITIH2/IGFALS/QSOX1/TNC/MATN3",11,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","10/66","91/10173",0.10989010989011,16.9380619380619,12.3409010609808,2.76978055154782e-10,1.94577083746234e-08,1.50880151097473e-08,"FGG/CCN1/LAMC1/FSTL1/GPC3/PRSS23/ITIH2/QSOX1/TNC/MATN3",10,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-3560782","R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","6/66","39/10173",0.153846153846154,23.7132867132867,11.4838060030769,1.63139081101611e-07,9.16841635791055e-06,7.10942942905969e-06,"OGN/GPC3/EXT1/FMOD/EXT2/BGN",6,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9734767","R-HSA-9734767","Developmental Cell Lineages","9/66","138/10173",0.0652173913043478,10.052371541502,8.65181523234626,2.3011431900798e-07,9.64043015101187e-06,7.47544124839654e-06,"KRT19/KRT7/LAMA5/ANXA3/LAMC1/CD44/CNN1/LAMA3/EPCAM",9,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9925563","R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells","6/66","42/10173",0.142857142857143,22.0194805194805,11.0302276737813,2.58344648993598e-07,9.64043015101187e-06,7.47544124839654e-06,"KRT19/KRT7/LAMA5/ANXA3/LAMC1/LAMA3",6,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","7/66","69/10173",0.101449275362319,15.637022397892,9.85813190064668,2.74460644868665e-07,9.64043015101187e-06,7.47544124839654e-06,"FGG/FGB/ITGA7/COL6A1/CD44/TNC/COMP",7,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-3000157","R-HSA-3000157","Laminin interactions","5/66","24/10173",0.208333333333333,32.1117424242424,12.330546913658,3.80756722500071e-07,1.18880710025022e-05,9.21832065000172e-06,"LAMA5/LAMC1/ITGA7/LAMA3/NID1",5,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-1630316","R-HSA-1630316","Glycosaminoglycan metabolism","8/66","132/10173",0.0606060606060606,9.34159779614325,7.79492136742289,1.98271259877331e-06,5.571422402553e-05,4.32022639943237e-05,"OGN/GPC3/CD44/EXT1/B4GAT1/FMOD/EXT2/BGN",8,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-114608","R-HSA-114608","Platelet degranulation","7/66","104/10173",0.0673076923076923,10.3745629370629,7.76494777264759,4.52189680772263e-06,0.000115513909360914,8.95725013587161e-05,"FGG/FGB/LGALS3BP/SERPINE1/TIMP3/QSOX1/F13A1",7,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","7/66","109/10173",0.0642201834862385,9.89866555462886,7.54773824140253,6.18315404128324e-06,0.000144788857133383,0.000112273060223301,"FGG/FGB/LGALS3BP/SERPINE1/TIMP3/QSOX1/F13A1",7,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9638630","R-HSA-9638630","Attachment of bacteria to epithelial cells","4/66","20/10173",0.2,30.8272727272727,10.7893519642049,7.24081492636735e-06,0.000145333499593516,0.000112695390207372,"LAMA5/LAMC1/LAMA3/EPCAM",4,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9931953","R-HSA-9931953","Biofilm formation","4/66","20/10173",0.2,30.8272727272727,10.7893519642049,7.24081492636735e-06,0.000145333499593516,0.000112695390207372,"LAMA5/LAMC1/LAMA3/EPCAM",4,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9820448","R-HSA-9820448","Developmental Cell Lineages of the Exocrine Pancreas","6/66","78/10173",0.0769230769230769,11.8566433566434,7.77774538381146,1.05410838311762e-05,0.000197469637104034,0.00015312311249498,"KRT19/KRT7/LAMA5/ANXA3/LAMC1/LAMA3",6,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","7/66","128/10173",0.0546875,8.42933238636364,6.83508333496041,1.78064330576623e-05,0.000312725480575194,0.000242495502824743,"LAMA5/LAMC1/COL6A1/CD44/MMP15/LAMA3/NID1",7,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-3781865","R-HSA-3781865","Diseases of glycosylation","7/66","134/10173",0.0522388059701493,8.05189959294437,6.64014101999893,2.39813706801661e-05,0.00039639795065451,0.000307377320792221,"OGN/GPC3/EXT1/B4GAT1/FMOD/EXT2/BGN",7,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9640148","R-HSA-9640148","Infection with Enterobacteria","4/66","31/10173",0.129032258064516,19.8885630498534,8.5110271252856,4.4568159712119e-05,0.000695758493283635,0.000539509301778282,"LAMA5/LAMC1/LAMA3/EPCAM",4,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-3656237","R-HSA-3656237","Defective EXT2 causes exostoses 2","3/66","12/10173",0.25,38.5340909090909,10.5126525165769,5.5037154524991e-05,0.000768046338901226,0.000595563184688345,"GPC3/EXT1/EXT2",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-3656253","R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","3/66","12/10173",0.25,38.5340909090909,10.5126525165769,5.5037154524991e-05,0.000768046338901226,0.000595563184688345,"GPC3/EXT1/EXT2",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9924644","R-HSA-9924644","Developmental Lineages of the Mammary Gland","4/66","33/10173",0.121212121212121,18.6831955922865,8.22172135274538,5.73984808431521e-05,0.000768046338901226,0.000595563184688345,"KRT19/CD44/CNN1/EPCAM",4,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","8/66","213/10173",0.0375586854460094,5.7891591976099,5.70799280424149,6.55284359477681e-05,0.000836976840969219,0.000649013695750621,"FGG/FGB/LGALS3BP/SERPINE1/TIMP3/QSOX1/F13A1/DGKA",8,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9927432","R-HSA-9927432","Developmental Lineage of Mammary Gland Myoepithelial Cells","3/66","17/10173",0.176470588235294,27.2005347593583,8.73649596624566,0.000166209628352253,0.0020306480681297,0.00157461753175819,"CD44/CNN1/EPCAM",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9824439","R-HSA-9824439","Bacterial Infection Pathways","5/66","85/10173",0.0588235294117647,9.0668449197861,6.03496345736911,0.000216650264290958,0.00244220751320008,0.00189375147118343,"LAMA5/LAMC1/LTF/LAMA3/EPCAM",5,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-140875","R-HSA-140875","Common Pathway of Fibrin Clot Formation","3/66","19/10173",0.157894736842105,24.3373205741627,8.22760102422948,0.000234660508385773,0.00244220751320008,0.00189375147118343,"FGG/FGB/F13A1",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-5686938","R-HSA-5686938","Regulation of TLR by endogenous ligand","3/66","19/10173",0.157894736842105,24.3373205741627,8.22760102422948,0.000234660508385773,0.00244220751320008,0.00189375147118343,"FGG/FGB/LBP",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9927418","R-HSA-9927418","Developmental Lineage of Mammary Gland Luminal Epithelial Cells","3/66","19/10173",0.157894736842105,24.3373205741627,8.22760102422948,0.000234660508385773,0.00244220751320008,0.00189375147118343,"KRT19/CD44/EPCAM",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-8874081","R-HSA-8874081","MET activates PTK2 signaling","3/66","23/10173",0.130434782608696,20.1047430830039,7.41201192392022,0.000420996557381948,0.00422500116515455,0.00327617621722042,"LAMA5/LAMC1/LAMA3",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-71387","R-HSA-71387","Metabolism of carbohydrates and carbohydrate derivatives","8/66","284/10173",0.028169014084507,4.34186939820743,4.61568822264229,0.00047112163943543,0.00456500623039158,0.00353982502225532,"OGN/GPC3/CD44/EXT1/B4GAT1/FMOD/EXT2/BGN",8,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-3000171","R-HSA-3000171","Non-integrin membrane-ECM interactions","4/66","64/10173",0.0625,9.63352272727273,5.59870952750487,0.000766552385377519,0.00694842646100267,0.0053879912995975,"LAMA5/LAMC1/TNC/LAMA3",4,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9734779","R-HSA-9734779","Developmental Cell Lineages of the Integumentary System","4/66","64/10173",0.0625,9.63352272727273,5.59870952750487,0.000766552385377519,0.00694842646100267,0.0053879912995975,"KRT19/CD44/CNN1/EPCAM",4,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-2022854","R-HSA-2022854","Keratan sulfate biosynthesis","3/66","29/10173",0.103448275862069,15.9451410658307,6.51266003044968,0.000844809565451068,0.00719368145126516,0.00557816842259557,"OGN/B4GAT1/FMOD",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9913351","R-HSA-9913351","Formation of the dystrophin-glycoprotein complex (DGC)","3/66","29/10173",0.103448275862069,15.9451410658307,6.51266003044968,0.000844809565451068,0.00719368145126516,0.00557816842259557,"LAMA5/LAMC1/LAMA3",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9696264","R-HSA-9696264","RND3 GTPase cycle","3/66","30/10173",0.1,15.4136363636364,6.38873665056494,0.000934343176517065,0.00772207154709692,0.00598789589904125,"EPHA2/CKB/RND3",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-5668914","R-HSA-5668914","Diseases of metabolism","7/66","244/10173",0.0286885245901639,4.42194485842027,4.37199015670204,0.000977847253505662,0.00781997340926914,0.00606381155916356,"OGN/GPC3/EXT1/B4GAT1/FMOD/EXT2/BGN",7,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-2022928","R-HSA-2022928","HS-GAG biosynthesis","3/66","31/10173",0.0967741935483871,14.91642228739,6.27062245350765,0.00102967621403188,0.00781997340926914,0.00606381155916356,"GPC3/EXT1/EXT2",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-8875878","R-HSA-8875878","MET promotes cell motility","3/66","31/10173",0.0967741935483871,14.91642228739,6.27062245350765,0.00102967621403188,0.00781997340926914,0.00606381155916356,"LAMA5/LAMC1/LAMA3",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-140877","R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","3/66","33/10173",0.0909090909090909,14.0123966942149,6.05005465176707,0.00123830615744002,0.00915694816422748,0.00710053669224607,"FGG/FGB/F13A1",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-1638074","R-HSA-1638074","Keratan sulfate/keratin metabolism","3/66","37/10173",0.0810810810810811,12.497542997543,5.66156651707837,0.00173119518498863,0.0124734832559437,0.00967226459629277,"OGN/B4GAT1/FMOD",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-354194","R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins","2/66","10/10173",0.2,30.8272727272727,7.62546958369205,0.00180398254423008,0.0126729773732163,0.00982695754356912,"FGG/FGB",2,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-1638091","R-HSA-1638091","Heparan sulfate/heparin (HS-GAG) metabolism","3/66","39/10173",0.0769230769230769,11.8566433566434,5.48910370067022,0.00201749453886364,0.0138272186687972,0.0107219863811239,"GPC3/EXT1/EXT2",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9938206","R-HSA-9938206","Developmental Lineage of Mammary Stem Cells","2/66","12/10173",0.166666666666667,25.6893939393939,6.9150740844735,0.00262377492032258,0.0175543036335868,0.0136120653761096,"CD44/EPCAM",2,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-5602498","R-HSA-5602498","MyD88 deficiency (TLR2/4)","2/66","13/10173",0.153846153846154,23.7132867132867,6.62168955671285,0.00308787643540714,0.0201789134499862,0.0156472563556739,"FGG/FGB",2,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-446353","R-HSA-446353","Cell-extracellular matrix interactions","2/66","14/10173",0.142857142857143,22.0194805194805,6.35952277412227,0.00358748597979541,0.0224018568960558,0.0173709847442725,"FLNC/PARVB",2,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-5603041","R-HSA-5603041","IRAK4 deficiency (TLR2/4)","2/66","14/10173",0.142857142857143,22.0194805194805,6.35952277412227,0.00358748597979541,0.0224018568960558,0.0173709847442725,"FGG/FGB",2,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-2022857","R-HSA-2022857","Keratan sulfate degradation","2/66","15/10173",0.133333333333333,20.5515151515152,6.1233058845921,0.00412213745903243,0.0246451197018747,0.0191104692949544,"OGN/FMOD",2,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9927426","R-HSA-9927426","Developmental Lineage of Mammary Gland Alveolar Cells","2/66","15/10173",0.133333333333333,20.5515151515152,6.1233058845921,0.00412213745903243,0.0246451197018747,0.0191104692949544,"KRT19/EPCAM",2,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-9694614","R-HSA-9694614","Attachment and Entry","2/66","16/10173",0.125,19.2670454545455,5.90894006925856,0.00469136917275052,0.0274640570321437,0.0212963469026175,"GPC3/NRP1",2,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","3/66","53/10173",0.0566037735849057,8.72469982847341,4.5561005651994,0.0048482971288129,0.0278034998611515,0.0215595597350004,"COL6A1/CD151/LAMA3",3,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-354192","R-HSA-354192","Integrin signaling","2/66","18/10173",0.111111111111111,17.1262626262626,5.53342499660106,0.00593174825687295,0.0314494577392698,0.0243867306687726,"FGG/FGB",2,"Downres_DEq_MS_BM1_vs_CM"
"R-HSA-3560783","R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type","2/66","18/10173",0.111111111111111,17.1262626262626,5.53342499660106,0.00593174825687295,0.0314494577392698,0.0243867306687726,"GPC3/BGN",2,"Downres_DEq_MS_BM1_vs_CM"
