"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-211859","R-HSA-211859","Biological oxidations","43/346","209/10173",0.205741626794258,6.0491606051387,13.8390480052734,3.38292061547267e-22,2.57101966775923e-19,2.28614214224574e-19,"ADH1C/OPLAH/ADH1B/CYP3A4/AS3MT/GSTM1/CMBL/ACSS2/ADH4/AKR1A1/CES3/ACSM2B/ADH6/SULT1B1/CYP2C9/CYP7B1/CYP2A6/FMO1/AKR7A3/CYP2E1/CYP51A1/GSTA1/CYP8B1/UGT2B15/CYP2C8/CYP39A1/GSTM4/ADH1A/CYP2C19/GSTA4/CYP4A11/UGT2B17/CYP27A1/CYP4V2/CYP1A2/CYP4F2/CYP2U1/CYP2A7/CYP2B6/CYP7A1/ACSM1/TBXAS1/CYP4A22",43,"Downres_DEq_MS_CTRL.myr_vs_HBVHDV"
"R-HSA-211945","R-HSA-211945","Phase I - Functionalization of compounds","30/346","104/10173",0.288461538461538,8.48126945309026,14.3889645745702,3.08088583680559e-20,1.17073661798612e-17,1.04101510906799e-17,"ADH1C/ADH1B/CYP3A4/CMBL/ACSS2/ADH4/CES3/ADH6/CYP2C9/CYP7B1/CYP2A6/FMO1/CYP2E1/CYP51A1/CYP8B1/CYP2C8/CYP39A1/ADH1A/CYP2C19/CYP4A11/CYP27A1/CYP4V2/CYP1A2/CYP4F2/CYP2U1/CYP2A7/CYP2B6/CYP7A1/TBXAS1/CYP4A22",30,"Downres_DEq_MS_CTRL.myr_vs_HBVHDV"
"R-HSA-211897","R-HSA-211897","Cytochrome P450 - arranged by substrate type","21/346","65/10173",0.323076923076923,9.49902178746109,12.8980409482453,1.24219086116832e-15,3.14688351495976e-13,2.79819836094759e-13,"CYP3A4/CYP2C9/CYP7B1/CYP2A6/CYP2E1/CYP51A1/CYP8B1/CYP2C8/CYP39A1/CYP2C19/CYP4A11/CYP27A1/CYP4V2/CYP1A2/CYP4F2/CYP2U1/CYP2A7/CYP2B6/CYP7A1/TBXAS1/CYP4A22",21,"Downres_DEq_MS_CTRL.myr_vs_HBVHDV"
"R-HSA-8957322","R-HSA-8957322","Metabolism of steroids","28/346","141/10173",0.198581560283688,5.83864223342762,10.8560054706419,2.22284205122781e-14,4.22339989733285e-12,3.75543314970594e-12,"FASN/BAAT/AKR1C4/GC/LSS/ACACB/SCD/HSD3B7/SLCO1B1/FDPS/AKR1D1/CYP7B1/HSD11B1/CYP51A1/CYP8B1/CYP39A1/HSD17B14/IDI1/SRD5A2/ABCB11/HSD17B7/TM7SF2/CYP27A1/GPAM/SLCO1B3/SLC10A1/SLC27A5/CYP7A1",28,"Downres_DEq_MS_CTRL.myr_vs_HBVHDV"
"R-HSA-194068","R-HSA-194068","Bile acid and bile salt metabolism","14/346","41/10173",0.341463414634146,10.0396165233329,10.8824102032556,3.27333667784723e-11,4.9754717503278e-09,4.42417294142721e-09,"BAAT/AKR1C4/HSD3B7/SLCO1B1/AKR1D1/CYP7B1/CYP8B1/CYP39A1/ABCB11/CYP27A1/SLCO1B3/SLC10A1/SLC27A5/CYP7A1",14,"Downres_DEq_MS_CTRL.myr_vs_HBVHDV"
"R-HSA-2142753","R-HSA-2142753","Arachidonate metabolism","15/346","56/10173",0.267857142857143,7.87546449215524,9.6805699883503,3.19257905008212e-10,4.04393346343735e-08,3.59585219325038e-08,"HPGD/EPHX2/CYP2C9/CYP8B1/PTGR2/CYP2C8/GPX2/CYP2C19/CYP4A11/CYP1A2/CYP4F2/CYP2U1/ALOX12B/TBXAS1/CYP4A22",15,"Downres_DEq_MS_CTRL.myr_vs_HBVHDV"
"R-HSA-193368","R-HSA-193368","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","10/346","21/10173",0.476190476190476,14.0008257638315,11.190140202608,4.60206400618266e-10,4.99652663528403e-08,4.44289487514175e-08,"BAAT/AKR1C4/HSD3B7/AKR1D1/CYP7B1/CYP8B1/ABCB11/CYP27A1/SLC27A5/CYP7A1",10,"Downres_DEq_MS_CTRL.myr_vs_HBVHDV"
"R-HSA-9748784","R-HSA-9748784","Drug ADME","19/346","99/10173",0.191919191919192,5.6427570502715,8.71010377429027,6.91763987908842e-10,6.571757885134e-08,5.84358526628259e-08,"CYP3A4/GSTM1/XDH/SLC22A1/SLCO2B1/ACSM2B/SLCO1B1/CYP2C9/SLC22A7/HSD11B1/CYP2E1/GSTA1/UGT2B15/CYP2C8/ADH1A/CYP2C19/BCHE/UGT2B17/SLCO1B3",19,"Downres_DEq_MS_CTRL.myr_vs_HBVHDV"
"R-HSA-8978868","R-HSA-8978868","Fatty acid metabolism","24/346","161/10173",0.149068322981366,4.38286719563422,8.11835827194298,9.0900826664872e-10,7.67606980725585e-08,6.82553575659039e-08,"FASN/ACOT12/ACAD10/HPGD/FADS1/ACACB/SCD/EPHX2/CYP2C9/PHYH/CYP8B1/PTGR2/CYP2C8/GPX2/CYP2C19/CYP4A11/CYP1A2/CYP4F2/CYP2U1/THRSP/NDUFAB1/ALOX12B/TBXAS1/CYP4A22",24,"Downres_DEq_MS_CTRL.myr_vs_HBVHDV"
"R-HSA-71387","R-HSA-71387","Metabolism of carbohydrates and carbohydrate derivatives","32/346","284/10173",0.112676056338028,3.31287144834324,7.41763097712706,2.11788352438098e-09,1.60959147852955e-07,1.43124339226589e-07,"ALDOC/TKFC/ALDOB/PKLR/MAN2C1/AGL/SORD/PFKFB1/PFKL/AKR1A1/CRYL1/PHKA2/PHKB/GPI/XYLB/PGM1/PYGL/PHKG2/GPC1/TPI1/DCXR/RBKS/FBP1/GCKR/GYS2/PPP1R3C/ENO2/SDC1/SDC2/GPC6/GCK/PGK2",32,"Downres_DEq_MS_CTRL.myr_vs_HBVHDV"
