"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-211999","R-HSA-211999","CYP2E1 reactions","6/65","11/10173",0.545454545454545,85.3678321678321,22.4497172125556,2.42140379497885e-11,6.90100081568971e-09,6.27016140594522e-09,"CYP2C9/CYP2A6/CYP2A7/CYP2C8/CYP2C19/CYP2B6",6,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-211981","R-HSA-211981","Xenobiotics","6/65","25/10173",0.24,37.5618461538462,14.6769268393101,8.65629323922187e-09,1.23352178658912e-06,1.12076217728873e-06,"CYP2C9/CYP2A6/CYP2A7/CYP2C8/CYP2C19/CYP2B6",6,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-211897","R-HSA-211897","Cytochrome P450 - arranged by substrate type","7/65","65/10173",0.107692307692308,16.854674556213,10.2827347013567,1.62388926841549e-07,1.54269480499471e-05,1.40167284221126e-05,"CYP2C9/CYP2A6/CYP2A7/CYP2C8/CYP4A11/CYP2C19/CYP2B6",7,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-211945","R-HSA-211945","Phase I - Functionalization of compounds","7/65","104/10173",0.0673076923076923,10.5341715976331,7.83670864629424,4.07622830962129e-06,0.000252774310464072,0.000229667517540764,"CYP2C9/CYP2A6/CYP2A7/CYP2C8/CYP4A11/CYP2C19/CYP2B6",7,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-9749641","R-HSA-9749641","Aspirin ADME","5/65","39/10173",0.128205128205128,20.0650887573964,9.56550542731534,4.43463702568547e-06,0.000252774310464072,0.000229667517540764,"CYP2C9/CYP2C8/CYP2C19/BCHE/SLC22A7",5,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-211859","R-HSA-211859","Biological oxidations","9/65","209/10173",0.0430622009569378,6.73956569746043,6.72299134935231,6.4766608122227e-06,0.000307641388580578,0.000279519045580137,"GSTM1/CYP2C9/CYP2A6/CYP2A7/CYP2C8/CYP4A11/CYP2C19/CYP2B6/SULT1C2",9,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-9748784","R-HSA-9748784","Drug ADME","6/65","99/10173",0.0606060606060606,9.48531468531469,6.80317769507955,3.78861962068645e-05,0.00154250941699377,0.00140150440103589,"GSTM1/CYP2C9/CYP2C8/CYP2C19/BCHE/SLC22A7",6,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-211935","R-HSA-211935","Fatty acids","3/65","15/10173",0.2,31.3015384615385,9.41745257157205,0.000107244047555423,0.00382056919416194,0.00347132048666238,"CYP2A7/CYP4A11/CYP2B6",3,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-2142753","R-HSA-2142753","Arachidonate metabolism","4/65","56/10173",0.0714285714285714,11.1791208791209,6.12499371907145,0.000434512663956144,0.0137595676919446,0.0125017678752294,"CYP2C9/CYP2C8/CYP4A11/CYP2C19",4,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-8978868","R-HSA-8978868","Fatty acid metabolism","6/65","161/10173",0.0372670807453416,5.83258480649785,4.95631886719659,0.00054692337605722,0.0155873162176308,0.0141624368957975,"FASN/CYP2C9/CYP2C8/CYP4A11/CYP2C19/THRSP",6,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-174824","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","4/65","62/10173",0.0645161290322581,10.097270471464,5.76152079794792,0.000641296252038553,0.0166154028937261,0.0150965433494243,"APOA5/APOC1/APOC4/LIPC",4,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-8964043","R-HSA-8964043","Plasma lipoprotein clearance","3/65","28/10173",0.107142857142857,16.7686813186813,6.70001235742281,0.000727679697866727,0.0172823928243348,0.0157025619013346,"APOC1/APOC4/LIPC",3,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-2173782","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","3/65","35/10173",0.0857142857142857,13.4149450549451,5.89969986007833,0.0014082034655007,0.0308721528975152,0.0280500447379086,"CD163/SAA1/HBB",3,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-9024446","R-HSA-9024446","NR1H2 and NR1H3-mediated signaling","3/65","38/10173",0.0789473684210526,12.3558704453441,5.62377048893949,0.00179047321311368,0.0364489189812428,0.0331170233402982,"FASN/APOC1/APOC4",3,"Downres_DEq_MS_CTRL_vs_HDV"
"R-HSA-2168880","R-HSA-2168880","Scavenging of heme from plasma","2/65","11/10173",0.181818181818182,28.4559440559441,7.30584351905042,0.00213037372350194,0.0404771007465369,0.0367769779636125,"CD163/HBB",2,"Downres_DEq_MS_CTRL_vs_HDV"
