"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-909733","R-HSA-909733","Interferon alpha/beta signaling","24/168","67/10173",0.358208955223881,21.6908315565032,22.0178530911686,1.67006453246503e-26,7.96620781985819e-24,6.80331551646281e-24,"MX1/OAS2/IFIT2/IFIT1/STAT1/IFIT3/ISG15/ISG20/OAS3/STAT2/SAMHD1/EIF2AK2/IRF9/IFIT5/HLA-A/HLA-F/OASL/BST2/HLA-B/XAF1/HLA-C/IFITM3/IFITM2/IRF7",24,"Upres_DEq_MS_BM1_vs_D"
"R-HSA-913531","R-HSA-913531","Interferon Signaling","36/168","229/10173",0.157205240174672,9.51933873986276,16.896328330634,1.43441302596514e-25,3.42107506692686e-23,2.92167284762373e-23,"MX1/OAS2/IFIT2/IFIT1/STAT1/IFIH1/IFIT3/ISG15/ISG20/OAS3/UBE2L6/STAT2/SAMHD1/GBP4/EIF2AK2/IRF9/IFIT5/HLA-A/TRIM21/HLA-F/OASL/GBP1/UBA7/BST2/HLA-B/XAF1/HLA-C/IFITM3/GBP3/TRIM38/TRIM22/IFITM2/IRF7/IFI30/IFI44/TRIM14",36,"Upres_DEq_MS_BM1_vs_D"
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling","17/168","81/10173",0.209876543209877,12.7087742504409,13.7092782563585,1.15032545838994e-14,1.82901747884e-12,1.56202088560318e-12,"OAS2/OAS3/GBP4/IRF9/HLA-A/TRIM21/HLA-F/OASL/GBP1/HLA-B/HLA-C/GBP3/TRIM38/TRIM22/IRF7/IFI30/TRIM14",17,"Upres_DEq_MS_BM1_vs_D"
"R-HSA-983170","R-HSA-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","7/168","25/10173",0.28,16.955,10.3496545388811,1.1062063256265e-07,1.3191510433096e-05,1.12658381057225e-05,"TAP1/TAP2/HLA-A/HLA-F/HLA-B/HLA-C/TAPBP",7,"Upres_DEq_MS_BM1_vs_D"
"R-HSA-6791226","R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol","15/168","181/10173",0.0828729281767956,5.01825177584846,7.06804800000573,2.84881545468708e-07,2.71776994377148e-05,2.32103490729242e-05,"RPL13/RPL8/RPL19/RPL4/RPL10/RPL18/RPS6/RPL7/FTSJ3/RPS5/TEX10/BMS1/FAU/UTP3/NOP14",15,"Upres_DEq_MS_BM1_vs_D"
"R-HSA-8868773","R-HSA-8868773","rRNA processing in the nucleus and cytosol","15/168","190/10173",0.0789473684210526,4.78054511278195,6.81631982999358,5.34001345614392e-07,4.24531069763441e-05,3.62558808338192e-05,"RPL13/RPL8/RPL19/RPL4/RPL10/RPL18/RPS6/RPL7/FTSJ3/RPS5/TEX10/BMS1/FAU/UTP3/NOP14",15,"Upres_DEq_MS_BM1_vs_D"
"R-HSA-9633012","R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency","11/168","99/10173",0.111111111111111,6.7281746031746,7.42133680217148,6.44750656653793e-07,4.39351518891228e-05,3.75215795676719e-05,"RPL13/RPL8/RPL19/RPL4/RPL10/RPL18/RPS6/RPL7/RPS5/ASNS/FAU",11,"Upres_DEq_MS_BM1_vs_D"
"R-HSA-1236975","R-HSA-1236975","Antigen processing-Cross presentation","10/168","85/10173",0.117647058823529,7.12394957983193,7.34662381973174,1.24269551903935e-06,6.09564229165756e-05,5.20581168900249e-05,"TAP1/TAP2/HLA-A/HLA-F/HLA-B/PSMB10/HLA-C/PSMB9/TAPBP/CTSV",10,"Upres_DEq_MS_BM1_vs_D"
"R-HSA-72312","R-HSA-72312","rRNA processing","15/168","205/10173",0.0731707317073171,4.43074912891986,6.43000258829185,1.40582515623962e-06,6.09564229165756e-05,5.20581168900249e-05,"RPL13/RPL8/RPL19/RPL4/RPL10/RPL18/RPS6/RPL7/FTSJ3/RPS5/TEX10/BMS1/FAU/UTP3/NOP14",15,"Upres_DEq_MS_BM1_vs_D"
"R-HSA-927802","R-HSA-927802","Nonsense-Mediated Decay (NMD)","11/168","107/10173",0.102803738317757,6.22513351134846,7.04060675300236,1.41427389732982e-06,6.09564229165756e-05,5.20581168900249e-05,"RPL13/RPL8/RPL19/RPL4/RPL10/RPL18/RPS6/RPL7/RPS5/UPF2/FAU",11,"Upres_DEq_MS_BM1_vs_D"
