"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-9925563","R-HSA-9925563","Developmental Lineage of Pancreatic Ductal Cells","2/2","42/10173",0.0476190476190476,242.214285714286,21.9653364008472,1.66409360300386e-05,0.000166409360300386,NA,"KRT19/KRT7",2,"Upres_DEq_MS_CM_vs_C"
"R-HSA-9820448","R-HSA-9820448","Developmental Cell Lineages of the Exocrine Pancreas","2/2","78/10173",0.0256410256410256,130.423076923077,16.0894873528116,5.80403378608663e-05,0.000290201689304332,NA,"KRT19/KRT7",2,"Upres_DEq_MS_CM_vs_C"
"R-HSA-6809371","R-HSA-6809371","Formation of the cornified envelope","2/2","119/10173",0.0168067226890756,85.4873949579832,12.9996693537178,0.000135698039334379,0.000452326797781265,NA,"KRT19/KRT7",2,"Upres_DEq_MS_CM_vs_C"
"R-HSA-9734767","R-HSA-9734767","Developmental Cell Lineages","2/2","138/10173",0.0144927536231884,73.7173913043478,12.0602272604889,0.000182702402197392,0.00045675600549348,NA,"KRT19/KRT7",2,"Upres_DEq_MS_CM_vs_C"
"R-HSA-6805567","R-HSA-6805567","Keratinization","2/2","206/10173",0.00970873786407767,49.3834951456311,9.83750498351738,0.000408099145498565,0.00081619829099713,NA,"KRT19/KRT7",2,"Upres_DEq_MS_CM_vs_C"
"R-HSA-9927426","R-HSA-9927426","Developmental Lineage of Mammary Gland Alveolar Cells","1/2","15/10173",0.0666666666666667,339.1,18.3748178444496,0.00294695321855964,0.00491158869759941,NA,"KRT19",1,"Upres_DEq_MS_CM_vs_C"
"R-HSA-9927418","R-HSA-9927418","Developmental Lineage of Mammary Gland Luminal Epithelial Cells","1/2","19/10173",0.0526315789473684,267.710526315789,16.3167899871783,0.00373207296700606,0.00533153281000866,NA,"KRT19",1,"Upres_DEq_MS_CM_vs_C"
"R-HSA-9924644","R-HSA-9924644","Developmental Lineages of the Mammary Gland","1/2","33/10173",0.0303030303030303,154.136363636364,12.3552821915029,0.00647755682763684,0.00806809444394547,NA,"KRT19",1,"Upres_DEq_MS_CM_vs_C"
"R-HSA-9725554","R-HSA-9725554","Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin","1/2","37/10173",0.027027027027027,137.472972972973,11.6613964439367,0.00726128499955092,0.00806809444394547,NA,"KRT19",1,"Upres_DEq_MS_CM_vs_C"
"R-HSA-9734779","R-HSA-9734779","Developmental Cell Lineages of the Integumentary System","1/2","64/10173",0.015625,79.4765625,8.8310472122748,0.0125433616213781,0.0125433616213781,NA,"KRT19",1,"Upres_DEq_MS_CM_vs_C"
