"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-909733","R-HSA-909733","Interferon alpha/beta signaling","26/219","67/10173",0.388059701492537,18.0261705172766,20.7391593203236,1.26753563452351e-26,7.40240810561729e-24,6.88471986751716e-24,"MX1/IFIT1/IFIT2/IFIT3/STAT1/ISG15/HLA-F/SAMHD1/EIF2AK2/OAS3/IRF9/OAS2/HLA-A/OASL/ISG20/BST2/IFIT5/STAT2/HLA-B/IFITM3/HLA-C/XAF1/GBP2/IFITM2/IRF7/IFNAR2",26,"Upres_DEq_MS_CTRL.myr_vs_HDV"
"R-HSA-913531","R-HSA-913531","Interferon Signaling","39/219","229/10173",0.170305676855895,7.91104863312795,15.6894437844901,1.71301324144333e-24,5.00199866501454e-22,4.65218332939348e-22,"MX1/IFIT1/IFIT2/IFIT3/STAT1/IFIH1/ISG15/HLA-F/UBE2L6/SAMHD1/EIF2AK2/OAS3/IRF9/OAS2/HLA-A/TRIM21/GBP4/OASL/UBA7/ISG20/BST2/IFIT5/STAT2/HLA-B/GBP1/IFITM3/HLA-C/XAF1/GBP3/TRIM22/GBP2/IFITM2/YBX1/TRIM14/IFI44/TRIM38/IRF7/MT2A/IFNAR2",39,"Upres_DEq_MS_CTRL.myr_vs_HDV"
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling","19/219","81/10173",0.234567901234568,10.8961610011838,13.263161434116,4.52948434079644e-15,8.81739618341707e-13,8.20075059596829e-13,"HLA-F/OAS3/IRF9/OAS2/HLA-A/TRIM21/GBP4/OASL/HLA-B/GBP1/HLA-C/GBP3/TRIM22/GBP2/YBX1/TRIM14/TRIM38/IRF7/MT2A",19,"Upres_DEq_MS_CTRL.myr_vs_HDV"
"R-HSA-983170","R-HSA-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","7/219","25/10173",0.28,13.0065753424658,8.91508196627521,6.72940484778361e-07,9.82493107776407e-05,9.13782342488511e-05,"HLA-F/TAP1/HLA-A/HLA-B/TAP2/HLA-C/TAPBP",7,"Upres_DEq_MS_CTRL.myr_vs_HDV"
"R-HSA-983169","R-HSA-983169","Class I MHC mediated antigen processing & presentation","20/219","312/10173",0.0641025641025641,2.97769582016157,5.26262868053439,1.26505974121144e-05,0.00129467903421507,0.00120413551127429,"HLA-F/UBE2L6/TAP1/HLA-A/TRIM21/UBA7/RBCK1/DTX3L/HLA-B/TAP2/HLA-C/TAPBP/PSMB10/PSMB9/FBXO6/RNF138/RNF130/KCTD6/RCHY1/CTSV",20,"Upres_DEq_MS_CTRL.myr_vs_HDV"
"R-HSA-1236975","R-HSA-1236975","Antigen processing-Cross presentation","10/219","85/10173",0.117647058823529,5.46494762288477,6.13125967036223,1.33014969268671e-05,0.00129467903421507,0.00120413551127429,"HLA-F/TAP1/HLA-A/HLA-B/TAP2/HLA-C/TAPBP/PSMB10/PSMB9/CTSV",10,"Upres_DEq_MS_CTRL.myr_vs_HDV"
"R-HSA-9705671","R-HSA-9705671","SARS-CoV-2 activates/modulates innate and adaptive immune responses","11/219","107/10173",0.102803738317757,4.775444885418,5.82314997549072,1.81142285053068e-05,0.00143602479356001,0.00133559623914377,"STAT1/IFIH1/ISG15/HLA-F/HLA-A/STAT2/HLA-B/HLA-C/CNBP/IRF7/IFNAR2",11,"Upres_DEq_MS_CTRL.myr_vs_HDV"
"R-HSA-1236974","R-HSA-1236974","ER-Phagosome pathway","9/219","71/10173",0.126760563380282,5.88828863592514,6.13068142143752,1.97036566368439e-05,0.00143602479356001,0.00133559623914377,"HLA-F/TAP1/HLA-A/HLA-B/TAP2/HLA-C/TAPBP/PSMB10/PSMB9",9,"Upres_DEq_MS_CTRL.myr_vs_HDV"
"R-HSA-9909505","R-HSA-9909505","Modulation of host responses by IFN-stimulated genes","5/219","17/10173",0.294117647058824,13.6623690572119,7.75004986561136,2.21305190788358e-05,0.00143602479356001,0.00133559623914377,"IFIH1/ISG15/UBE2L6/UBA7/IFI44",5,"Upres_DEq_MS_CTRL.myr_vs_HDV"
"R-HSA-196807","R-HSA-196807","Nicotinate metabolism","6/219","29/10173",0.206896551724138,9.61076995748701,6.88751853458885,2.91700454012739e-05,0.00170353065143439,0.0015843940449534,"PARP14/PARP10/NT5E/PARP9/NADK/CD38",6,"Upres_DEq_MS_CTRL.myr_vs_HDV"
