"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-211999","R-HSA-211999","CYP2E1 reactions","6/62","11/10173",0.545454545454545,89.4985337243402,22.9956022324122,1.80442963665665e-11,4.65542846257415e-09,4.14069116622262e-09,"CYP2C9/CYP2A6/CYP2A7/CYP2C8/CYP2C19/CYP2B6",6,"Upres_DEq_MS_D_vs_C"
"R-HSA-211981","R-HSA-211981","Xenobiotics","6/62","25/10173",0.24,39.3793548387097,15.0445572148376,6.47362942686916e-09,8.35098196066122e-07,7.42763797398673e-07,"CYP2C9/CYP2A6/CYP2A7/CYP2C8/CYP2C19/CYP2B6",6,"Upres_DEq_MS_D_vs_C"
"R-HSA-211897","R-HSA-211897","Cytochrome P450 - arranged by substrate type","7/62","65/10173",0.107692307692308,17.670223325062,10.5576544849419,1.16448998734097e-07,1.00146138911323e-05,8.90732692071336e-06,"CYP2C9/CYP2A6/CYP2A7/CYP2C8/CYP4A11/CYP2C19/CYP2B6",7,"Upres_DEq_MS_D_vs_C"
"R-HSA-211945","R-HSA-211945","Phase I - Functionalization of compounds","7/62","104/10173",0.0673076923076923,11.0438895781638,8.06171413130342,2.95261049759245e-06,0.000180776205335736,0.000160788301767403,"CYP2C9/CYP2A6/CYP2A7/CYP2C8/CYP4A11/CYP2C19/CYP2B6",7,"Upres_DEq_MS_D_vs_C"
"R-HSA-9749641","R-HSA-9749641","Aspirin ADME","5/62","39/10173",0.128205128205128,21.0359801488834,9.81644893136732,3.50341483208791e-06,0.000180776205335736,0.000160788301767403,"CYP2C9/CYP2C8/CYP2C19/BCHE/SLC22A7",5,"Upres_DEq_MS_D_vs_C"
"R-HSA-211859","R-HSA-211859","Biological oxidations","9/62","209/10173",0.0430622009569378,7.06567371507949,6.93804790130941,4.33515092726213e-06,0.000186411489872272,0.00016580050914792,"GSTM1/CYP2C9/CYP2A6/CYP2A7/CYP2C8/CYP4A11/CYP2C19/CYP2B6/SULT1C2",9,"Upres_DEq_MS_D_vs_C"
"R-HSA-9748784","R-HSA-9748784","Drug ADME","6/62","99/10173",0.0606060606060606,9.94428152492669,7.00267627144653,2.88673015261702e-05,0.00106396625625027,0.000946326576346634,"GSTM1/CYP2C9/CYP2C8/CYP2C19/BCHE/SLC22A7",6,"Upres_DEq_MS_D_vs_C"
"R-HSA-211935","R-HSA-211935","Fatty acids","3/62","15/10173",0.2,32.8161290322581,9.65585709996224,9.31036929549716e-05,0.00300259409779783,0.00267060592949787,"CYP2A7/CYP4A11/CYP2B6",3,"Upres_DEq_MS_D_vs_C"
"R-HSA-2142753","R-HSA-2142753","Arachidonate metabolism","4/62","56/10173",0.0714285714285714,11.7200460829493,6.29892962348461,0.000362420174597554,0.0103893783384632,0.00924065474412476,"CYP2C9/CYP2C8/CYP4A11/CYP2C19",4,"Upres_DEq_MS_D_vs_C"
"R-HSA-8978868","R-HSA-8978868","Fatty acid metabolism","6/62","161/10173",0.0372670807453416,6.11480665197355,5.12252048912816,0.000423229094695239,0.0109193106431372,0.00971199396248023,"FASN/CYP2C9/CYP2C8/CYP4A11/CYP2C19/THRSP",6,"Upres_DEq_MS_D_vs_C"
"R-HSA-174824","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","4/62","62/10173",0.0645161290322581,10.585848074922,5.92831533768352,0.000535642872024707,0.0125632600893068,0.0111741766604197,"APOA5/APOC1/APOC4/LIPC",4,"Upres_DEq_MS_D_vs_C"
"R-HSA-8964043","R-HSA-8964043","Plasma lipoprotein clearance","3/62","28/10173",0.107142857142857,17.580069124424,6.87925316221171,0.000633543796749843,0.0136211916301216,0.0121151357624093,"APOC1/APOC4/LIPC",3,"Upres_DEq_MS_D_vs_C"
"R-HSA-2173782","R-HSA-2173782","Binding and Uptake of Ligands by Scavenger Receptors","3/62","35/10173",0.0857142857142857,14.0640552995392,6.06230600215507,0.00122791197643698,0.0243693299939032,0.0216748834707095,"CD163/SAA1/HBB",3,"Upres_DEq_MS_D_vs_C"
"R-HSA-9024446","R-HSA-9024446","NR1H2 and NR1H3-mediated signaling","3/62","38/10173",0.0789473684210526,12.9537351443124,5.78076768064232,0.00156226261654949,0.0287902682192692,0.0256070113088563,"FASN/APOC1/APOC4",3,"Upres_DEq_MS_D_vs_C"
"R-HSA-2168880","R-HSA-2168880","Scavenging of heme from plasma","2/62","11/10173",0.181818181818182,29.8328445747801,7.49197299851138,0.00194022800568059,0.0333719216977061,0.0296820845781311,"CD163/HBB",2,"Upres_DEq_MS_D_vs_C"
