"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BM1","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.9125893115997,14.3268321752548,-211.65799355104,1.96116153652088e-15,1.59128647073304e-11,23.6409062128652,"MX1_HUMAN",43,-265.185168300547,3.03920426605774e-17,2.46601034147925e-13,-0.052403926849351,"Non-significant",12.6080051064759,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-5.31357502937318,13.6099389791489,-178.06180585305,7.16530166475609e-15,2.90696288539155e-11,23.0993131360686,"IFIT2_HUMAN",29,-204.616650108086,2.48177701617257e-16,1.00685693546121e-12,0.056510448455775,"Non-significant",11.9970322340678,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-4.90992450714112,12.3542747497559,-158.997205572275,1.6745702400988e-14,4.52915430938722e-11,22.6786467266678,"OAS2_HUMAN",31,-183.42152756295,6.0167533036755e-16,1.62733121020077e-12,-0.0862872600555757,"Non-significant",11.7885240462497,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-5.22026896476747,13.3718351125717,-151.308437930895,2.42806759293172e-14,4.925335112262e-11,22.4775580153866,"IFIT1_HUMAN",34,-172.475601517793,9.90297353746996e-16,2.00881818207578e-12,-0.146232843399076,"Non-significant",11.6970593694213,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-3.08996868133545,14.9357562065124,-119.772839916064,1.3997472947708e-13,1.89292492496171e-10,21.38966513485,"STAT1_HUMAN",41,-154.888215061516,2.36595983129942e-15,3.83947961423269e-12,-0.419595241546624,"Non-significant",11.4157276339611,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-4.97750782966613,14.9593352079391,-138.120125981104,4.80981773134701e-14,7.80537221442993e-11,22.0803649662731,"ISG15_HUMAN",15,-133.851296066849,7.7149295537908e-15,1.04331563999098e-11,-0.1142528057098,"Non-significant",10.9815842822078,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-4.91665434837345,13.6198393106461,-115.197613448163,1.87419162188225e-13,2.1724558314218e-10,21.1864260910838,"IFIT3_HUMAN",30,-125.788721994016,1.27579917170299e-14,1.47883349702829e-11,-0.111468315124476,"Non-significant",10.8300807207918,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-3.28047227859498,10.6712806224823,-101.560281965671,4.817928383966e-13,3.90926709075001e-10,20.4882707310419,"IFIH1_HUMAN",45,-121.073569190642,1.73826522298403e-14,1.76303550241156e-11,0.210439682006834,"Non-significant",10.7537389421838,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-2.87685871124268,13.3827188014984,-85.2063735223774,1.79532827047303e-12,1.12056104512448e-09,19.4193533898278,"RIGI_HUMAN",56,-101.898540779644,7.01931746342453e-14,6.32830465535851e-11,-0.257910966873174,"Non-significant",10.1987126213315,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-2.61383390426637,10.7885456085205,-88.3384409965321,1.36993222580559e-12,9.26302506682215e-10,19.647620255847,"GBP4_HUMAN",27,-100.226075906333,8.02546011110115e-14,6.51185833414747e-11,-0.649173974990848,"Up in BD",10.1862950561175,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
-2.55233454704282,11.4623795747757,-81.3731262573496,2.53448722379325e-12,1.46508672252282e-09,19.1223437525448,"SLFN5_HUMAN",37,-95.8287862101931,1.15392203574411e-13,8.17630591072172e-11,-0.285770416259775,"Non-significant",10.0874428680835,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-4.13767981529234,11.5164285898209,-109.622982903057,2.71798470360893e-13,2.45041420945365e-10,20.9188716117373,"ISG20_HUMAN",11,-95.2762130217897,1.20921457885951e-13,8.17630591072172e-11,-0.174060821533226,"Non-significant",10.0874428680835,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-2.86611700057985,13.2984549999237,-111.41406849998,2.40714697408277e-13,2.44144881846345e-10,21.0073512848165,"UB2L6_HUMAN",12,-88.6319530836398,2.17058290427293e-13,1.35477766809774e-10,-0.0534512996673584,"Non-significant",9.8681319707976,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
-1.9478707313538,12.1804883480072,-78.0713261351577,3.4564548876547e-12,1.75285468490189e-09,18.8496249708038,"5NT3A_HUMAN",23,-87.0777217667198,2.50467859900903e-13,1.45042818664927e-10,-0.173818826675376,"Non-significant",9.83850376904265,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
-3.81325697898864,10.5535351037979,-80.6551429158824,2.70844230192781e-12,1.46508672252282e-09,19.0644194083402,"CMPK2_HUMAN",26,-86.3473732976588,2.68134370221088e-13,1.45042818664927e-10,0.0626852512359619,"Non-significant",9.83850376904265,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-2.20899677276612,11.6942100524902,-75.312258837494,4.52541794063546e-12,2.15995536295977e-09,18.6087384579056,"TAP1_HUMAN",24,-83.219387348762,3.61426648019214e-13,1.83288488876744e-10,-0.469954490661651,"Non-significant",9.73686480931106,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
-1.7973313331604,12.3678238391876,-62.6476832076625,1.79613906319237e-11,6.81351720878778e-09,17.3237073108134,"PML_HUMAN",44,-77.822762549632,6.21740667661504e-13,2.96753163376791e-10,-0.0657668113708461,"Non-significant",9.52760464278698,"PML","Protein PML","PML_HUMAN"
