"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.14748231569928,13.77590574537,-165.606718625881,6.62880645510048e-13,5.37861355766853e-09,18.8649913339086,"IFIT1_HUMAN",34,-205.767340661866,1.14243769350398e-14,9.26973944509132e-11,0.0288430849711325,"Non-significant",10.0329324728835,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-6.04823430379231,14.6910264151437,-144.887127306413,1.56388739823465e-12,6.34469117463798e-09,18.4618412613323,"MX1_HUMAN",43,-170.61418381845,4.31910001594419e-14,1.73022800637347e-10,0.147347291310613,"Non-significant",9.76189666254457,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-4.925211429596,13.9673615864345,-135.574820116499,2.39589625556281e-12,6.38311638978093e-09,18.2373803195503,"IFIT3_HUMAN",30,-156.22864613656,8.0711513196884e-14,1.73022800637347e-10,-0.018893082936609,"Non-significant",9.76189666254457,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-3.11023489634198,12.5688423429217,-107.382344391273,1.07039311816136e-11,1.17027856827148e-08,17.3208114249756,"TSP1_HUMAN",50,-155.017423655271,8.52959332695821e-14,1.73022800637347e-10,-0.0468463897705522,"Non-significant",9.76189666254457,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-3.15581734975177,15.1282473972866,-109.181373957332,9.62094047930591e-12,1.17027856827148e-08,17.3927206585568,"STAT1_HUMAN",41,-148.93776069377,1.13308369856886e-13,1.83876822603754e-10,-0.302763779958074,"Non-significant",9.73547300947676,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-4.93873421351115,12.6926366261074,-117.750378170443,5.92296414123711e-12,9.61178620839958e-09,17.7070930103247,"OAS2_HUMAN",31,-133.047412356495,2.52370969198897e-13,3.28654188020471e-10,-0.0386438369751012,"Non-significant",9.48326082916,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-3.38223457336427,10.8619876589094,-101.765340244535,1.51126125735293e-11,1.36248598246241e-08,17.0815316011278,"IFIH1_HUMAN",45,-130.882723937698,2.83532082344503e-13,3.28654188020471e-10,0.0195604960123994,"Non-significant",9.48326082916,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-4.87151861190797,15.3602954319545,-129.939652583566,3.14671747092972e-12,6.38311638978093e-09,18.0854091167707,"ISG15_HUMAN",15,-120.091940936946,5.22169522387373e-13,5.29610438081393e-10,0.311541954676309,"Non-significant",9.27604346398286,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-5.31342601776122,13.9895439147949,-106.134092661897,1.15383639957751e-11,1.17027856827148e-08,17.2696115711578,"IFIT2_HUMAN",29,-116.446848646975,6.49845422673587e-13,5.8587175106372e-10,-0.216750224431358,"Non-significant",9.2321974418336,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-2.84313416481016,13.6026620864868,-83.2455951172206,5.48680129201869e-11,4.04726415303997e-08,16.0995102322074,"RIGI_HUMAN",56,-109.409612363075,1.0114112006851e-12,8.20659048235888e-10,-0.408572634061181,"Non-significant",9.08583723779513,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
