"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033700","GO:0033700","phospholipid efflux","4/21","14/18614",1.18936591827525e-09,8.82509511360233e-07,5.54620107153615e-07,"345/335/344/341",4
"GO:0034368","GO:0034368","protein-lipid complex remodeling","4/21","30/18614",3.21832610462454e-08,6.12635183896846e-06,3.85015443986811e-06,"345/335/344/341",4
"GO:0034369","GO:0034369","plasma lipoprotein particle remodeling","4/21","30/18614",3.21832610462454e-08,6.12635183896846e-06,3.85015443986811e-06,"345/335/344/341",4
"GO:0034367","GO:0034367","protein-containing complex remodeling","4/21","32/18614",4.21681644990971e-08,6.12635183896846e-06,3.85015443986811e-06,"345/335/344/341",4
"GO:0016042","GO:0016042","lipid catabolic process","7/21","330/18614",4.85239077387559e-08,6.12635183896846e-06,3.85015443986811e-06,"3248/345/4758/344/5105/341/63874",7
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","7/21","331/18614",4.95392331992059e-08,6.12635183896846e-06,3.85015443986811e-06,"2330/130013/345/27232/335/344/341",7
"GO:0019216","GO:0019216","regulation of lipid metabolic process","7/21","344/18614",6.4469327967097e-08,6.83374876451229e-06,4.29472365254496e-06,"2330/3248/345/335/344/5105/341",7
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","6/21","220/18614",1.19134609121768e-07,1.1049734996044e-05,6.94429366328199e-06,"2628/130013/2194/345/344/341",6
"GO:0071827","GO:0071827","plasma lipoprotein particle organization","4/21","46/18614",1.89407930847642e-07,1.56156316321056e-05,9.81376764508835e-06,"345/335/344/341",4
"GO:0071825","GO:0071825","protein-lipid complex subunit organization","4/21","49/18614",2.45384218202099e-07,1.67248752391614e-05,1.05108805943375e-05,"345/335/344/341",4
"GO:0034370","GO:0034370","triglyceride-rich lipoprotein particle remodeling","3/21","12/18614",2.70483157506654e-07,1.67248752391614e-05,1.05108805943375e-05,"345/335/344",3
"GO:0034372","GO:0034372","very-low-density lipoprotein particle remodeling","3/21","12/18614",2.70483157506654e-07,1.67248752391614e-05,1.05108805943375e-05,"345/335/344",3
"GO:0034381","GO:0034381","plasma lipoprotein particle clearance","4/21","55/18614",3.93262957355358e-07,2.24462395659751e-05,1.41065174176861e-05,"345/335/344/341",4
"GO:0050994","GO:0050994","regulation of lipid catabolic process","4/21","61/18614",5.99103790345831e-07,3.1752500888329e-05,1.99551112122709e-05,"3248/345/344/341",4
"GO:0034375","GO:0034375","high-density lipoprotein particle remodeling","3/21","16/18614",6.86507173100144e-07,3.39592214960205e-05,2.13419422935694e-05,"345/335/341",3
"GO:0034384","GO:0034384","high-density lipoprotein particle clearance","3/21","18/18614",9.98888411042397e-07,4.60580766420073e-05,2.89455638422602e-05,"345/335/344",3
"GO:0033344","GO:0033344","cholesterol efflux","4/21","71/18614",1.10733156728563e-06,4.60580766420073e-05,2.89455638422602e-05,"345/335/344/341",4
"GO:0055088","GO:0055088","lipid homeostasis","5/21","172/18614",1.14723802450717e-06,4.60580766420073e-05,2.89455638422602e-05,"345/335/344/63874/5424",5
"GO:0051004","GO:0051004","regulation of lipoprotein lipase activity","3/21","19/18614",1.18531963108521e-06,4.60580766420073e-05,2.89455638422602e-05,"345/344/341",3
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","6/21","328/18614",1.24145759142877e-06,4.60580766420073e-05,2.89455638422602e-05,"2628/130013/2194/345/344/341",6
"GO:0016053","GO:0016053","organic acid biosynthetic process","6/21","331/18614",1.30896747053961e-06,4.62501839590661e-05,2.90662952104785e-05,"2628/130013/2194/345/344/341",6
"GO:0043691","GO:0043691","reverse cholesterol transport","3/21","20/18614",1.39348223874372e-06,4.699835550672e-05,2.95364895580606e-05,"345/335/344",3
"GO:0010985","GO:0010985","negative regulation of lipoprotein particle clearance","3/21","21/18614",1.62455012204326e-06,5.05255128863695e-05,3.17531596093938e-05,"345/344/341",3
"GO:0032371","GO:0032371","regulation of sterol transport","4/21","79/18614",1.70234207838172e-06,5.05255128863695e-05,3.17531596093938e-05,"345/335/344/341",4
"GO:0032374","GO:0032374","regulation of cholesterol transport","4/21","79/18614",1.70234207838172e-06,5.05255128863695e-05,3.17531596093938e-05,"345/335/344/341",4
"GO:0097006","GO:0097006","regulation of plasma lipoprotein particle levels","4/21","87/18614",2.50722894838468e-06,7.15524569115936e-05,4.49677094791261e-05,"345/335/344/341",4
"GO:0046486","GO:0046486","glycerolipid metabolic process","6/21","385/18614",3.14137727591014e-06,8.38542661243469e-05,5.26988791219828e-05,"345/335/344/5105/341/63874",6
"GO:0034377","GO:0034377","plasma lipoprotein particle assembly","3/21","26/18614",3.16431192922064e-06,8.38542661243469e-05,5.26988791219828e-05,"345/335/341",3
"GO:0006631","GO:0006631","fatty acid metabolic process","6/21","394/18614",3.58912101982895e-06,9.18319929901061e-05,5.77125448923493e-05,"3248/2194/345/344/5105/341",6
"GO:0044242","GO:0044242","cellular lipid catabolic process","5/21","222/18614",4.01710574433551e-06,9.93564154098983e-05,6.24413278856362e-05,"345/4758/344/5105/341",5
"GO:0006641","GO:0006641","triglyceride metabolic process","4/21","100/18614",4.37500476514205e-06,0.00010289235606938,6.46635178588956e-05,"345/344/5105/341",4
"GO:0065005","GO:0065005","protein-lipid complex assembly","3/21","29/18614",4.43740619167139e-06,0.00010289235606938,6.46635178588956e-05,"345/335/341",3
"GO:0032372","GO:0032372","negative regulation of sterol transport","3/21","30/18614",4.9268754061853e-06,0.000107521810334985,6.7572935137464e-05,"345/344/341",3
"GO:0032375","GO:0032375","negative regulation of cholesterol transport","3/21","30/18614",4.9268754061853e-06,0.000107521810334985,6.7572935137464e-05,"345/344/341",3
"GO:0015914","GO:0015914","phospholipid transport","4/21","104/18614",5.11523904851016e-06,0.000108443067828415,6.81519067215038e-05,"345/335/344/341",4
"GO:0048259","GO:0048259","regulation of receptor-mediated endocytosis","4/21","115/18614",7.62913764502165e-06,0.000157245003683502,9.88218706650465e-05,"345/344/341/7018",4
"GO:0010984","GO:0010984","regulation of lipoprotein particle clearance","3/21","36/18614",8.6268693556979e-06,0.000168450975313891,0.000105864352481279,"345/344/341",3
"GO:0048261","GO:0048261","negative regulation of receptor-mediated endocytosis","3/21","36/18614",8.6268693556979e-06,0.000168450975313891,0.000105864352481279,"345/344/341",3
"GO:0030301","GO:0030301","cholesterol transport","4/21","124/18614",1.02845735626686e-05,0.000195670604705131,0.000122970744622462,"345/335/344/341",4
"GO:0006639","GO:0006639","acylglycerol metabolic process","4/21","128/18614",1.1661017013141e-05,0.000216311865593765,0.000135942908863722,"345/344/5105/341",4
"GO:0006638","GO:0006638","neutral lipid metabolic process","4/21","129/18614",1.20253600362377e-05,0.000217629686509472,0.000136771103878133,"345/344/5105/341",4
"GO:0055090","GO:0055090","acylglycerol homeostasis","3/21","42/18614",1.38104054036126e-05,0.000238309786266989,0.000149767676714819,"345/335/344",3
"GO:0070328","GO:0070328","triglyceride homeostasis","3/21","42/18614",1.38104054036126e-05,0.000238309786266989,0.000149767676714819,"345/335/344",3
"GO:0010565","GO:0010565","regulation of cellular ketone metabolic process","4/21","135/18614",1.4390635131818e-05,0.000242678437904749,0.000152513190511851,"130013/345/344/341",4
"GO:0015918","GO:0015918","sterol transport","4/21","138/18614",1.56940104317213e-05,0.000258776794229716,0.000162630330321697,"345/335/344/341",4
"GO:0032369","GO:0032369","negative regulation of lipid transport","3/21","47/18614",1.94359669725353e-05,0.000313510597687417,0.000197028223543092,"345/344/341",3
