"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006953","GO:0006953","acute-phase response","5/35","48/18614",2.81889723813265e-08,2.95702320280115e-05,2.09488573697016e-05,"3240/7037/5345/197/3929",5
"GO:0002526","GO:0002526","acute inflammatory response","6/35","114/18614",6.4901686899215e-08,3.40409347786383e-05,2.41161005004452e-05,"3240/7037/5345/197/3929/8876",6
"GO:0034341","GO:0034341","response to type II interferon","5/35","139/18614",5.85656181469876e-06,0.002047844447873,0.00145078338286924,"7431/10410/684/140885/6364",5
"GO:0032967","GO:0032967","positive regulation of collagen biosynthetic process","3/35","27/18614",1.72700865427489e-05,0.00401607113082247,0.00284516202735504,"7431/5345/3673",3
"GO:0010714","GO:0010714","positive regulation of collagen metabolic process","3/35","28/18614",1.93175796991444e-05,0.00401607113082247,0.00284516202735504,"7431/5345/3673",3
"GO:0042742","GO:0042742","defense response to bacterium","6/35","314/18614",2.36091395133355e-05,0.00401607113082247,0.00284516202735504,"3240/3929/6372/306/4353/6364",6
"GO:0045785","GO:0045785","positive regulation of cell adhesion","7/35","482/18614",2.67993307109221e-05,0.00401607113082247,0.00284516202735504,"6385/7037/5345/3673/8754/8876/140885",7
"GO:0032496","GO:0032496","response to lipopolysaccharide","6/35","345/18614",4.00132323536569e-05,0.00524673509237326,0.00371701868969497,"7431/3929/6372/8754/140885/4353",6
"GO:0002237","GO:0002237","response to molecule of bacterial origin","6/35","366/18614",5.55910795214776e-05,0.0058948583514486,0.00417617780956571,"7431/3929/6372/8754/140885/4353",6
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","5/35","224/18614",5.83708297948526e-05,0.0058948583514486,0.00417617780956571,"7431/3929/6372/8754/140885",5
"GO:0032965","GO:0032965","regulation of collagen biosynthetic process","3/35","41/18614",6.18145299007956e-05,0.0058948583514486,0.00417617780956571,"7431/5345/3673",3
"GO:0006909","GO:0006909","phagocytosis","5/35","236/18614",7.47307662717291e-05,0.00615187232121831,0.00435825784835696,"197/3929/3673/306/140885",5
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","5/35","237/18614",7.62386464974624e-05,0.00615187232121831,0.00435825784835696,"7431/3929/6372/8754/140885",5
"GO:0010712","GO:0010712","regulation of collagen metabolic process","3/35","46/18614",8.74597050735251e-05,0.00655323075872342,0.004642597878339,"7431/5345/3673",3
"GO:0050727","GO:0050727","regulation of inflammatory response","6/35","414/18614",0.000109686844448429,0.00767076665509344,0.00543430962670811,"3371/197/27293/3929/3673/140885",6
"GO:0032964","GO:0032964","collagen biosynthetic process","3/35","51/18614",0.000119213309760175,0.0078143173374753,0.00553600726532292,"7431/5345/3673",3
"GO:0071216","GO:0071216","cellular response to biotic stimulus","5/35","264/18614",0.000126638126536778,0.0078143173374753,0.00553600726532292,"7431/3929/6372/8754/140885",5
"GO:0006979","GO:0006979","response to oxidative stress","6/35","434/18614",0.000141947969017854,0.00827241219442935,0.00586054187874881,"3240/8754/8876/140885/4353/761",6
"GO:0046718","GO:0046718","viral entry into host cell","4/35","153/18614",0.000188438696117295,0.010403799590897,0.00737051077334128,"7037/3673/10410/6317",4
"GO:0044409","GO:0044409","entry into host","4/35","160/18614",0.000223663246399788,0.0117311372736689,0.0083108553662237,"7037/3673/10410/6317",4
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","5/35","313/18614",0.00027939446315373,0.0139564186594411,0.00988734290659317,"7037/3673/10410/6372/6317",5
"GO:0019058","GO:0019058","viral life cycle","5/35","320/18614",0.000309356368707295,0.0147506741260888,0.0104500285314522,"7037/3673/10410/684/6317",5
"GO:0050766","GO:0050766","positive regulation of phagocytosis","3/35","73/18614",0.000346102799834645,0.0155228421569289,0.0109970664420167,"197/3673/140885",3
"GO:0002679","GO:0002679","respiratory burst involved in defense response","2/35","15/18614",0.000355146055067962,0.0155228421569289,0.0109970664420167,"3929/4353",2
"GO:0044000","GO:0044000","movement in host","4/35","185/18614",0.000388674418633304,0.0163087786058534,0.0115538585075837,"7037/3673/10410/6317",4
"GO:0035455","GO:0035455","response to interferon-alpha","2/35","18/18614",0.000515668373793389,0.0208052355426641,0.0147393470404102,"10410/684",2
