"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043236","GO:0043236","laminin binding","4/35","28/18369",2.188525648562e-07,2.6262307782744e-05,1.4052638374977e-05,"375790/3673/2817/8754",4
"GO:0050840","GO:0050840","extracellular matrix binding","4/35","55/18369",3.51490432937696e-06,0.000210894259762618,0.000112846928469471,"375790/3673/2817/8754",4
"GO:0043394","GO:0043394","proteoglycan binding","3/35","36/18369",4.3335752045174e-05,0.00173343008180696,0.000927537149037057,"3371/375790/3673",3
"GO:0098631","GO:0098631","cell adhesion mediator activity","3/35","62/18369",0.00022188834064786,0.00524545113169163,0.00280677648274728,"6282/3673/140885",3
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","4/35","173/18369",0.000316768700350555,0.00524545113169163,0.00280677648274728,"5345/197/684/6317",4
"GO:0004089","GO:0004089","carbonate dehydratase activity","2/35","15/18369",0.000364608415089726,0.00524545113169163,0.00280677648274728,"771/761",2
"GO:0030414","GO:0030414","peptidase inhibitor activity","4/35","180/18369",0.000368250002557686,0.00524545113169163,0.00280677648274728,"5345/197/684/6317",4
"GO:0001618","GO:0001618","virus receptor activity","3/35","77/18369",0.000420856705510557,0.00524545113169163,0.00280677648274728,"7037/3673/6317",3
"GO:0061135","GO:0061135","endopeptidase regulator activity","4/35","187/18369",0.000425470816833745,0.00524545113169163,0.00280677648274728,"5345/197/684/6317",4
"GO:0140272","GO:0140272","exogenous protein binding","3/35","78/18369",0.000437120927640969,0.00524545113169163,0.00280677648274728,"7037/3673/6317",3
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","2/35","18/18369",0.000529382627386861,0.00555740657680347,0.00297370001039484,"375790/3673",2
"GO:0004857","GO:0004857","enzyme inhibitor activity","5/35","359/18369",0.000555740657680347,0.00555740657680347,0.00297370001039484,"5345/197/306/684/6317",5
"GO:0061134","GO:0061134","peptidase regulator activity","4/35","230/18369",0.000924452753679461,0.00853341003396425,0.0045661229129107,"5345/197/684/6317",4
"GO:0005125","GO:0005125","cytokine activity","4/35","235/18369",0.0010012979655823,0.0085825539907054,0.00459241924064061,"9518/6372/649/6364",4
"GO:1901681","GO:1901681","sulfur compound binding","4/35","269/18369",0.00164752689966693,0.0131802151973355,0.00705257128980231,"375790/3673/6372/4353",4
"GO:0005080","GO:0005080","protein kinase C binding","2/35","49/18369",0.00392107251604865,0.027678158936814,0.0148102429398741,"6385/8754",2
"GO:0008009","GO:0008009","chemokine activity","2/35","49/18369",0.00392107251604865,0.027678158936814,0.0148102429398741,"6372/6364",2
"GO:0098632","GO:0098632","cell-cell adhesion mediator activity","2/35","51/18369",0.00424103821788387,0.0282735881192258,0.0151288497830945,"6282/140885",2
"GO:0004869","GO:0004869","cysteine-type endopeptidase inhibitor activity","2/35","54/18369",0.00474295218233803,0.0299554874673981,0.0160288134693972,"197/6317",2
"GO:0016836","GO:0016836","hydro-lyase activity","2/35","62/18369",0.00620814967003869,0.0341687701058542,0.0182832892671676,"771/761",2
"GO:0048306","GO:0048306","calcium-dependent protein binding","2/35","62/18369",0.00620814967003869,0.0341687701058542,0.0182832892671676,"6282/306",2
"GO:0016829","GO:0016829","lyase activity","3/35","198/18369",0.0062642745194066,0.0341687701058542,0.0182832892671676,"80146/771/761",3
"GO:0005518","GO:0005518","collagen binding","2/35","66/18369",0.00700858142106504,0.0365665117620785,0.019566291381463,"3673/8754",2
"GO:0003725","GO:0003725","double-stranded RNA binding","2/35","70/18369",0.00785331612611549,0.0392665806305774,0.0210110650742563,"7431/7037",2
"GO:0042379","GO:0042379","chemokine receptor binding","2/35","74/18369",0.00874167368116592,0.0419600336695964,0.0224522987179419,"6372/6364",2
"GO:0016835","GO:0016835","carbon-oxygen lyase activity","2/35","77/18369",0.00943616431791964,0.0429552866927936,0.0229848463882492,"771/761",2
"GO:0005539","GO:0005539","glycosaminoglycan binding","3/35","232/18369",0.00966493950587857,0.0429552866927936,0.0229848463882492,"375790/6372/4353",3
"GO:0016209","GO:0016209","antioxidant activity","2/35","82/18369",0.0106465731942422,0.0456281708324668,0.0244150738664954,"3240/4353",2
