"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","14/59","108/10955",3.16990877657503e-16,9.89011538291409e-14,7.07390169088322e-14,"2243/3698/2335/116519/2266/348/4148/2719/174/6694/7018/335/336/197",14
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","14/59","125/10955",2.60174435255619e-15,4.05872118998766e-13,2.90299896179954e-13,"2243/3698/2335/116519/2266/348/4148/2719/174/6694/7018/335/336/197",14
"R-HSA-114608","R-HSA-114608","Platelet degranulation ","13/59","129/10955",1.15790767035927e-13,1.20422397717364e-11,8.61320793390053e-12,"7057/2243/2335/2266/2244/2162/5345/6694/83706/7018/335/197/5341",13
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","13/59","134/10955",1.90668503558146e-13,1.48721432775354e-11,1.0637295461665e-11,"7057/2243/2335/2266/2244/2162/5345/6694/83706/7018/335/197/5341",13
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","9/59","85/10955",6.05759570135647e-10,3.77993971764644e-08,2.70360060776331e-08,"7057/2243/2335/2266/2244/1291/80781/375790/4060",9
"R-HSA-8963901","R-HSA-8963901","Chylomicron remodeling","5/59","10/10955",9.40804021476315e-10,4.41362641286621e-08,3.15684480272482e-08,"116519/348/335/336/344",5
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","13/59","263/10955",9.90236695194342e-10,4.41362641286621e-08,3.15684480272482e-08,"7057/2243/2335/2266/2244/2162/5345/6694/83706/7018/335/197/5341",13
"R-HSA-975634","R-HSA-975634","Retinoid metabolism and transport","7/59","44/10955",2.98823259474428e-09,1.16541071195027e-07,8.33559618533929e-08,"348/2719/375790/335/336/55937/344",7
"R-HSA-6806667","R-HSA-6806667","Metabolism of fat-soluble vitamins","7/59","48/10955",5.64668016329773e-09,1.95751578994321e-07,1.40011250832646e-07,"348/2719/375790/335/336/55937/344",7
"R-HSA-8963899","R-HSA-8963899","Plasma lipoprotein remodeling","6/59","34/10955",2.24986909212586e-08,7.01959156743269e-07,5.02076050032298e-07,"116519/348/4018/335/336/344",6
"R-HSA-8963898","R-HSA-8963898","Plasma lipoprotein assembly","5/59","19/10955",4.1832464302822e-08,1.18652080568004e-06,8.48658605951988e-07,"348/335/336/341/344",5
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","12/59","300/10955",5.0557644577304e-08,1.3144987590099e-06,9.40194793893723e-07,"7057/2243/2335/2266/2244/1291/80781/4148/375790/4060/2192/2331",12
"R-HSA-174824","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","7/59","75/10955",1.36018397794525e-07,3.26444154706859e-06,2.33489071517726e-06,"116519/348/4018/335/336/341/344",7
"R-HSA-8963888","R-HSA-8963888","Chylomicron assembly","4/59","10/10955",1.55547191014536e-07,3.46648025689538e-06,2.47939883421667e-06,"348/335/336/344",4
"R-HSA-354194","R-HSA-354194","GRB2:SOS provides linkage to MAPK signaling for Integrins ","4/59","15/10955",9.90922529295628e-07,1.93229893212647e-05,1.38207615928074e-05,"2243/2335/2266/2244",4
"R-HSA-372708","R-HSA-372708","p130Cas linkage to MAPK signaling for integrins","4/59","15/10955",9.90922529295628e-07,1.93229893212647e-05,1.38207615928074e-05,"2243/2335/2266/2244",4
"R-HSA-2187338","R-HSA-2187338","Visual phototransduction","7/59","106/10955",1.46759006859521e-06,2.69345942001003e-05,1.92649594143767e-05,"348/2719/375790/335/336/55937/344",7
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","6/59","76/10955",3.07149127562145e-06,5.32391821107718e-05,3.80793070427922e-05,"2335/1291/4148/375790/4060/2331",6
"R-HSA-140875","R-HSA-140875","Common Pathway of Fibrin Clot Formation","4/59","22/10955",5.16295280607468e-06,8.47811197629105e-05,6.06396673068051e-05,"2243/2266/2244/2162",4
"R-HSA-196854","R-HSA-196854","Metabolism of vitamins and cofactors","8/59","191/10955",7.64171388344429e-06,0.000119210736581731,8.52654391205363e-05,"348/2719/375790/2194/335/336/55937/344",8
"R-HSA-3781865","R-HSA-3781865","Diseases of glycosylation","7/59","143/10955",1.07868679545928e-05,0.000160262038182521,0.000114627368740535,"7057/2719/375790/4060/2331/4758/11041",7
"R-HSA-354192","R-HSA-354192","Integrin signaling","4/59","27/10955",1.2140458270798e-05,0.000172173771840408,0.000123147232220534,"2243/2335/2266/2244",4
"R-HSA-8964058","R-HSA-8964058","HDL remodeling","3/59","10/10955",1.73357875415699e-05,0.000235163726650861,0.000168200776147039,"348/335/344",3
"R-HSA-6802948","R-HSA-6802948","Signaling by high-kinase activity BRAF mutants","4/59","36/10955",3.93019630249427e-05,0.000510925519324255,0.000365439305319642,"2243/2335/2266/2244",4
"R-HSA-5668914","R-HSA-5668914","Diseases of metabolism","8/59","249/10955",5.1834284543059e-05,0.000626563696161795,0.000448149472288463,"7057/2719/2328/375790/4060/2331/4758/11041",8
"R-HSA-140877","R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","4/59","39/10955",5.42218583216938e-05,0.000626563696161795,0.000448149472288463,"2243/2266/2244/2162",4
"R-HSA-76009","R-HSA-76009","Platelet Aggregation (Plug Formation)","4/59","39/10955",5.42218583216938e-05,0.000626563696161795,0.000448149472288463,"2243/2335/2266/2244",4
"R-HSA-5674135","R-HSA-5674135","MAP2K and MAPK activation","4/59","40/10955",6.00052538770044e-05,0.000668629971772335,0.000478237361726502,"2243/2335/2266/2244",4
"R-HSA-3560782","R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","4/59","41/10955",6.62260683505828e-05,0.000712501149151097,0.000509616206545319,"2719/375790/4060/2331",4
"R-HSA-9656223","R-HSA-9656223","Signaling by RAF1 mutants","4/59","43/10955",8.00597378140286e-05,0.000832621273265898,0.000595532084792073,"2243/2335/2266/2244",4
"R-HSA-9749641","R-HSA-9749641","Aspirin ADME","4/59","44/10955",8.77131958164585e-05,0.000882790874023712,0.000631415874807783,"1559/1576/1558/11309",4
"R-HSA-5602498","R-HSA-5602498","MyD88 deficiency (TLR2/4)","3/59","17/10955",9.56339544812711e-05,0.000891709973210177,0.00063779525749176,"2243/2266/2244",3
"R-HSA-9018677","R-HSA-9018677","Biosynthesis of DHA-derived SPMs","3/59","17/10955",9.56339544812711e-05,0.000891709973210177,0.00063779525749176,"1559/1576/1558",3
"R-HSA-6802946","R-HSA-6802946","Signaling by moderate kinase activity BRAF mutants","4/59","47/10955",0.000113869351163758,0.000891709973210177,0.00063779525749176,"2243/2335/2266/2244",4
"R-HSA-6802949","R-HSA-6802949","Signaling by RAS mutants","4/59","47/10955",0.000113869351163758,0.000891709973210177,0.00063779525749176,"2243/2335/2266/2244",4
"R-HSA-6802955","R-HSA-6802955","Paradoxical activation of RAF signaling by kinase inactive BRAF","4/59","47/10955",0.000113869351163758,0.000891709973210177,0.00063779525749176,"2243/2335/2266/2244",4
