"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","11/30","167/18369",1.18304073135846e-15,1.25402317523996e-13,6.22653016504451e-14,"7057/2243/2335/2244/2266/375790/1291/4148/2192/4060/2331",11
"GO:0061134","GO:0061134","peptidase regulator activity","8/30","230/18369",2.46929879808441e-09,9.34054934706361e-08,4.63781000350725e-08,"3698/5176/2335/727/5858/2719/2192/4018",8
"GO:0005539","GO:0005539","glycosaminoglycan binding","8/30","232/18369",2.64355170199913e-09,9.34054934706361e-08,4.63781000350725e-08,"7057/3698/2335/375790/116519/338/348/4018",8
"GO:1901681","GO:1901681","sulfur compound binding","7/30","269/18369",2.0391063101208e-07,5.40363172182011e-06,2.68303461857999e-06,"7057/2335/375790/116519/338/348/4018",7
"GO:0008201","GO:0008201","heparin binding","6/30","168/18369",2.64910666850137e-07,5.61610613722291e-06,2.7885333352646e-06,"7057/2335/116519/338/348/4018",6
"GO:0043394","GO:0043394","proteoglycan binding","4/30","36/18369",3.28280079464523e-07,5.79961473720657e-06,2.87964981986424e-06,"7057/2335/375790/348",4
"GO:0030414","GO:0030414","peptidase inhibitor activity","6/30","180/18369",3.9779096111609e-07,6.0236916969008e-06,2.99090948207587e-06,"3698/5176/727/5858/2719/4018",6
"GO:0005518","GO:0005518","collagen binding","4/30","66/18369",3.8823604359788e-06,5.14412757767191e-05,2.55418449735447e-05,"7057/2335/1291/4060",4
"GO:0050750","GO:0050750","low-density lipoprotein particle receptor binding","3/30","24/18369",7.77398926517641e-06,8.72852318892587e-05,4.33392412558385e-05,"116519/338/348",3
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","5/30","173/18369",8.23445583860931e-06,8.72852318892587e-05,4.33392412558385e-05,"3698/5176/727/5858/4018",5
"GO:0061135","GO:0061135","endopeptidase regulator activity","5/30","187/18369",1.20117488914574e-05,0.000115749580226771,5.74724827342459e-05,"3698/5176/727/5858/4018",5
"GO:0070325","GO:0070325","lipoprotein particle receptor binding","3/30","29/18369",1.39575149325036e-05,0.000123291381903781,6.12171707565946e-05,"116519/338/348",3
"GO:0001968","GO:0001968","fibronectin binding","3/30","31/18369",1.71321476781352e-05,0.000139692896452487,6.93609217738266e-05,"7057/2192/4018",3
"GO:0004857","GO:0004857","enzyme inhibitor activity","6/30","359/18369",2.13422252714882e-05,0.00016159113419841,8.02339295920607e-05,"3698/5176/727/5858/2719/4018",6
"GO:0005178","GO:0005178","integrin binding","4/30","151/18369",0.000101815418087545,0.000719495621151986,0.000357247081008931,"7057/2335/2192/83706",4
"GO:0016209","GO:0016209","antioxidant activity","3/30","82/18369",0.00031909881533518,0.00211402965159557,0.00104966715570783,"348/3040/55937",3
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","2/30","18/18369",0.000388152344927126,0.00242024403307502,0.00120171004621401,"375790/348",2
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","3/30","92/18369",0.000447537570944817,0.00263549902889725,0.00130858938872753,"3698/5176/5858",3
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","2/30","22/18369",0.000583658786007881,0.00309339156584177,0.00153594417370495,"4060/2331",2
"GO:0120020","GO:0120020","cholesterol transfer activity","2/30","22/18369",0.000583658786007881,0.00309339156584177,0.00153594417370495,"338/348",2
"GO:0120015","GO:0120015","sterol transfer activity","2/30","23/18369",0.00063859678997563,0.00322339332082937,0.00160049320795897,"338/348",2
"GO:0005543","GO:0005543","phospholipid binding","5/30","475/18369",0.00094529334429682,0.00437494331064128,0.00217226579475734,"7057/116519/338/348/55937",5
"GO:0043236","GO:0043236","laminin binding","2/30","28/18369",0.000949280152308957,0.00437494331064128,0.00217226579475734,"7057/375790",2
"GO:0071813","GO:0071813","lipoprotein particle binding","2/30","30/18369",0.00109021131394701,0.00462249597113533,0.00229518171357266,"7057/348",2
"GO:0071814","GO:0071814","protein-lipid complex binding","2/30","30/18369",0.00109021131394701,0.00462249597113533,0.00229518171357266,"7057/348",2
"GO:0015248","GO:0015248","sterol transporter activity","2/30","36/18369",0.00156934846832774,0.00639811298625926,0.00317681876179705,"338/348",2
"GO:0005319","GO:0005319","lipid transporter activity","3/30","169/18369",0.00258778962831039,0.010159470392626,0.00504442422672591,"338/348/55937",3
"GO:0016504","GO:0016504","peptidase activator activity","2/30","50/18369",0.0030085298924948,0.011389434593016,0.00565513137686992,"2335/2192",2
"GO:0120013","GO:0120013","lipid transfer activity","2/30","51/18369",0.00312815797532697,0.011433956737402,0.00567723770476763,"338/348",2
"GO:0050840","GO:0050840","extracellular matrix binding","2/30","55/18369",0.00362866051421323,0.0128212671502201,0.00636607107756707,"7057/375790",2
"GO:0051087","GO:0051087","chaperone binding","2/30","104/18369",0.0124557210306427,0.0425905299757461,0.021147234347441,"2335/2244",2
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","2/30","111/18369",0.0140978076552972,0.046698987858172,0.023187183643581,"375790/81027",2
"GO:0015924","GO:0015924","mannosyl-oligosaccharide mannosidase activity","1/30","10/18369",0.0162163001974953,0.0491122234552715,0.02438541383082,"4121",1
"GO:0031720","GO:0031720","haptoglobin binding","1/30","10/18369",0.0162163001974953,0.0491122234552715,0.02438541383082,"3040",1
"GO:0035374","GO:0035374","chondroitin sulfate binding","1/30","10/18369",0.0162163001974953,0.0491122234552715,0.02438541383082,"375790",1
"GO:0002162","GO:0002162","dystroglycan binding","1/30","11/18369",0.0178238774617295,0.0497192371300876,0.0246868108888221,"375790",1
"GO:0034511","GO:0034511","U3 snoRNA binding","1/30","11/18369",0.0178238774617295,0.0497192371300876,0.0246868108888221,"3669",1
"GO:0048407","GO:0048407","platelet-derived growth factor binding","1/30","11/18369",0.0178238774617295,0.0497192371300876,0.0246868108888221,"1291",1
