"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL_vs_CTRL.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc"
-1.75195634115345,16.05,-9.63611596772245,1.08641370837227e-05,0.0103317943666203,3.92823776589698,"A0A6Q8PFV8_HUMAN",1,-8.82960878788159,1.82387354476926e-05,0.0169973985702331,1.75,"Up in CTRL.myr",1.77,"GNB4","Guanine nucleotide-binding protein subunit beta-4"
-1.58693677299705,19.71,-7.74394492937238,5.38877156533563e-05,0.0127284991028575,2.46521975264763,"CNN2_HUMAN",1,-7.23368706266571,7.90002022401875e-05,0.0169973985702331,1.59,"Up in CTRL.myr",1.77,"CNN2","Calponin-2"
-1.53475412538444,17.15,-8.59102340189176,2.53830286278705e-05,0.0120696301125524,3.16494445459086,"F8VZY6_HUMAN",1,-7.84714541262799,4.37363536147948e-05,0.0169973985702331,1.53,"Up in CTRL.myr",1.77,"CDK17","Cyclin-dependent kinase 17 (Fragment)"
-2.15243626882631,15.08,-7.32278516251581,8.03059880306464e-05,0.0127284991028575,2.0869379805903,"GBRA6_HUMAN",1,-7.11054523191945,8.93659230821932e-05,0.0169973985702331,2.15,"Up in CTRL.myr",1.77,"GABRA6","Gamma-aminobutyric acid receptor subunit alpha-6"
-2.24496326838013,19.02,-7.52834146493988,6.59542709229042e-05,0.0127284991028575,2.27422555594629,"IFNE_HUMAN",1,-7.31806724991586,7.26667554294999e-05,0.0169973985702331,2.24,"Up in CTRL.myr",1.77,"IFNE","Interferon epsilon"
-0.939435589352623,29.8,-5.61815278714158,0.000492041924193264,0.0394141851435388,0.317253077215275,"ALBU_HUMAN",84,-6.75220959970057,0.000129127987694262,0.0175429594710347,0.94,"Up in CTRL.myr",1.756,"ALB","Albumin"
1.44066615971766,15.76,7.41485941819419,7.34888606979187e-05,0.0127284991028575,2.17146640146619,"S10A6_HUMAN",1,6.8704690125393,0.000114179573191217,0.0175429594710347,-1.44,"Up in CTRL",1.756,"S100A6","Protein S100-A6"
-0.714123646625431,20.61,-4.95914536601316,0.00109428352727998,0.0420359105667659,-0.481992429112058,"CO4A_HUMAN",60,-6.16006488104716,0.00024498800087299,0.0257520424087346,0.71,"Up in CTRL.myr",1.589,"C4A","Complement C4-A"
-0.79399129112765,20.2,-5.43215574300727,0.000612830060546042,0.0394141851435388,0.0985839365176053,"FIBB_HUMAN",16,-5.91071686976062,0.000324946907365737,0.0257520424087346,0.79,"Up in CTRL.myr",1.589,"FGB","Fibrinogen beta chain"
-0.761219986119603,19.56,-5.33524772606353,0.000688369743640784,0.0394141851435388,-0.0174824043596402,"FIBG_HUMAN",21,-5.9367744560991,0.000315379097325134,0.0257520424087346,0.76,"Up in CTRL.myr",1.589,"FGG","Fibrinogen gamma chain"
