"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.46550178527833,13.2492187023163,-160.971542313415,1.55694364654036e-14,7.45120585869059e-11,22.4369904710572,"IFIT1_HUMAN",34,-185.266438430493,3.82071364705946e-16,3.10012705322405e-12,0.0310587882995748,"Non-significant",11.5086205070098,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-5.19967126846318,13.4783308506012,-147.419989451132,3.00850468209973e-14,7.45120585869059e-11,22.1049127322911,"IFIT3_HUMAN",30,-165.033823567004,9.86006455358458e-16,3.35315102967196e-12,0.136640548706048,"Non-significant",11.4745468850215,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-5.29817533493043,12.1601493358612,-143.542666969545,3.67325898875553e-14,7.45120585869059e-11,21.9978438946651,"OAS2_HUMAN",31,-160.487182910772,1.23976498508946e-15,3.35315102967196e-12,-0.0169816017151003,"Non-significant",11.4745468850215,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-6.59603810310362,13.9851077795029,-133.966812164515,6.16064935249175e-14,9.99750176922362e-11,21.7065115818068,"MX1_HUMAN",43,-148.471178210518,2.34638089569811e-15,4.75963364692361e-12,-0.0832636356354008,"Non-significant",11.3224264740111,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-5.13444423675538,14.8808670043945,-153.470108719404,2.22594755430022e-14,7.45120585869059e-11,22.2608086350054,"ISG15_HUMAN",15,-142.009821009258,3.37907543774865e-15,5.4835636203785e-12,-0.40867662429805,"Non-significant",11.2609371134745,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-3.09848451614378,13.2719058990478,-95.7087798154142,7.64342860227604e-13,6.3717536302781e-10,20.0047763759495,"RIGI_HUMAN",56,-119.965780052495,1.34671641408061e-14,1.82120949730835e-11,-0.0518147945404017,"Non-significant",10.7396400935836,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-3.2451705932617,14.8581552505493,-97.6707342075923,6.56608722823948e-13,6.3717536302781e-10,20.1201817603473,"STAT1_HUMAN",41,-116.3518958887,1.73040032294253e-14,2.00578117433653e-11,-0.0359277725219513,"Non-significant",10.697716449163,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-3.96795296669007,14.5053390264511,-98.9029884261919,5.97776178263317e-13,6.3717536302781e-10,20.1907122083443,"OAS3_HUMAN",45,-113.611465216888,2.10368063195408e-14,2.13365808095943e-11,0.119483709335327,"Non-significant",10.6708751750943,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-5.7107493877411,13.4113517999649,-95.3639636090821,7.8527897834337e-13,6.3717536302781e-10,19.9840887780909,"IFIT2_HUMAN",29,-101.840540044808,5.15516451275902e-14,4.64766720628075e-11,-0.164502143859874,"Non-significant",10.332764976928,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-4.54071116447447,11.3149129152298,-108.784444379891,2.92996184822141e-13,3.96228507274476e-10,20.7066186023294,"ISG20_HUMAN",11,-94.0755972135982,9.87331216020747e-14,8.01120548679234e-11,-0.764616966247558,"Up in BD",10.0963021285012,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-2.19694399833678,12.1890655755997,-71.8279226906524,6.55191934338957e-12,3.7126970035204e-09,18.2199858539251,"SAMH1_HUMAN",38,-86.6978643823177,1.92770906376462e-13,1.42194830394419e-10,-0.28859758377075,"Non-significant",9.8471161924388,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
-2.35710287094114,10.2055473327637,-65.6036981277498,1.29089490828138e-11,6.16136546223242e-09,17.6043771664882,"HELZ2_HUMAN",117,-82.9234402140786,2.77583386344442e-13,1.87692633066567e-10,-0.17559266090395,"Non-significant",9.72655277309696,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-2.4523494243622,11.6872605085373,-68.1617282056632,9.6963860862756e-12,4.91727979400251e-09,17.8668413302793,"STAT2_HUMAN",35,-77.8782368367816,4.64172547417968e-13,2.80649213826238e-10,-0.0148491859436035,"Non-significant",9.55183617001799,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
