"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_DM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-4.0772756735484,13.1643590927124,-133.046438154245,2.67851722046813e-12,1.42114927593177e-08,16.9285906042876,"IFIT1_HUMAN",34,-168.288091377673,6.90347234926759e-14,5.60147746419572e-10,0.0525719324747804,"Non-significant",9.2516974069371,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-5.28030570348106,14.2522100721087,-127.603098645741,3.50295606589048e-12,1.42114927593177e-08,16.8290596173454,"MX1_HUMAN",43,-150.583364029089,1.50286231883006e-13,6.09711242749356e-10,0.0697668393452879,"Non-significant",9.21487579674618,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-4.26462761561078,12.3074328558786,-116.083869668962,6.43235817522997e-12,1.73973847446053e-08,16.5822386251357,"OAS2_HUMAN",31,-135.067370180698,3.21664958408129e-13,8.69996490841186e-10,0.0600620905558156,"Non-significant",9.0604824991186,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-2.58992465337117,14.8048801422119,-89.9268337760345,3.31513771056174e-11,5.3798054766996e-08,15.7582193845944,"STAT1_HUMAN",41,-124.717492606791,5.61921544061342e-13,1.13985785212843e-09,0.0995719432830242,"Non-significant",8.94314930470335,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-3.71603918075562,13.2764060156686,-97.3511235124993,1.99187187286111e-11,4.04051209409876e-08,16.0396891560954,"IFIT3_HUMAN",30,-111.610256804983,1.22204556690907e-12,1.66910343368845e-09,0.0128938357035508,"Non-significant",8.77751674942725,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-2.26350402832033,13.2714448656355,-76.1523240466816,9.64066281628606e-11,9.77804226141813e-08,15.092995718701,"RIGI_HUMAN",56,-111.451979227746,1.23423966010977e-12,1.66910343368845e-09,0.093867540359474,"Non-significant",8.77751674942725,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-2.08488432566324,10.3530487333025,-67.4885961672899,2.09310975049091e-10,1.69834925154833e-07,14.5472646388407,"HELZ2_HUMAN",117,-106.064046095545,1.74565085312323e-12,2.02345871746313e-09,0.0780355135599997,"Non-significant",8.69390565164348,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-2.60146617889405,10.4158342906407,-78.4467505127659,7.96789827609956e-11,9.77804226141813e-08,15.2191821841333,"IFIH1_HUMAN",45,-101.550558492736,2.36636731298675e-12,2.40008804719681e-09,0.142122308413187,"Non-significant",8.61977282590909,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
-3.64252018928529,13.0347405842373,-77.3759898511846,8.70287298729601e-11,9.77804226141813e-08,15.1611556434151,"IFIT2_HUMAN",29,-85.3925075295324,7.95317226327623e-12,7.17022663824704e-09,-0.0340779622396088,"Non-significant",8.14446711683088,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-3.91421031951907,14.813262122018,-70.5639846410627,1.57246483990442e-10,1.41766441233161e-07,14.7545664384032,"ISG15_HUMAN",15,-69.8782224135148,3.23181645755135e-11,2.62229587365717e-08,-0.286013682683313,"Non-significant",7.58131830843264,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-1.80824263890582,11.5925444194249,-54.8320115117239,7.93401960764813e-10,5.85242137240517e-07,13.4949569324613,"STAT2_HUMAN",35,-67.6807847005457,4.04067852939121e-11,2.98055141704366e-08,-0.0541965961456334,"Non-significant",7.52570338182117,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
-1.12741382916768,10.945657321385,-36.5264701589768,1.07130007079711e-08,3.0999302474097e-06,11.0980799078974,"RN213_HUMAN",232,-60.6328141672052,8.71466822540489e-11,5.89256816507794e-08,-0.0723385810852086,"Non-significant",7.22969538486711,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN"
-3.23145103454588,14.5922442844936,-54.019305995887,8.73146165855874e-10,5.90392332479547e-07,13.4141794558816,"OAS3_HUMAN",45,-59.6811970655616,9.73329126641029e-11,6.07507117966562e-08,-0.0530683994293213,"Non-significant",7.21644862921032,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-3.16227459907529,10.2876878465925,-51.6462230758213,1.16467648641565e-09,6.30012334051771e-07,13.167341729629,"CMPK2_HUMAN",26,-55.2285362003074,1.67314343867531e-10,9.69706132957962e-08,-0.108006954193108,"Non-significant",7.01335985766263,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
-2.23779074350993,11.6838320323399,-46.581459312329,2.25721257944617e-09,1.0773542864486e-06,12.5796849475998,"DDX60_HUMAN",75,-54.6802737630549,1.79391057605117e-10,9.7038602760528e-08,0.0624921321868879,"Non-significant",7.01305546541602,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-3.31869808832805,11.9946953909738,-50.7759051331144,1.29876956274211e-09,6.58638514505594e-07,13.0725043264933,"OAS1_HUMAN",20,-52.9568890574637,2.24362132075135e-10,1.09788157782164e-07,-0.210314909617091,"Non-significant",6.95944450221036,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
-1.19111776351927,11.3216232572283,-45.5361663645566,2.61060799193177e-09,1.17680406925191e-06,12.4468627564276,"TAP1_HUMAN",24,-52.7683275514898,2.30022021480994e-10,1.09788157782164e-07,-0.224150339762369,"Non-significant",6.95944450221036,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
-0.915877024332644,11.1566393715995,-30.3609359493911,3.49324811450144e-08,8.0983472003042e-06,9.90028739669204,"PAR14_HUMAN",91,-47.6855147008688,4.66569982302526e-10,2.1031937980015e-07,0.2050865491231,"Non-significant",6.67712070756815,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
-1.73152335484825,11.133747782026,-40.383974213722,5.63385300362748e-09,2.07786742142879e-06,11.724605544531,"SLFN5_HUMAN",37,-46.5091973664083,5.55440831291619e-10,2.37202468689484e-07,-0.0317783355712935,"Non-significant",6.62488079535566,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
