"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CM_vs_BM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
0.298403087089433,20.5000420054237,9.4789906179279,1.79965683032034e-05,0.0113049295147728,3.49259254275712,"O95954",35,11.6221788807996,8.33894647798581e-07,0.00165282939131978,-0.298403087089429,"Non-significant",2.7817719729454,"FTCD","Formimidoyltransferase-cyclodeaminase","O95954"
0.685212615322893,20.1341845936362,15.824017872435,4.38533620773298e-07,0.00313156858594212,6.39630658538351,"P02652;V9GYC1;V9GYM3;V9GYE3;V9GYS1;V9GYG9",5,12.1800928614093,5.54874665477178e-07,0.00165282939131978,-0.685212615322889,"Up in CM",2.7817719729454,"APOA2","Apolipoprotein A-II","P02652;V9GYC1;V9GYM3;V9GYE3;V9GYS1;V9GYG9"
-0.434999685263499,20.1369383096893,-9.50170772332641,1.76950070546002e-05,0.0113049295147728,3.50755927150424,"P10586;H0Y6Z7;H0Y4H1",50,-11.0924297468422,1.24792850216836e-06,0.00165282939131978,0.434999685263495,"Non-significant",2.7817719729454,"PTPRF","Receptor-type tyrosine-protein phosphatase F","P10586;H0Y6Z7;H0Y4H1"
-0.688799039884451,20.9126066643911,-10.2872261903505,1.00693357722863e-05,0.0110943512426826,3.99900443769418,"P40261",14,-11.1750548533674,1.17059288985091e-06,0.00165282939131978,0.688799039884454,"Up in BM",2.7817719729454,"NNMT","Nicotinamide N-methyltransferase","P40261"
0.24737755900788,23.3527986735331,8.67294543713431,3.35618852259948e-05,0.0149792261328122,2.93168113157729,"P50226;P50225;H3BQX5;E9PM76;H3BRY5;E9PKR8;E9PKW4",28,10.5944622593388,1.85165034736847e-06,0.00165282939131978,-0.247377559007887,"Non-significant",2.7817719729454,"SULT1A1","Sulfotransferase 1A1","P50226;P50225;H3BQX5;E9PM76;H3BRY5;E9PKR8;E9PKW4"
0.599853066043551,20.3549542310571,10.1767074269182,1.08752917936953e-05,0.0110943512426826,3.93281524559939,"Q06520",13,10.930404135445,1.41645188446192e-06,0.00165282939131978,-0.599853066043551,"Up in CM",2.7817719729454,"SULT2A1","Sulfotransferase 2A1","Q06520"
0.312349741779592,21.6654196550816,10.8193902187526,7.0193251182394e-06,0.0110943512426826,4.30506124343459,"Q15738;C9JDR0",24,12.843166219666,3.49239711257071e-07,0.00165282939131978,-0.312349741779592,"Non-significant",2.7817719729454,"NSDHL","Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating","Q15738;C9JDR0"
0.96844699763507,16.2621679978331,10.8604092511501,6.83128961689563e-06,0.0110943512426826,4.32781208689548,"Q9BY64;P36537",5,10.7096865308257,1.68769598729559e-06,0.00165282939131978,-0.968446997635073,"Up in CM",2.7817719729454,"UGT2B10","UDP-glucuronosyltransferase 2B10","Q9BY64;P36537"
-0.364486581172834,21.9124681332654,-8.90908191182959,2.78240238564332e-05,0.0149792261328122,3.1022105295605,"P05362;E7ESS4",24,-10.1693811161573,2.62685862530952e-06,0.00208426638259281,0.364486581172837,"Non-significant",2.68104677620891,"ICAM1","Intercellular adhesion molecule 1","P05362;E7ESS4"
0.765500512676827,27.6213226354225,8.59315110695264,3.57916824527431e-05,0.0149792261328122,2.87283847249648,"ALBU_BOVIN;ALBU_HUMAN;P02768;H0YA55;H7C013;A0A0C4DGB6",61,9.61066443241821,4.24126675164234e-06,0.00252390715612316,-0.765500512676827,"Up in CM",2.59792662499249,"ALB","Albumin","ALBU_BOVIN;ALBU_HUMAN;P02768;H0YA55;H7C013;A0A0C4DGB6"
-0.207624015634501,20.2306871467722,-7.53051897414927,8.866420018974e-05,0.0191734882659177,2.02607507027725,"O00159;F5H6E2",43,-9.81470726042935,3.55105921716867e-06,0.00252390715612316,0.207624015634504,"Non-significant",2.59792662499249,"MYO1C","Unconventional myosin-Ic","O00159;F5H6E2"
-0.462904708569532,18.3461258459134,-8.56167628579044,3.67164713643231e-05,0.0149792261328122,2.84945567897688,"Q8TDD1",24,-9.62041822987819,4.20510752792554e-06,0.00252390715612316,0.462904708569532,"Non-significant",2.59792662499249,"DDX54","ATP-dependent RNA helicase DDX54","Q8TDD1"
-0.55355946135041,17.9254208857486,-9.40656153092886,1.89972208622424e-05,0.0113049295147728,3.44457775467301,"P08236",8,-9.40094544631576,5.10762620484839e-06,0.00260525419491588,0.55355946135041,"Up in BM",2.58414989614047,"GUSB","Beta-glucuronidase","P08236"
0.340477333933173,23.3630960038919,8.03415333983395,5.69835234359371e-05,0.0181144441500206,2.4425421652767,"Q3LXA3;H0YCY6;I3L252",46,9.45632959047777,4.86134633992813e-06,0.00260525419491588,-0.340477333933169,"Non-significant",2.58414989614047,"TKFC","Triokinase/FMN cyclase","Q3LXA3;H0YCY6;I3L252"
-0.516186356591501,19.4384321666545,-8.31220944488601,4.50700525666856e-05,0.0164893959726001,2.66060987727779,"O43278;H3BVD9;H3BMB6",24,-9.29360416607338,5.62491894962507e-06,0.00267783641461817,0.516186356591497,"Up in BM",2.57221595697248,"SPINT1","Kunitz-type protease inhibitor 1","O43278;H3BVD9;H3BMB6"
