"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_BM2","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","BM2_vs_B2"
4.542145,10.5233275,25.9923016105926,1.78281805576102e-08,7.30777121056441e-05,7.22663144192316,"Q15194_HBV",5,-25.6161220268249,8.2565925146568e-09,6.76875454351565e-05,-4.542145,"Up in B2",4.16949123451103,"PreC-C","Capsid protein","Q15194_HBV",4.542145
4.03134,10.68478,26.1677373120745,1.6980090550827e-08,7.30777121056441e-05,7.241824152677,"Q6VBP1_HBV",1,-21.7755984360351,2.88532188037481e-08,0.000118269343876563,-4.03134,"Up in B2",3.92712781252002,"S","Large envelope protein","Q6VBP1_HBV",4.03134
-0.448450000000001,10.727525,-14.195353210643,1.37220732875338e-06,0.00281233892028006,5.2048026119756,"AKA12_HUMAN",66,17.5691993866841,1.49331388791653e-07,0.000408072908437992,0.448450000000001,"Non-significant",3.38926223665637,"AKAP12","A-kinase anchor protein 12","AKA12_HUMAN",-0.448450000000001
0.70505,11.5805,15.4448053350445,7.53642993883136e-07,0.00205945508795132,5.56758511526937,"DDB2_HUMAN",18,-15.8857298947072,3.21376116921588e-07,0.000658660351630795,-0.70505,"Up in B2",3.18133847833199,"DDB2","DNA damage-binding protein 2","DDB2_HUMAN",0.70505
0.334049999999998,11.3433,11.6347285848277,5.56252441211433e-06,0.00760026252175222,4.25336675505226,"MX1_HUMAN",43,-14.4362930323046,6.63015183155044e-07,0.00108707969430101,-0.334049999999998,"Non-significant",2.96373861642293,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",0.334049999999998
-0.639674999999997,10.7789875,-12.9859932712193,2.57418090810843e-06,0.00422062701693459,4.7948219250776,"RCN2_HUMAN",17,13.2694746137459,1.25017581734362e-06,0.00170815689176383,0.639674999999997,"Up in BM2",2.76747224248891,"RCN2","Reticulocalbin-2","RCN2_HUMAN",-0.639674999999997
0.552825,12.3917125,10.9028794019964,8.74180746293913e-06,0.00895816719764687,3.91644055045342,"RIR2B_HUMAN",23,-11.4765753289646,3.69059749746627e-06,0.00392594517322116,-0.552825,"Up in B2",2.40605576972169,"RRM2B","Ribonucleoside-diphosphate reductase subunit M2 B","RIR2B_HUMAN",0.552825
2.8029925,7.35756375,11.1337055264226,7.55834792511414e-06,0.00885190518429796,4.02635959760204,"HMCN1_HUMAN",9,-11.4188123888478,3.83112483358981e-06,0.00392594517322116,-2.8029925,"Up in B2",2.40605576972169,"HMCN1","Hemicentin-1","HMCN1_HUMAN",2.8029925
-0.410299999999999,12.201875,-9.7537059977699,1.88385295075395e-05,0.0118798665309853,3.31365338545018,"ATTY_HUMAN",28,10.5717212990898,6.76356511094551e-06,0.00616085630883681,0.410299999999999,"Non-significant",2.21035892024522,"TAT","Tyrosine aminotransferase","ATTY_HUMAN",-0.410299999999999
0.209674999999997,11.8845125,7.81631086081172,8.37709806555172e-05,0.0339210010184289,2.04445387244353,"HS74L_HUMAN",49,-10.2302182471507,8.60362820021525e-06,0.00674610583608839,-0.209674999999997,"Non-significant",2.17094684967682,"HSPA4L","Heat shock 70 kDa protein 4L","HS74L_HUMAN",0.209674999999997
