"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-5.13445,14.880875,-158.362938562414,4.20988325590728e-14,1.47012225480888e-10,21.6447634070471,"ISG15_HUMAN",15,-190.782649634201,2.86908387628455e-14,2.3190804972008e-10,-5.13445,"Up in BD",9.63468417637996,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
-5.2981875,12.16015625,-146.853997884873,7.27513178180812e-14,1.47012225480888e-10,21.362879851658,"OAS2_HUMAN",31,-164.433313854179,8.11889232794418e-14,3.28125033433864e-10,-5.2981875,"Up in BD",9.48396063499811,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
-5.4655,13.249225,-165.839633849966,3.01307925952798e-14,1.47012225480888e-10,21.8057321880411,"IFIT1_HUMAN",34,-126.136822832967,5.19143794832467e-13,1.39874643121028e-09,-5.4655,"Up in BD",8.85426100852984,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
-6.59605,13.9851,-134.643792451963,1.36506538448629e-13,2.20676470056054e-10,21.0096658180265,"MX1_HUMAN",43,-115.906082946644,9.38269840753765e-13,1.79895864604107e-09,-6.59605,"Up in BD",8.74497881997996,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-3.0985,13.2719,-99.1064126007325,1.25842778673723e-12,1.13020797779967e-09,19.5189304403618,"RIGI_HUMAN",56,-111.134325765166,1.25913444613853e-12,1.79895864604107e-09,-3.0985,"Up in BD",8.74497881997996,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
-3.967925,14.5053375,-100.543497160351,1.13374549617955e-12,1.13020797779967e-09,19.5971393281992,"OAS3_HUMAN",45,-110.204555054643,1.33536457704397e-12,1.79895864604107e-09,-3.967925,"Up in BD",8.74497881997996,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-2.196925,12.1890625,-74.8882906318851,9.5840422805728e-12,6.25126683478759e-09,17.8548151320449,"SAMH1_HUMAN",38,-99.2926602836823,2.76946695989777e-12,2.98572941394772e-09,-2.196925,"Up in BD",8.52494955339404,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
-3.24514999999999,14.85815,-100.893273489238,1.10556596024831e-12,1.13020797779967e-09,19.6158907034117,"STAT1_HUMAN",41,-97.3786221397782,3.17345820226046e-12,2.98572941394772e-09,-3.24514999999999,"Up in BD",8.52494955339404,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
-4.5407425,11.31492875,-110.307292626609,5.79141986216871e-13,7.80200779098495e-10,20.0819151086919,"ISG20_HUMAN",11,-96.0655137799259,3.48962016100874e-12,2.98572941394772e-09,-4.5407425,"Up in BD",8.52494955339404,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
-1.328825,10.8778125,-56.3248170024856,7.53963776334406e-11,2.64969095830913e-08,15.9334773039775,"TRFM_HUMAN",39,-95.2876423126712,3.6938381961496e-12,2.98572941394772e-09,-1.328825,"Up in BD",8.52494955339404,"MELTF","Melanotransferrin","TRFM_HUMAN"
-5.71075,13.41135,-95.1885676151145,1.68568705011415e-12,1.36254084260726e-09,19.2957741197206,"IFIT2_HUMAN",29,-85.309533721766,8.00743194960797e-12,5.88400658624375e-09,-5.71075,"Up in BD",8.23032684981811,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
-5.19967499999999,13.4783375,-151.425550895169,5.82529885743097e-14,1.47012225480888e-10,21.4802127655781,"IFIT3_HUMAN",30,-83.2517621324094,9.4985478648417e-12,6.224439005925e-09,-5.19967499999999,"Up in BD",8.20589978441054,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
-1.666925,10.9023125,-62.2940236153444,3.63645434757956e-11,1.54702423639398e-08,16.6347862022181,"T23O_HUMAN",17,-82.038826270911,1.05253023764524e-11,6.224439005925e-09,-1.666925,"Up in BD",8.20589978441054,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
-2.958525,13.2522625,-74.3950161894013,1.00539983734058e-11,6.25126683478759e-09,17.8125861534597,"UB2L6_HUMAN",12,-81.7578251185796,1.07809162542311e-11,6.224439005925e-09,-2.958525,"Up in BD",8.20589978441054,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
-2.730075,11.4357375,-72.8186350988734,1.17412107402662e-11,6.77887188668368e-09,17.6748833640105,"PLS1_HUMAN",7,-80.062563638392,1.24822835879806e-11,6.72628654944316e-09,-2.730075,"Up in BD",8.17222463506017,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
-2.45235,11.68725,-69.8689291813928,1.58410841808923e-11,8.00271771463454e-09,17.4054460152635,"STAT2_HUMAN",35,-76.708504695963,1.68369788766504e-11,8.5058312662478e-09,-2.45235,"Up in BD",8.07028323681884,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
1.315225,12.8165125,52.4176327003488,1.26848315974974e-10,3.66183906437757e-08,15.4205605528406,"FADS2_HUMAN",14,74.2604874468853,2.11230499464511e-11,9.97852020017077e-09,1.315225,"Up in BT",8.00093385916866,"FADS2","Acyl-CoA 6-desaturase","FADS2_HUMAN"
-3.124475,12.9879375,-78.2971638325731,6.9423066889068e-12,5.1013331787667e-09,18.1359574567515,"HLAB_HUMAN",2,-73.7241911806495,2.22211262653809e-11,9.97852020017077e-09,-3.124475,"Up in BD",8.00093385916866,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN"
1.3686,14.0274,51.1077460310885,1.52334688060685e-10,4.1044042786484e-08,15.2377886509746,"CP2A6_HUMAN",38,69.0116492851391,3.52641892487552e-11,1.50021285104046e-08,1.3686,"Up in BT",7.82384711862811,"CYP2A6","Cytochrome P450 2A6","CP2A6_HUMAN"
-2.8475425,10.67170375,-62.7562151646563,3.44694669943641e-11,1.54702423639398e-08,16.6853821263813,"GBP4_HUMAN",27,-67.1363601655757,4.27537172638323e-11,1.72789148321778e-08,-2.8475425,"Up in BD",7.7624835360004,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
-1.748275,12.3923625,-58.2134625043843,5.93851347701803e-11,2.18186383794258e-08,16.1654482883379,"PML_HUMAN",44,-65.0730927552535,5.31781622787148e-11,2.04685278904215e-08,-1.748275,"Up in BD",7.68891339095042,"PML","Protein PML","PML_HUMAN"
-1.470675,12.5977125,-49.2261455323045,1.9982044458026e-10,5.21015694691046e-08,14.9648972956657,"SP100_HUMAN",21,-60.7452996393565,8.60251995482386e-11,3.16064403612915e-08,-1.470675,"Up in BD",7.50022441331891,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN"
-1.673325,15.5464875,-51.959829693288,1.35159842335687e-10,3.76723105379089e-08,15.3573318937058,"HLAC_HUMAN",7,-60.2257495189326,9.13470683190243e-11,3.2102537096638e-08,-1.673325,"Up in BD",7.49346064349766,"HLA-C","HLA class I histocompatibility antigen, C alpha chain","HLAC_HUMAN"
-2.357675,12.2238125,-55.7977657616946,8.07049313423932e-11,2.71807483350235e-08,15.8669571569996,"TAP2_HUMAN",22,-59.5614881448688,9.87081366866693e-11,3.32440778682645e-08,-2.357675,"Up in BD",7.47828570910388,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
-2.439875,10.4687625,-55.3033669404101,8.60741493350773e-11,2.78294939630172e-08,15.8038265604139,"SYUG_HUMAN",9,-58.381332769922,1.13523307901617e-10,3.67043559107509e-08,-2.439875,"Up in BD",7.43528239253957,"SNCG","Gamma-synuclein","SYUG_HUMAN"
-0.816425000000002,11.7614375,-34.3367007904507,2.69606727791673e-09,3.63205196790016e-07,12.2491675083031,"DSRAD_HUMAN",59,-56.5865432481709,1.41199276919137e-10,4.38966828975918e-08,-0.816425000000002,"Up in BD",7.35756829647088,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
-1.091625,11.0060125,-40.9348071752052,7.58038266411655e-10,1.45886269223938e-07,13.5930771548923,"PAR14_HUMAN",91,-55.4816697235751,1.62053871586792e-10,4.75892241311642e-08,-1.091625,"Up in BD",7.32249137564463,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
-3.7125475,11.84770125,-54.5819876954009,9.46537323516753e-11,2.94263891768689e-08,15.710416545558,"OAS1_HUMAN",20,-55.3458772933566,1.64851945524261e-10,4.75892241311642e-08,-3.7125475,"Up in BD",7.32249137564463,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
0.794550000000001,16.0282,37.4185078089555,1.45004023647742e-09,2.1948249998168e-07,12.9100611285245,"FAS_HUMAN",149,54.4600375746724,1.84520413061665e-10,5.14302930612911e-08,0.794550000000001,"Up in BT",7.28878100096495,"FASN","Fatty acid synthase","FAS_HUMAN"
-1.267925,12.6026375,-41.8386654408238,6.4738503743756e-10,1.30820331440195e-07,13.7578280431425,"AMPE_HUMAN",38,-53.233113222954,2.16355816411082e-10,5.82934688016924e-08,-1.267925,"Up in BD",7.23438010085467,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN"
-4.0602325,10.43003375,-72.0977796301286,1.26185166236202e-11,6.79969799124812e-09,17.6104833731458,"CMPK2_HUMAN",26,-52.5708610929083,2.36124791669515e-10,6.09855691413446e-08,-4.0602325,"Up in BD",7.2147729188208,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
