"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.47259330749513,10.9497153759003,-54.244439636639,5.20849446967983e-11,2.28509485657652e-07,15.3816064149583,"TRFM_HUMAN",39,-69.7122951287137,1.51441885805224e-12,1.22879946142359e-08,0.140017032623298,"Non-significant",7.91051898766153,"MELTF","Melanotransferrin","TRFM_HUMAN"
-1.45604252815247,11.3167864084244,-53.6803105993532,5.63247438150485e-11,2.28509485657652e-07,15.3293669123778,"ANXA3_HUMAN",21,-56.4762001338082,8.30924167400355e-12,3.19942940894727e-08,0.27959060668945,"Non-significant",7.49492746750548,"ANXA3","Annexin A3","ANXA3_HUMAN"
-1.11938357353213,14.730271935463,-40.6088836959037,4.54146040868475e-10,6.92143158416529e-07,13.7784062070889,"VIME_HUMAN",46,-53.8560313331585,1.2197572347091e-11,3.19942940894727e-08,0.13090109825135,"Non-significant",7.49492746750548,"VIM","Vimentin","VIME_HUMAN"
0.880366802215597,16.7730152606964,32.7722164629969,2.25066863812521e-09,1.63063062248662e-06,12.4060454658922,"AL1L1_HUMAN",79,49.505427572544,2.40865274007615e-11,3.19942940894727e-08,0.0303814411163508,"Non-significant",7.49492746750548,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
-1.33815002441408,13.3569083213806,-41.1972620620924,4.07858054976426e-10,6.92143158416529e-07,13.8652994266171,"K2C7_HUMAN",37,-48.7471972388498,2.7283882183249e-11,3.19942940894727e-08,-0.489044666290225,"Non-significant",7.49492746750548,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
0.8648407459259,15.5056403875351,35.243453866756,1.30854924550079e-09,1.51679551114191e-06,12.8866914856518,"TKFC_HUMAN",40,48.6904646912757,2.75416550891245e-11,3.19942940894727e-08,-0.0672717094421511,"Non-significant",7.49492746750548,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN"
-0.898373365402202,12.6923779249191,-33.5953040128295,1.87056468787792e-09,1.63063062248662e-06,12.5716818940548,"LIMC1_HUMAN",62,-48.6773388242767,2.76016833406838e-11,3.19942940894727e-08,0.054456233978275,"Non-significant",7.49492746750548,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN"
-1.49680757522583,10.749639749527,-42.8297683865343,3.05040395908181e-10,6.92143158416529e-07,14.0964881793002,"ANGL3_HUMAN",22,-45.3075575921894,4.92569821393347e-11,4.99588941348202e-08,0.199604153633118,"Non-significant",7.30138718351769,"ANGPTL3","Angiopoietin-related protein 3","ANGL3_HUMAN"
-1.0602102279663,13.9160289764404,-34.4227513850484,1.56007494637544e-09,1.58230601436129e-06,12.7325233057535,"PLOD2_HUMAN",38,-41.6349809075784,9.74294626562446e-11,8.78380733325298e-08,0.13652539253235,"Non-significant",7.05631719873901,"PLOD2","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","PLOD2_HUMAN"
0.521203756332421,15.0330065488815,21.4419321228342,5.26299717755428e-08,7.23795916926702e-06,9.36506107379569,"GDE_HUMAN",104,40.1385870617455,1.30885187174584e-10,1.06200240873458e-07,-0.21731305122375,"Non-significant",6.97387449822729,"AGL","Glycogen debranching enzyme","GDE_HUMAN"
