"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.91345,13.355475,-33.8350291827492,2.02165651909092e-09,1.6299666312173e-05,10.3138507547059,"FGL1_HUMAN",17,-34.76909644993,6.30336334578233e-10,4.37975964647208e-06,-1.91345,"Up in B1",5.35854972216143,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-3.4175275,11.30146125,-30.8765198335975,3.97649824644378e-09,1.6299666312173e-05,10.0102710031704,"TSP1_HUMAN",50,-32.5086114468668,1.06849466857089e-09,4.37975964647208e-06,-3.4175275,"Up in B1",5.35854972216143,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-0.858775000000001,11.3770625,-21.9765934754492,4.86792285122618e-08,0.000133024105114507,8.588232850814,"K1C19_HUMAN",26,-25.0518447915156,8.22088997608908e-09,2.24649520079927e-05,-0.858775000000001,"Up in B1",4.64849450485579,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
-0.896800000000002,12.51545,-19.71075797573,1.080517662852e-07,0.000194578262074577,8.03753553609367,"LG3BP_HUMAN",20,-20.9457885821582,3.31783870096793e-08,6.79991041763377e-05,-0.896800000000002,"Up in B1",4.1674968086737,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-4.8941,7.4127425,-19.4596521747577,1.18674226686129e-07,0.000194578262074577,7.96979992974244,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",12,-19.960214414097,4.82453493332185e-08,7.9103074766745e-05,-4.8941,"Up in B1",4.10180663498175,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN"
0.66375,16.5065,15.7049095509099,5.65220207017268e-07,0.000483477003541647,6.75654619917796,"ALDOC_HUMAN",31,18.1015527330103,1.02882804959982e-07,0.000130500955949825,0.66375,"Up in C",3.88438630700606,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
-5.7306175,8.71466625,-17.374218075434,2.71377554395964e-07,0.000317821884419731,7.346417610638,"TSP4_HUMAN",21,-17.9156458678339,1.11430433233566e-07,0.000130500955949825,-5.7306175,"Up in B1",3.88438630700606,"THBS4","Thrombospondin-4","TSP4_HUMAN"
-0.796600000000003,10.56435,-15.3175741744342,6.77244575704162e-07,0.000504731911965702,6.60619049505607,"LAMC1_HUMAN",52,-17.5875570074051,1.28535098725974e-07,0.000131716342419442,-0.796600000000003,"Up in B1",3.88036033754947,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
-4.0838175,7.59708375,-16.8487034990865,3.39326811675948e-07,0.000347725150264928,7.17030538135683,"FMOD_HUMAN",7,-16.9676870975879,1.69539307218128e-07,0.000154431471174912,-4.0838175,"Up in B1",3.81126419127456,"FMOD","Fibromodulin","FMOD_HUMAN"
0.613050000000001,11.3688,15.6130799621856,5.8974994332965e-07,0.000483477003541647,6.72139131719389,"APOL3_HUMAN",18,16.3001017054447,2.30964490809909e-07,0.000189344689565964,0.613050000000001,"Up in C",3.72274687076254,"APOL3","Apolipoprotein L3","APOL3_HUMAN"
2.0617025,10.33162375,18.3920373312262,1.7920939835504e-07,0.000244859774619103,7.6648881319911,"NUA4L_HUMAN",5,16.0084451327092,2.65370752900445e-07,0.000197773584752532,2.0617025,"Up in C",3.70383171457047,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
-0.527875,11.0697875,-12.5264215453172,2.87683321182358e-06,0.00169769621392259,5.33978854379911,"MX1_HUMAN",43,-15.0776997830033,4.20244917546635e-07,0.000253126944832315,-0.527875,"Up in B1",3.59666162264443,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-1.1497225,8.69011375,-13.9933635170945,1.30056505251808e-06,0.000888502691711935,6.04830464984283,"LAMA5_HUMAN",58,-15.047321248944,4.2678842355524e-07,0.000253126944832315,-1.1497225,"Up in B1",3.59666162264443,"LAMA5","Laminin subunit alpha-5","LAMA5_HUMAN"
