"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL.myr_vs_HBV.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
3.22323107719421,11.8002913792928,66.6431692311088,2.14795682024405e-16,1.74564450781234e-12,24.5662423097418,"TSP1_HUMAN",50,71.0303910325276,2.41600865879188e-17,1.96349023700016e-13,-0.0146391391753866,"Non-significant",12.7069712538168,"THBS1","Thrombospondin-1","TSP1_HUMAN"
1.87325239181521,15.0846858819326,56.194852758784,1.55371783679662e-15,6.31353242982307e-12,23.5977750841938,"FINC_HUMAN",120,64.6873311347363,7.54225629359924e-17,3.06479584490405e-13,-0.0586171150207875,"Non-significant",12.5135984498192,"FN1","Fibronectin","FINC_HUMAN"
1.8519815206528,15.1737054983775,48.116875968448,9.38803396368722e-15,1.65501328426294e-11,22.5597731609565,"FIBA_HUMAN",43,52.2566701670919,1.01008648799548e-15,2.61623478722502e-12,0.0646659135818624,"Non-significant",11.5823232839637,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
1.66474771499632,15.5261306762695,47.7807189671457,1.01821907485108e-14,1.65501328426294e-11,22.5093915110119,"FIBG_HUMAN",29,51.2226273793123,1.28767554434602e-15,2.61623478722502e-12,-0.00226116180421343,"Non-significant",11.5823232839637,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
2.62367153167724,8.95393522580465,49.5432566693552,6.69265038677179e-15,1.65501328426294e-11,22.7664933984545,"AMY1B_HUMAN",12,48.6425789446597,2.41211326607823e-15,3.92064890268356e-12,0.0617114305496127,"Non-significant",11.4066420473846,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
1.91307973861693,13.8631710211436,33.4011804866502,6.38128877382588e-13,8.64345564414715e-10,19.5648285946788,"FGL1_HUMAN",17,33.9758988960038,1.86418340336463e-13,2.52503641985739e-10,0.0727139711380005,"Non-significant",9.59773235345462,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
1.69422554969785,14.8323624134064,29.3739777061957,2.8001042243753e-12,3.25092100449973e-09,18.3515960330641,"FIBB_HUMAN",38,30.7754153075114,6.15257793365051e-13,7.14314298096825e-10,0.0526530742645228,"Non-significant",9.14611065671795,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
0.440972089767449,13.3244689305623,18.8124849364065,4.51593216030535e-10,2.15888121569421e-07,13.7103196629326,"FAT1_HUMAN",153,25.5987552689879,5.6359266077615e-12,5.23208306260057e-09,0.0980178117752057,"Non-significant",8.28132536993174,"FAT1","Protocadherin Fat 1","FAT1_HUMAN"
3.10274481773376,7.97416659196218,25.7038525717135,1.29478169951399e-11,1.31533635899378e-08,17.0219472568247,"MIME_HUMAN",7,25.5397359161226,5.79411191871603e-12,5.23208306260057e-09,-0.0503625869750994,"Non-significant",8.28132536993174,"OGN","Mimecan","MIME_HUMAN"
1.92548477649689,8.89403573671977,23.3609746932755,3.8609741319858e-11,3.48645964118318e-08,16.0336323329128,"PGBM_HUMAN",106,24.3306654496562,1.03596834174132e-11,8.41931471333168e-09,0.11958110332489,"Non-significant",8.07472325628306,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
2.31313741207121,10.2167892456055,22.7716700348585,5.16726376600533e-11,4.19943526263253e-08,15.7650428259649,"GPC3_HUMAN",10,22.8608660508941,2.18223865838387e-11,1.61227759788052e-08,0.0271247625350988,"Non-significant",7.79256018036696,"GPC3","Glypican-3","GPC3_HUMAN"
1.22036409378051,8.83307774861654,20.2657423273536,1.94541774104287e-10,1.31753416512129e-07,14.5195605779052,"LAMA5_HUMAN",58,21.3267831098645,4.99555320352327e-11,3.31833685596325e-08,0.104514122009276,"Non-significant",7.47907952932421,"LAMA5","Laminin subunit alpha-5","LAMA5_HUMAN"
2.07660472393036,8.30558315912882,20.7447138095244,1.49246132135774e-10,1.10265755987949e-07,14.7714915834446,"MATN3_HUMAN",18,21.218343647785,5.3080323769561e-11,3.31833685596325e-08,0.0345015525817871,"Non-significant",7.47907952932421,"MATN3","Matrilin-3","MATN3_HUMAN"
0.930296659469599,10.6250352859497,19.5892023784486,2.85811781443725e-10,1.65913739128082e-07,14.1515091668674,"LAMC1_HUMAN",52,20.9298128026751,6.24702061107662e-11,3.62639546472998e-08,0.0297403335571129,"Non-significant",7.44052483708967,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
0.723629117012022,9.63514987627665,19.6690173339331,2.72953407454598e-10,1.65913739128082e-07,14.195696860501,"DREB_HUMAN",21,20.3577025228945,8.683965512612e-11,4.70497251473318e-08,0.0511518716812116,"Non-significant",7.32744290926852,"DBN1","Drebrin","DREB_HUMAN"
