"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","DM_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
5.14748231569928,13.77590574537,165.606718625875,6.62880645510187e-13,5.37861355766965e-09,18.8649913339085,"IFIT1_HUMAN",34,205.767340661856,1.14243769350437e-14,9.26973944509445e-11,-0.0288430849711325,"Non-significant",10.0329324728833,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN"
6.04823430379231,14.6910264151437,144.887127306411,1.56388739823476e-12,6.34469117463844e-09,18.4618412613323,"MX1_HUMAN",43,170.614183818447,4.31910001594468e-14,1.73022800637361e-10,-0.147347291310613,"Non-significant",9.76189666254453,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
4.925211429596,13.9673615864345,135.5748201165,2.39589625556271e-12,6.38311638978214e-09,18.2373803195503,"IFIT3_HUMAN",30,156.228646136561,8.07115131968794e-14,1.73022800637361e-10,0.018893082936609,"Non-significant",9.76189666254453,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","IFIT3_HUMAN"
3.11023489634197,12.5688423429217,107.382344391272,1.07039311816141e-11,1.17027856827165e-08,17.3208114249756,"TSP1_HUMAN",50,155.017423655269,8.52959332695888e-14,1.73022800637361e-10,0.0468463897705522,"Non-significant",9.76189666254453,"THBS1","Thrombospondin-1","TSP1_HUMAN"
3.15581734975177,15.1282473972866,109.18137395733,9.6209404793066e-12,1.17027856827165e-08,17.3927206585567,"STAT1_HUMAN",41,148.937760693767,1.133083698569e-13,1.83876822603777e-10,0.302763779958074,"Non-significant",9.7354730094767,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","STAT1_HUMAN"
4.93873421351116,12.6926366261074,117.750378170441,5.92296414123753e-12,9.61178620840027e-09,17.7070930103246,"OAS2_HUMAN",31,133.047412356494,2.52370969198923e-13,3.28654188020511e-10,0.0386438369751012,"Non-significant",9.48326082915994,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
3.38223457336427,10.8619876589094,101.765340244534,1.51126125735305e-11,1.36248598246251e-08,17.0815316011278,"IFIH1_HUMAN",45,130.882723937696,2.83532082344538e-13,3.28654188020511e-10,-0.0195604960123994,"Non-significant",9.48326082915994,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
4.87151861190796,15.3602954319545,129.939652583562,3.14671747093031e-12,6.38311638978214e-09,18.0854091167706,"ISG15_HUMAN",15,120.091940936944,5.22169522387455e-13,5.29610438081476e-10,-0.311541954676309,"Non-significant",9.27604346398279,"ISG15","Ubiquitin-like protein ISG15","ISG15_HUMAN"
5.31342601776121,13.9895439147949,106.134092661895,1.15383639957767e-11,1.17027856827165e-08,17.2696115711577,"IFIT2_HUMAN",29,116.446848646972,6.498454226737e-13,5.85871751063822e-10,0.216750224431358,"Non-significant",9.23219744183353,"IFIT2","Interferon-induced protein with tetratricopeptide repeats 2","IFIT2_HUMAN"
2.84313416481016,13.6026620864868,83.2455951172187,5.48680129201945e-11,4.04726415304053e-08,16.0995102322072,"RIGI_HUMAN",56,109.409612363071,1.01141120068535e-12,8.20659048236089e-10,0.408572634061181,"Non-significant",9.08583723779502,"RIGI","Antiviral innate immune response receptor RIG-I","RIGI_HUMAN"
2.22241250673927,10.431636265346,68.4296409781948,1.9297527420362e-10,1.14848279091856e-07,15.0216840990692,"HELZ2_HUMAN",117,101.870721449056,1.67859605389576e-12,1.23819348921002e-09,0.0507743358612327,"Non-significant",8.90721148396679,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
2.157723903656,11.8739696230207,67.4184403522401,2.12315034061849e-10,1.14848279091856e-07,14.9355514757611,"TAP1_HUMAN",24,74.4003742830661,1.5598862441707e-11,1.00352027983489e-08,0.159705638885509,"Non-significant",7.99847384656325,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
3.74361467361448,14.8849092211042,65.7050638591443,2.50438009315738e-10,1.16440448114263e-07,14.7853146936235,"OAS3_HUMAN",45,73.3432746761132,1.72650219789004e-11,1.00352027983489e-08,0.0245809555053711,"Non-significant",7.99847384656325,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
2.5942409833272,11.626729284014,62.6548996136937,3.39718056049049e-10,1.31260586037237e-07,14.5037143412368,"SLFN5_HUMAN",37,72.6635697595778,1.84434626429164e-11,1.00352027983489e-08,0.217797517776459,"Non-significant",7.99847384656325,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
1.85124715169273,12.3610320772444,66.1475376904089,2.39884294155184e-10,1.16440448114263e-07,14.8246416348651,"5NT3A_HUMAN",23,72.6036679666486,1.85516443154096e-11,1.00352027983489e-08,-0.0383040904998726,"Non-significant",7.99847384656325,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
1.83736753463746,12.4790462766375,55.6495412206482,7.26669889215978e-10,2.26776903119171e-07,13.7794458862241,"PML_HUMAN",44,71.4984711420812,2.06834855751415e-11,1.02251219919092e-08,0.470951477686567,"Non-significant",7.99033150189304,"PML","Protein PML","PML_HUMAN"
3.88510084152222,11.1900311878749,67.7239913050335,2.06244362393592e-10,1.14848279091856e-07,14.9617723343569,"TSP4_HUMAN",21,71.1450967963285,2.1423104986746e-11,1.02251219919092e-08,0.19676033655802,"Non-significant",7.99033150189304,"THBS4","Thrombospondin-4","TSP4_HUMAN"
0.923794746398945,13.2083407810756,35.4485373158949,1.30526033054796e-08,1.83713100573257e-06,10.8102227579914,"CO4B_HUMAN",83,70.3778466626213,2.31352487634004e-11,1.04288560259017e-08,-0.991202433904,"Up in DM",7.98176332809181,"C4B_2","Complement C4-B","CO4B_HUMAN"
2.19039328893026,12.4639027459281,64.7464890300996,2.75196550707045e-10,1.17523411180893e-07,14.6988204289695,"TAP2_HUMAN",22,69.0308007155534,2.65330706945968e-11,1.12446133928784e-08,0.0845111608505285,"Non-significant",7.94905547168463,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN"
3.9794898033142,10.7546679633004,64.0127142725769,2.96070158377128e-10,1.20115663253601e-07,14.6313859448153,"CMPK2_HUMAN",26,68.6072564865697,2.77165723265428e-11,1.12446133928784e-08,-0.128528436024984,"Non-significant",7.94905547168463,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
2.35417230923968,11.9045042310442,57.7176767671664,5.75075975876063e-10,2.12098475829926e-07,14.0054795946631,"STAT2_HUMAN",35,66.6698963537164,3.39581161891994e-11,1.31207692742459e-08,-0.383033514022816,"Non-significant",7.88204070141113,"STAT2","Signal transducer and activator of transcription 2","STAT2_HUMAN"
