"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BM1_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-3.30378,11.30336,-109.520077698732,4.9154400447402e-13,4.02967774867801e-09,14.7764652026276,"TSP1_HUMAN",50,-140.922908276349,1.44054133781043e-14,1.18095578873699e-10,-3.30378,"Up in BM1",9.9277663606989,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-1.84655,14.759125,-44.7717169153806,3.39090526343927e-10,1.38993206748376e-06,12.7924800224243,"FINC_HUMAN",120,-53.2153823763669,2.84384473359116e-11,1.16569195629902e-07,-1.84655,"Up in BM1",6.93341620030978,"FN1","Fibronectin","FINC_HUMAN"
-1.6811,15.256875,-35.6903033371707,1.76955234078958e-09,3.62669752244824e-06,11.8314043171017,"FIBG_HUMAN",29,-38.6242526174553,3.43351563955294e-10,8.55208653762077e-07,-1.6811,"Up in BM1",6.06792791319906,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-1.858225,14.8681625,-34.5608661887787,2.23629316318868e-09,3.66662627036416e-06,11.6782724553229,"FIBA_HUMAN",43,-37.666109847783,4.17276727866347e-10,8.55208653762077e-07,-1.858225,"Up in BM1",6.06792791319906,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
3.8545075,7.68603125,40.6910266616753,6.80726788259096e-10,1.86019940338269e-06,12.4128405459486,"CAYP1_HUMAN",5,35.4452642770448,6.68669604209638e-10,1.09635068306212e-06,3.8545075,"Up in CM",5.96005050848068,"CAPS","Calcyphosin","CAYP1_HUMAN"
-1.8456,13.5106,-32.8820897398666,3.2127911930911e-09,4.38974370016014e-06,11.4331471645719,"FGL1_HUMAN",17,-33.6863424731824,9.92248005641557e-10,1.35574152504158e-06,-1.8456,"Up in BM1",5.86782310172871,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
-2.0518075,10.69999625,-25.7167011480269,1.91433214991397e-08,2.24195642357068e-05,10.0891297144518,"K1C19_HUMAN",26,-26.8963609969858,5.66574937014341e-09,6.63540190520509e-06,-2.0518075,"Up in BM1",5.17813276685733,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN"
-0.608899999999997,11.066075,-19.9960025042768,1.17916372114843e-07,8.30182431322187e-05,8.5157554373582,"MX1_HUMAN",43,-25.0352247460853,9.85518764747436e-09,1.00991035417494e-05,-0.608899999999997,"Up in BM1",4.99571717514315,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN"
-1.821785,8.52127,-22.920473144114,4.40405975186586e-08,4.51306023072454e-05,9.39095224046219,"PGBM_HUMAN",106,-24.4690071152741,1.17566579580877e-08,1.07090091044892e-05,-1.821785,"Up in BM1",4.97025071220842,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
-1.734,14.569875,-22.5251044824718,4.99419057724855e-08,4.54915270580929e-05,9.28207508120932,"FIBB_HUMAN",38,-23.8045764981915,1.45355965994806e-08,1.19162820922542e-05,-1.734,"Up in BM1",4.92385922435098,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
